SampleId,Group,MahalanobisSquared,MahalanobisDistance,ThresholdSquared,ThresholdDistance,IsNovel,NoveltyStatus,ActualGroup,PredictedGroup,PredictionConfidence,Correct,FinalModelPrediction,FinalModelConfidence,OriginDecision,NoveltyDecision,AdulterationStatus,FinalDecision
20,G5,21.993120221877295,4.689682315666734,20.090235029663237,4.482213184316787,True,NOVEL / OOD CANDIDATE,G5,G1,0.2415632307529449,False,G5,0.74116105,ORIGIN MODEL NOT RELIABLE - MORE REFERENCE DATA REQUIRED,NOVEL / OOD CANDIDATE,NOT ASSESSED / REQUIRES EXPERT REVIEW,NOVEL / OOD CANDIDATE - EXPERT REVIEW REQUIRED
7,G2,15.031300161464223,3.877022073894373,20.090235029663237,4.482213184316787,False,WITHIN REFERENCE DOMAIN,G2,G11,0.23927703499794,False,G2,0.75326926,ORIGIN MODEL NOT RELIABLE - MORE REFERENCE DATA REQUIRED,WITHIN REFERENCE DOMAIN,NOT ASSESSED / REQUIRES EXPERT REVIEW,WITHIN REFERENCE DOMAIN - ORIGIN MODEL NOT RELIABLE
23,G5,14.68665022885907,3.832316561671161,20.090235029663237,4.482213184316787,False,WITHIN REFERENCE DOMAIN,G5,G7,0.3719909787178039,False,G5,0.74742925,ORIGIN MODEL NOT RELIABLE - MORE REFERENCE DATA REQUIRED,WITHIN REFERENCE DOMAIN,NOT ASSESSED / REQUIRES EXPERT REVIEW,WITHIN REFERENCE DOMAIN - ORIGIN MODEL NOT RELIABLE
36,G7,13.881794577675176,3.725828039198156,20.090235029663237,4.482213184316787,False,WITHIN REFERENCE DOMAIN,G7,G4,0.483305960893631,False,G7,0.8041433,ORIGIN MODEL NOT RELIABLE - MORE REFERENCE DATA REQUIRED,WITHIN REFERENCE DOMAIN,NOT ASSESSED / REQUIRES EXPERT REVIEW,WITHIN REFERENCE DOMAIN - ORIGIN MODEL NOT RELIABLE
3,G1,11.301372884903778,3.3617514609060226,20.090235029663237,4.482213184316787,False,WITHIN REFERENCE DOMAIN,G1,G5,0.4378105998039245,False,G1,0.744783,ORIGIN MODEL NOT RELIABLE - MORE REFERENCE DATA REQUIRED,WITHIN REFERENCE DOMAIN,NOT ASSESSED / REQUIRES EXPERT REVIEW,WITHIN REFERENCE DOMAIN - ORIGIN MODEL NOT RELIABLE
21,G5,11.203275353580397,3.34712941990303,20.090235029663237,4.482213184316787,False,WITHIN REFERENCE DOMAIN,G5,G5,0.2685856223106384,True,G5,0.81940734,ORIGIN MODEL NOT RELIABLE - MORE REFERENCE DATA REQUIRED,WITHIN REFERENCE DOMAIN,NOT ASSESSED / REQUIRES EXPERT REVIEW,WITHIN REFERENCE DOMAIN - ORIGIN MODEL NOT RELIABLE
14,G4,10.498446754896884,3.2401306694170358,20.090235029663237,4.482213184316787,False,WITHIN REFERENCE DOMAIN,G4,G6,0.2730565667152405,False,G4,0.6703706,ORIGIN MODEL NOT RELIABLE - MORE REFERENCE DATA REQUIRED,WITHIN REFERENCE DOMAIN,NOT ASSESSED / REQUIRES EXPERT REVIEW,WITHIN REFERENCE DOMAIN - ORIGIN MODEL NOT RELIABLE
4,G2,9.691940116749375,3.1131880953050968,20.090235029663237,4.482213184316787,False,WITHIN REFERENCE DOMAIN,G2,G6,0.2626372575759887,False,G2,0.77346694,ORIGIN MODEL NOT RELIABLE - MORE REFERENCE DATA REQUIRED,WITHIN REFERENCE DOMAIN,NOT ASSESSED / REQUIRES EXPERT REVIEW,WITHIN REFERENCE DOMAIN - ORIGIN MODEL NOT RELIABLE
10,G3,8.93194373162924,2.988635764296017,20.090235029663237,4.482213184316787,False,WITHIN REFERENCE DOMAIN,G3,G6,0.4185806512832641,False,G3,0.8667606,ORIGIN MODEL NOT RELIABLE - MORE REFERENCE DATA REQUIRED,WITHIN REFERENCE DOMAIN,NOT ASSESSED / REQUIRES EXPERT REVIEW,WITHIN REFERENCE DOMAIN - ORIGIN MODEL NOT RELIABLE
26,G6,8.598890397406015,2.93238646794825,20.090235029663237,4.482213184316787,False,WITHIN REFERENCE DOMAIN,G6,G3,0.4946493506431579,False,G6,0.5970989,ORIGIN MODEL NOT RELIABLE - MORE REFERENCE DATA REQUIRED,WITHIN REFERENCE DOMAIN,NOT ASSESSED / REQUIRES EXPERT REVIEW,WITHIN REFERENCE DOMAIN - ORIGIN MODEL NOT RELIABLE
38,G8,7.913432357781857,2.813082358869334,20.090235029663237,4.482213184316787,False,WITHIN REFERENCE DOMAIN,G8,G4,0.3882217109203338,False,G8,0.7974266,ORIGIN MODEL NOT RELIABLE - MORE REFERENCE DATA REQUIRED,WITHIN REFERENCE DOMAIN,NOT ASSESSED / REQUIRES EXPERT REVIEW,WITHIN REFERENCE DOMAIN - ORIGIN MODEL NOT RELIABLE
28,G6,7.0526112643306345,2.655675293466924,20.090235029663237,4.482213184316787,False,WITHIN REFERENCE DOMAIN,G6,G5,0.6035683155059814,False,G6,0.38468388,ORIGIN MODEL NOT RELIABLE - MORE REFERENCE DATA REQUIRED,WITHIN REFERENCE DOMAIN,NOT ASSESSED / REQUIRES EXPERT REVIEW,WITHIN REFERENCE DOMAIN - ORIGIN MODEL NOT RELIABLE
31,G6,5.983596405507302,2.446139081390774,20.090235029663237,4.482213184316787,False,WITHIN REFERENCE DOMAIN,G6,G7,0.5320346355438232,False,G6,0.6362822,ORIGIN MODEL NOT RELIABLE - MORE REFERENCE DATA REQUIRED,WITHIN REFERENCE DOMAIN,NOT ASSESSED / REQUIRES EXPERT REVIEW,WITHIN REFERENCE DOMAIN - ORIGIN MODEL NOT RELIABLE
19,G4,5.7209180534699735,2.3918440696395686,20.090235029663237,4.482213184316787,False,WITHIN REFERENCE DOMAIN,G4,G7,0.3820483684539795,False,G4,0.91791964,ORIGIN MODEL NOT RELIABLE - MORE REFERENCE DATA REQUIRED,WITHIN REFERENCE DOMAIN,NOT ASSESSED / REQUIRES EXPERT REVIEW,WITHIN REFERENCE DOMAIN - ORIGIN MODEL NOT RELIABLE
24,G6,5.718729940089176,2.3913866145166023,20.090235029663237,4.482213184316787,False,WITHIN REFERENCE DOMAIN,G6,G6,0.2532891631126404,True,G6,0.72967494,ORIGIN MODEL NOT RELIABLE - MORE REFERENCE DATA REQUIRED,WITHIN REFERENCE DOMAIN,NOT ASSESSED / REQUIRES EXPERT REVIEW,WITHIN REFERENCE DOMAIN - ORIGIN MODEL NOT RELIABLE
30,G6,5.415748922526336,2.327176169207294,20.090235029663237,4.482213184316787,False,WITHIN REFERENCE DOMAIN,G6,G3,0.3839921951293945,False,G6,0.48332644,ORIGIN MODEL NOT RELIABLE - MORE REFERENCE DATA REQUIRED,WITHIN REFERENCE DOMAIN,NOT ASSESSED / REQUIRES EXPERT REVIEW,WITHIN REFERENCE DOMAIN - ORIGIN MODEL NOT RELIABLE
1,G1,5.3752357405959685,2.318455464440921,20.090235029663237,4.482213184316787,False,WITHIN REFERENCE DOMAIN,G1,G10,0.2524356544017792,False,G1,0.84903175,ORIGIN MODEL NOT RELIABLE - MORE REFERENCE DATA REQUIRED,WITHIN REFERENCE DOMAIN,NOT ASSESSED / REQUIRES EXPERT REVIEW,WITHIN REFERENCE DOMAIN - ORIGIN MODEL NOT RELIABLE
9,G3,4.871766632363874,2.207207881547154,20.090235029663237,4.482213184316787,False,WITHIN REFERENCE DOMAIN,G3,G2,0.1843540966510772,False,G3,0.75585246,ORIGIN MODEL NOT RELIABLE - MORE REFERENCE DATA REQUIRED,WITHIN REFERENCE DOMAIN,NOT ASSESSED / REQUIRES EXPERT REVIEW,WITHIN REFERENCE DOMAIN - ORIGIN MODEL NOT RELIABLE
13,G4,4.473001770105668,2.114947226316928,20.090235029663237,4.482213184316787,False,WITHIN REFERENCE DOMAIN,G4,G6,0.3942369222640991,False,G4,0.6297131,ORIGIN MODEL NOT RELIABLE - MORE REFERENCE DATA REQUIRED,WITHIN REFERENCE DOMAIN,NOT ASSESSED / REQUIRES EXPERT REVIEW,WITHIN REFERENCE DOMAIN - ORIGIN MODEL NOT RELIABLE
37,G8,4.152980642059674,2.037886317256111,20.090235029663237,4.482213184316787,False,WITHIN REFERENCE DOMAIN,G8,G2,0.2486477941274643,False,G8,0.7979449,ORIGIN MODEL NOT RELIABLE - MORE REFERENCE DATA REQUIRED,WITHIN REFERENCE DOMAIN,NOT ASSESSED / REQUIRES EXPERT REVIEW,WITHIN REFERENCE DOMAIN - ORIGIN MODEL NOT RELIABLE
34,G7,4.131271309342686,2.0325529044388206,20.090235029663237,4.482213184316787,False,WITHIN REFERENCE DOMAIN,G7,G1,0.1446858942508697,False,G7,0.80232215,ORIGIN MODEL NOT RELIABLE - MORE REFERENCE DATA REQUIRED,WITHIN REFERENCE DOMAIN,NOT ASSESSED / REQUIRES EXPERT REVIEW,WITHIN REFERENCE DOMAIN - ORIGIN MODEL NOT RELIABLE
11,G3,3.9745333159619465,1.9936231629778849,20.090235029663237,4.482213184316787,False,WITHIN REFERENCE DOMAIN,G3,G6,0.2752642035484314,False,G3,0.81265336,ORIGIN MODEL NOT RELIABLE - MORE REFERENCE DATA REQUIRED,WITHIN REFERENCE DOMAIN,NOT ASSESSED / REQUIRES EXPERT REVIEW,WITHIN REFERENCE DOMAIN - ORIGIN MODEL NOT RELIABLE
6,G2,3.937270786816271,1.9842557261644151,20.090235029663237,4.482213184316787,False,WITHIN REFERENCE DOMAIN,G2,G6,0.4191290736198425,False,G2,0.7391498,ORIGIN MODEL NOT RELIABLE - MORE REFERENCE DATA REQUIRED,WITHIN REFERENCE DOMAIN,NOT ASSESSED / REQUIRES EXPERT REVIEW,WITHIN REFERENCE DOMAIN - ORIGIN MODEL NOT RELIABLE
32,G6,3.869732079428318,1.9671634602717485,20.090235029663237,4.482213184316787,False,WITHIN REFERENCE DOMAIN,G6,G10,0.2662388980388641,False,G6,0.619572,ORIGIN MODEL NOT RELIABLE - MORE REFERENCE DATA REQUIRED,WITHIN REFERENCE DOMAIN,NOT ASSESSED / REQUIRES EXPERT REVIEW,WITHIN REFERENCE DOMAIN - ORIGIN MODEL NOT RELIABLE
29,G6,3.8560205225250335,1.9636752589277675,20.090235029663237,4.482213184316787,False,WITHIN REFERENCE DOMAIN,G6,G6,0.3281373381614685,True,G6,0.78683686,ORIGIN MODEL NOT RELIABLE - MORE REFERENCE DATA REQUIRED,WITHIN REFERENCE DOMAIN,NOT ASSESSED / REQUIRES EXPERT REVIEW,WITHIN REFERENCE DOMAIN - ORIGIN MODEL NOT RELIABLE
39,G9,3.711580887754919,1.9265463627317456,20.090235029663237,4.482213184316787,False,WITHIN REFERENCE DOMAIN,G9,G6,0.2640824019908905,False,G9,0.8269571,ORIGIN MODEL NOT RELIABLE - MORE REFERENCE DATA REQUIRED,WITHIN REFERENCE DOMAIN,NOT ASSESSED / REQUIRES EXPERT REVIEW,WITHIN REFERENCE DOMAIN - ORIGIN MODEL NOT RELIABLE
43,G11,3.6829644548207217,1.9191051182310783,20.090235029663237,4.482213184316787,False,WITHIN REFERENCE DOMAIN,G11,G4,0.519036591053009,False,G11,0.800493,ORIGIN MODEL NOT RELIABLE - MORE REFERENCE DATA REQUIRED,WITHIN REFERENCE DOMAIN,NOT ASSESSED / REQUIRES EXPERT REVIEW,WITHIN REFERENCE DOMAIN - ORIGIN MODEL NOT RELIABLE
42,G10,3.5920308971672488,1.8952653896399967,20.090235029663237,4.482213184316787,False,WITHIN REFERENCE DOMAIN,G10,G7,0.3820816874504089,False,G10,0.8653566,ORIGIN MODEL NOT RELIABLE - MORE REFERENCE DATA REQUIRED,WITHIN REFERENCE DOMAIN,NOT ASSESSED / REQUIRES EXPERT REVIEW,WITHIN REFERENCE DOMAIN - ORIGIN MODEL NOT RELIABLE
17,G4,3.5642939165208656,1.8879337691033724,20.090235029663237,4.482213184316787,False,WITHIN REFERENCE DOMAIN,G4,G4,0.2580308020114898,True,G4,0.75870633,ORIGIN MODEL NOT RELIABLE - MORE REFERENCE DATA REQUIRED,WITHIN REFERENCE DOMAIN,NOT ASSESSED / REQUIRES EXPERT REVIEW,WITHIN REFERENCE DOMAIN - ORIGIN MODEL NOT RELIABLE
41,G10,3.380467747215344,1.8386048371565176,20.090235029663237,4.482213184316787,False,WITHIN REFERENCE DOMAIN,G10,G4,0.271477460861206,False,G10,0.8445587,ORIGIN MODEL NOT RELIABLE - MORE REFERENCE DATA REQUIRED,WITHIN REFERENCE DOMAIN,NOT ASSESSED / REQUIRES EXPERT REVIEW,WITHIN REFERENCE DOMAIN - ORIGIN MODEL NOT RELIABLE
40,G9,3.37847745537048,1.8380635068926428,20.090235029663237,4.482213184316787,False,WITHIN REFERENCE DOMAIN,G9,G6,0.4408053457736969,False,G9,0.8304456,ORIGIN MODEL NOT RELIABLE - MORE REFERENCE DATA REQUIRED,WITHIN REFERENCE DOMAIN,NOT ASSESSED / REQUIRES EXPERT REVIEW,WITHIN REFERENCE DOMAIN - ORIGIN MODEL NOT RELIABLE
2,G1,3.239455851490414,1.799848841289294,20.090235029663237,4.482213184316787,False,WITHIN REFERENCE DOMAIN,G1,G2,0.2889372110366821,False,G1,0.9213796,ORIGIN MODEL NOT RELIABLE - MORE REFERENCE DATA REQUIRED,WITHIN REFERENCE DOMAIN,NOT ASSESSED / REQUIRES EXPERT REVIEW,WITHIN REFERENCE DOMAIN - ORIGIN MODEL NOT RELIABLE
44,G11,3.198454962503823,1.7884224787515457,20.090235029663237,4.482213184316787,False,WITHIN REFERENCE DOMAIN,G11,G2,0.4039192199707031,False,G11,0.8003575,ORIGIN MODEL NOT RELIABLE - MORE REFERENCE DATA REQUIRED,WITHIN REFERENCE DOMAIN,NOT ASSESSED / REQUIRES EXPERT REVIEW,WITHIN REFERENCE DOMAIN - ORIGIN MODEL NOT RELIABLE
16,G4,3.174906043129863,1.7818266029919585,20.090235029663237,4.482213184316787,False,WITHIN REFERENCE DOMAIN,G4,G6,0.467331975698471,False,G4,0.6351972,ORIGIN MODEL NOT RELIABLE - MORE REFERENCE DATA REQUIRED,WITHIN REFERENCE DOMAIN,NOT ASSESSED / REQUIRES EXPERT REVIEW,WITHIN REFERENCE DOMAIN - ORIGIN MODEL NOT RELIABLE
8,G2,3.1556897835913675,1.7764261266912755,20.090235029663237,4.482213184316787,False,WITHIN REFERENCE DOMAIN,G2,G6,0.569223940372467,False,G2,0.87323046,ORIGIN MODEL NOT RELIABLE - MORE REFERENCE DATA REQUIRED,WITHIN REFERENCE DOMAIN,NOT ASSESSED / REQUIRES EXPERT REVIEW,WITHIN REFERENCE DOMAIN - ORIGIN MODEL NOT RELIABLE
18,G4,3.0667403890698024,1.751211120644739,20.090235029663237,4.482213184316787,False,WITHIN REFERENCE DOMAIN,G4,G5,0.1846220046281814,False,G4,0.6904184,ORIGIN MODEL NOT RELIABLE - MORE REFERENCE DATA REQUIRED,WITHIN REFERENCE DOMAIN,NOT ASSESSED / REQUIRES EXPERT REVIEW,WITHIN REFERENCE DOMAIN - ORIGIN MODEL NOT RELIABLE
25,G6,2.9272464762225927,1.710919774923007,20.090235029663237,4.482213184316787,False,WITHIN REFERENCE DOMAIN,G6,G3,0.3626174330711365,False,G6,0.93373793,ORIGIN MODEL NOT RELIABLE - MORE REFERENCE DATA REQUIRED,WITHIN REFERENCE DOMAIN,NOT ASSESSED / REQUIRES EXPERT REVIEW,WITHIN REFERENCE DOMAIN - ORIGIN MODEL NOT RELIABLE
33,G6,2.665482006651256,1.6326303949918537,20.090235029663237,4.482213184316787,False,WITHIN REFERENCE DOMAIN,G6,G2,0.2361980080604553,False,G6,0.6029398,ORIGIN MODEL NOT RELIABLE - MORE REFERENCE DATA REQUIRED,WITHIN REFERENCE DOMAIN,NOT ASSESSED / REQUIRES EXPERT REVIEW,WITHIN REFERENCE DOMAIN - ORIGIN MODEL NOT RELIABLE
5,G2,2.513519429678024,1.5854082848522093,20.090235029663237,4.482213184316787,False,WITHIN REFERENCE DOMAIN,G2,G9,0.2044481188058853,False,G2,0.8667265,ORIGIN MODEL NOT RELIABLE - MORE REFERENCE DATA REQUIRED,WITHIN REFERENCE DOMAIN,NOT ASSESSED / REQUIRES EXPERT REVIEW,WITHIN REFERENCE DOMAIN - ORIGIN MODEL NOT RELIABLE
15,G4,2.231107251909434,1.4936891416588105,20.090235029663237,4.482213184316787,False,WITHIN REFERENCE DOMAIN,G4,G5,0.327043354511261,False,G4,0.6782959,ORIGIN MODEL NOT RELIABLE - MORE REFERENCE DATA REQUIRED,WITHIN REFERENCE DOMAIN,NOT ASSESSED / REQUIRES EXPERT REVIEW,WITHIN REFERENCE DOMAIN - ORIGIN MODEL NOT RELIABLE
22,G5,2.1858474194541118,1.4784611660284186,20.090235029663237,4.482213184316787,False,WITHIN REFERENCE DOMAIN,G5,G2,0.3209773600101471,False,G5,0.6267291,ORIGIN MODEL NOT RELIABLE - MORE REFERENCE DATA REQUIRED,WITHIN REFERENCE DOMAIN,NOT ASSESSED / REQUIRES EXPERT REVIEW,WITHIN REFERENCE DOMAIN - ORIGIN MODEL NOT RELIABLE
12,G3,2.1588826979554083,1.469313682627167,20.090235029663237,4.482213184316787,False,WITHIN REFERENCE DOMAIN,G3,G4,0.6194831132888794,False,G3,0.68349826,ORIGIN MODEL NOT RELIABLE - MORE REFERENCE DATA REQUIRED,WITHIN REFERENCE DOMAIN,NOT ASSESSED / REQUIRES EXPERT REVIEW,WITHIN REFERENCE DOMAIN - ORIGIN MODEL NOT RELIABLE
27,G6,1.7270618148163044,1.3141772387377224,20.090235029663237,4.482213184316787,False,WITHIN REFERENCE DOMAIN,G6,G6,0.4863635003566742,True,G6,0.8221859,ORIGIN MODEL NOT RELIABLE - MORE REFERENCE DATA REQUIRED,WITHIN REFERENCE DOMAIN,NOT ASSESSED / REQUIRES EXPERT REVIEW,WITHIN REFERENCE DOMAIN - ORIGIN MODEL NOT RELIABLE
