Group,Region,SampleId,SampleName,HPLCNumber,HarvestYear,Independent
G1,سمنان,1,94-1,1,1394,True
G1,سمنان,2,94-2,1,1394,False
G1,سمنان,3,04-10,04-10,1404,True
G2,اصفهان,4,94-5,3,1394,True
G2,اصفهان,5,04-27,04-27,1404,True
G2,اصفهان,6,04-19,04-19,1404,True
G2,اصفهان,7,04-20,04-20,1404,True
G2,اصفهان,8,04-21,04-21,1404,True
G3,زنجان,9,94-7,5,1394,True
G3,زنجان,10,94-8,6,1394,True
G3,زنجان,11,04-13,04-13,1404,True
G3,زنجان,12,04-22,04-22,1404,True
G4,اراک,13,94-9,7,1394,True
G4,اراک,14,04-4,04-4,1404,True
G4,اراک,15,04-5,04-5,1404,True
G4,اراک,16,04-6,04-6,1404,True
G4,اراک,17,04-7,04-7,1404,True
G4,اراک,18,04-14,04-14,1404,True
G4,اراک,19,04-15,04-15,1404,True
G5,خراسان شمالی,20,94-13,10,1394,True
G5,خراسان شمالی,21,04-3,04-3,1404,True
G5,خراسان شمالی,22,04-12,04-12,1404,True
G5,خراسان شمالی,23,04-23,04-23,1404,True
G6,خراسان رضوی,24,94-21,17,1394,True
G6,خراسان رضوی,25,94-22,17,1394,False
G6,خراسان رضوی,26,94-25,20,1394,True
G6,خراسان رضوی,27,94-26,21,1394,True
G6,خراسان رضوی,28,94-27,22,1394,True
G6,خراسان رضوی,29,94-28,22,1394,False
G6,خراسان رضوی,30,04-1,04-1,1404,True
G6,خراسان رضوی,31,04-11,04-11,1404,True
G6,خراسان رضوی,32,04-16,04-16,1404,True
G6,خراسان رضوی,33,04-18,04-18,1404,True
G7,فارس,34,94-30,24,1394,True
G7,فارس,35,94-30,24,1394,False
G7,فارس,36,94-32,25,1394,True
G8,قم,37,94-33,26,1394,True
G8,قم,38,04-2,04-2,1404,True
G9,یزد,39,94-35,28,1394,True
G9,یزد,40,94-36,29,1394,True
G10,قزوین,41,04-8,04-8,1404,True
G10,قزوین,42,04-9,04-9,1404,True
G11,لرستان,43,04-24,04-24,1404,True
G11,لرستان,44,04-25,04-25,1404,True
