ActualClass,PredictedClass,ErrorCount,ActualCount,ErrorRate
G10,G2,29,40,0.725
G3,G6,27,80,0.3375
G6,G4,25,160,0.15625
G4,G8,21,140,0.15
G6,G2,21,160,0.13125
G1,G4,20,40,0.5
G5,G3,20,80,0.25
G3,G4,20,80,0.25
G4,G6,19,140,0.1357142857142857
G4,G3,19,140,0.1357142857142857
G5,G6,18,80,0.225
G8,G4,17,40,0.425
G4,G1,17,140,0.12142857142857143
G2,G6,16,100,0.16
G5,G2,15,80,0.1875
G6,G3,15,160,0.09375
G1,G7,14,40,0.35
G8,G7,12,40,0.3
G5,G11,10,80,0.125
G2,G1,10,100,0.1
G2,G7,9,100,0.09
G7,G8,9,40,0.225
G5,G4,9,80,0.1125
G2,G10,8,100,0.08
G2,G11,8,100,0.08
G11,G5,7,40,0.175
G8,G9,7,40,0.175
G6,G1,7,160,0.04375
G3,G5,5,80,0.0625
G5,G1,5,80,0.0625
G3,G2,5,80,0.0625
G2,G4,4,100,0.04
G10,G11,4,40,0.1
G6,G5,4,160,0.025
G1,G2,3,40,0.075
G11,G4,3,40,0.075
G1,G8,3,40,0.075
G5,G10,3,80,0.0375
G10,G4,3,40,0.075
G8,G6,3,40,0.075
G4,G2,2,140,0.014285714285714285
G11,G3,2,40,0.05
G11,G10,2,40,0.05
G2,G3,2,100,0.02
G11,G2,1,40,0.025
G10,G6,1,40,0.025
G4,G5,1,140,0.007142857142857143
G6,G7,1,160,0.00625
G7,G1,1,40,0.025
G7,G2,1,40,0.025
G8,G2,1,40,0.025
G7,G6,1,40,0.025
G7,G9,1,40,0.025
