SampleId,ActualClass,PredictedClass,PredictionStability,Wavelength,AUC,Mean,Std,Min,Max,MaxTime,MinTime,Range
1,G1,G7,0.7,440,708873.0344534,23628.09537037037,140200.55437079503,-37172.0,1845250.0,16.8,3.333333,1882422.0
1,G1,G7,0.7,250,215072.92823250248,7167.698333333334,39949.09044279092,-26114.75,505608.25,13.2,3.3,531723.0
1,G1,G7,0.7,308,275102.71046507836,9168.81685185185,29804.587805282845,-20515.666666666668,336597.3333333333,16.96667,3.283333,357113.0
3,G1,G4,1.0,440,0.4791086183212324,0.015970266682576,0.11874631745347429,-0.0001816154,1.952058,17.91667,3.633333,1.9522396154000001
3,G1,G4,1.0,250,0.17809305418581522,0.005936623660140333,0.022290858485207562,-3.115833e-05,0.2758108,17.91667,1.383333,0.27584195833
3,G1,G4,1.0,308,0.2779945440519019,0.009266501361607112,0.03436828507122959,-8.167326e-05,0.5844144,17.95,1.8,0.58449607326
8,G2,G6,0.8,440,0.44374706741374603,0.014791524977387331,0.1199922074032308,-0.0002044588,1.963765,17.98333,29.43333,1.9639694588
8,G2,G6,0.8,250,0.19160923729361332,0.006387000891898333,0.042893402353459426,-1.563132e-05,0.7670046,14.33333,0.2833333,0.7670202313200001
8,G2,G6,0.8,308,0.240711298759346,0.008023743497083,0.03557236561546255,-4.093349e-05,0.655428,18.01667,1.35,0.65546893349
11,G3,G4,0.8,440,0.4284159255481302,0.014280494046558278,0.10645499447135423,-0.0001953095,1.887445,17.96667,29.56667,1.8876403095
11,G3,G4,0.8,250,0.15531997291067545,0.005177389454935309,0.021541362682521815,-1.803041e-05,0.268072,14.33333,1.433333,0.26809003040999996
11,G3,G4,0.8,308,0.2639085327274744,0.008796969245227224,0.031055739436512388,-5.801022e-05,0.4796709,17.96667,1.733333,0.47972891022
12,G3,G6,0.75,440,0.48660129717529704,0.01622001415691772,0.1146593558192597,-0.0001691878,1.931494,18.05,3.716667,1.9316631878000001
12,G3,G6,0.75,250,0.1770601855640172,0.005902051577525166,0.03380460299749859,-1.644343e-05,0.5977504,14.41667,1.116667,0.59776684343
12,G3,G6,0.75,308,0.31614477951090025,0.010538384127531723,0.03175917926637463,-4.017353e-05,0.4909619,18.06667,0.4,0.49100207353
18,G4,G8,0.8,440,0.591912092610803,0.01973039062869789,0.12017927712730145,-0.0003344864,1.673002,18.01667,29.83333,1.6733364864
18,G4,G8,0.8,250,0.16957178560424857,0.005652216657351667,0.025211422343727394,-0.001157306,0.2967176,14.31667,27.21667,0.29787490600000005
18,G4,G8,0.8,308,0.2711214638178481,0.009037419653494666,0.023744465427716133,-3.731996e-05,0.2962607,18.01667,2.35,0.29629801996
20,G5,G3,0.8,440,587716.4358294415,19589.497592592594,130416.97012009376,-39889.333333333336,1944272.0,16.71667,3.316667,1984161.3333333333
20,G5,G3,0.8,250,161649.19717350835,5386.645370370371,34498.07052230178,-26281.0,414465.0,13.15,3.3,440746.0
20,G5,G3,0.8,308,248986.37812510997,8298.181666666667,18632.17824334341,-13865.5,146788.5,17.58333,3.35,160654.0
31,G6,G4,0.9,440,0.4433409547499697,0.014778012138229614,0.11638474194596517,-0.0001476109,1.914611,17.96667,29.46667,1.9147586109
31,G6,G4,0.9,250,0.1667402412733609,0.005558049142464106,0.024511279819713246,-2.001971e-05,0.306607,14.35,0.65,0.30662701971
31,G6,G4,0.9,308,0.232867726131476,0.007762118112701288,0.03243610018022314,-0.0005268902,0.5818481,17.98333,29.93333,0.5823749901999999
38,G8,G4,0.85,440,0.45331960720899556,0.015110644472258888,0.09936664798686606,-0.0002138764,1.534754,18.03333,29.88333,1.5349678763999999
38,G8,G4,0.85,250,0.18600497994090204,0.006200232909224746,0.027756866638245118,-2.311915e-05,0.3500299,14.38333,29.4,0.35005301915
38,G8,G4,0.85,308,0.22147481513543749,0.007382521327978501,0.023765661838255497,-7.4476e-05,0.3071636,18.03333,2.2,0.30723807599999997
42,G10,G2,0.8,440,0.5212659049417191,0.01737551076034461,0.12521821030944547,-0.0001074821,1.932395,17.98333,28.55,1.9325024821
42,G10,G2,0.8,250,0.1873761699884937,0.00624591479694549,0.033493345606438,-1.41412e-05,0.5480539,14.33333,0.4,0.5480680412
42,G10,G2,0.8,308,0.3313039355233886,0.011043492349260223,0.038267624817218265,-5.161762e-05,0.6083344,17.96667,1.8,0.6083860176200001
