SampleId,ActualClass,PredictedClass,Wavelength,SimilarityToActual,SimilarityToPredicted,SimilarityGap_PredictedMinusActual
1,G1,G7,440,0.7241282431109274,0.8454155155033668,0.12128727239243942
1,G1,G7,250,0.7156457365214596,0.9862742658014761,0.27062852928001657
1,G1,G7,308,0.768211223213731,0.8649347094294068,0.09672348621567572
3,G1,G4,440,0.04871762384350911,0.8103826722237121,0.761665048380203
3,G1,G4,250,0.024295010078865392,0.8790939066732103,0.8547988965943449
3,G1,G4,308,0.18029541065081786,0.9233492425620516,0.7430538319112338
8,G2,G6,440,0.9314333786272541,0.5086039333446793,-0.4228294452825747
8,G2,G6,250,0.9206738856851316,0.4674957323668453,-0.45317815331828637
8,G2,G6,308,0.8327814446235715,0.6796162222678198,-0.1531652223557517
11,G3,G4,440,0.18692388481636651,0.9227514614874889,0.7358275766711224
11,G3,G4,250,0.29857868412520133,0.9422266607937518,0.6436479766685506
11,G3,G4,308,0.3913885786268354,0.9286633035833288,0.5372747249564934
12,G3,G6,440,0.18945066778305847,0.46992243297941694,0.28047176519635847
12,G3,G6,250,0.2835983305863065,0.4885530415072579,0.2049547109209514
12,G3,G6,308,0.42970852923026864,0.5570710252017702,0.12736249597150157
18,G4,G8,440,0.5163926741690067,0.6911311001840404,0.17473842601503375
18,G4,G8,250,0.7829978758953626,0.6473435245052211,-0.13565435139014148
18,G4,G8,308,0.526191244226084,0.7366148308348496,0.2104235866087656
20,G5,G3,440,0.02315067236892567,0.7295446250240476,0.706393952655122
20,G5,G3,250,0.029064744994750397,0.6944948023242737,0.6654300573295233
20,G5,G3,308,0.17791585696577283,0.5962736329499216,0.4183577759841488
31,G6,G4,440,0.29315839112626957,0.929076664567815,0.6359182734415454
31,G6,G4,250,0.38007261282708604,0.9419333089740825,0.5618606961469964
31,G6,G4,308,0.5261073593494562,0.9006920159597804,0.37458465661032425
38,G8,G4,440,0.02593441169296332,0.5316464891413546,0.5057120774483913
38,G8,G4,250,0.000864802367794069,0.8100271942834831,0.8091623919156891
38,G8,G4,308,0.07445732356420007,0.5749495875599742,0.5004922639957741
42,G10,G2,440,0.9636472575949758,0.9595511856634688,-0.004096071931507073
42,G10,G2,250,0.9848338111575035,0.9586892236937311,-0.02614458746377235
42,G10,G2,308,0.9385923443212274,0.8764024457765054,-0.06218989854472201
