SampleId,ActualClass,MostFrequentPrediction,Stability,CorrectRate,MeanScoreMargin,ValidationPredictions
39,G9,G9,1.0,1.0,0.7487739820007979,20
40,G9,G9,1.0,1.0,0.4766688288745774,20
6,G2,G2,0.95,0.95,0.14036850273772794,20
7,G2,G2,0.95,0.95,0.30132301581491344,20
34,G7,G7,0.9,0.9,0.1460095442547475,20
44,G11,G11,0.8,0.8,0.08992546198270843,20
15,G4,G4,0.75,0.75,0.3480909749156068,20
16,G4,G4,0.75,0.75,0.46934403259010454,20
24,G6,G6,0.75,0.75,0.19949896228468272,20
30,G6,G6,0.75,0.75,0.3960918518659582,20
33,G6,G6,0.75,0.75,0.2173662858070226,20
26,G6,G6,0.7,0.7,0.25762489075674594,20
10,G3,G3,0.6,0.6,0.22420773190483909,20
17,G4,G4,0.6,0.6,0.3443305458135208,20
9,G3,G3,0.55,0.55,0.3396375063951965,20
28,G6,G6,0.55,0.55,0.18834167356435705,20
27,G6,G6,0.5,0.5,0.3021293382725004,20
14,G4,G4,0.45,0.45,0.2053377012682363,20
19,G4,G4,0.45,0.45,0.14889770076253714,20
36,G7,G8,0.45,0.45,0.21708599365087888,20
43,G11,G11,0.45,0.45,0.11889754816420055,20
32,G6,G2,0.55,0.35,0.1799598619550693,20
42,G10,G2,0.8,0.15,0.20907745372533149,20
5,G2,G11,0.35,0.15,0.1349954577309129,20
8,G2,G6,0.8,0.1,0.4388426058525208,20
18,G4,G8,0.8,0.05,0.7463018605758693,20
3,G1,G4,1.0,0.0,0.7600177734284083,20
31,G6,G4,0.9,0.0,0.2781975340267257,20
38,G8,G4,0.85,0.0,0.4309623183923582,20
11,G3,G4,0.8,0.0,0.2950511633188428,20
20,G5,G3,0.8,0.0,0.4840330296959169,20
12,G3,G6,0.75,0.0,0.22533176855683074,20
1,G1,G7,0.7,0.0,0.18573071866385604,20
41,G10,G2,0.65,0.0,0.2324948980887127,20
21,G5,G2,0.6,0.0,0.6513007050039515,20
37,G8,G7,0.6,0.0,0.21484693413756856,20
4,G2,G1,0.5,0.0,0.1328783932911646,20
22,G5,G6,0.5,0.0,0.20857188193165982,20
23,G5,G11,0.5,0.0,0.11034356108011148,20
13,G4,G3,0.45,0.0,0.2000091460307393,20
