Modality,Group,SampleCount,WithinGroupMeanDistance,CentroidRadiusMean,NearestOtherGroup,NearestOtherCentroidSimilarity,OverallWithinDistance,OverallBetweenDistance,WithinBetweenDistanceRatio
250 nm,G1,2,60.650705106074774,30.325352553037387,G6,0.7788733949821427,40.752888496082065,43.081058149923976,0.9459583920678137
250 nm,G10,2,7.4491372384742,3.7245686192371004,G2,0.9487515590163683,40.752888496082065,43.081058149923976,0.9459583920678137
250 nm,G11,2,4.037185063627636,2.018592531813818,G2,0.9304546052033642,40.752888496082065,43.081058149923976,0.9459583920678137
250 nm,G2,5,33.43035204231465,22.117767602720612,G10,0.9487515590163683,40.752888496082065,43.081058149923976,0.9459583920678137
250 nm,G3,4,48.024482442045034,31.666437523250725,G8,0.9440697266562292,40.752888496082065,43.081058149923976,0.9459583920678137
250 nm,G4,7,37.49827320542076,25.038801861384826,G5,0.8510716788991437,40.752888496082065,43.081058149923976,0.9459583920678137
250 nm,G5,4,52.45031564581216,32.420533884897736,G2,0.8679210412866301,40.752888496082065,43.081058149923976,0.9459583920678137
250 nm,G6,8,44.7306994745558,32.26545292542532,G3,0.9043644592417603,40.752888496082065,43.081058149923976,0.9459583920678137
250 nm,G7,2,20.504117479942664,10.252058739971332,G9,0.949832988552576,40.752888496082065,43.081058149923976,0.9459583920678137
250 nm,G8,2,60.64460742813151,30.322303714065754,G3,0.9440697266562292,40.752888496082065,43.081058149923976,0.9459583920678137
250 nm,G9,2,7.611030330380742,3.805515165190371,G7,0.949832988552576,40.752888496082065,43.081058149923976,0.9459583920678137
308 nm,G1,2,56.37614763839847,28.18807381919924,G4,0.7683190206700385,42.239231854099515,46.03840596810865,0.9174781568970727
308 nm,G10,2,15.379125741025112,7.689562870512557,G4,0.9293627747378073,42.239231854099515,46.03840596810865,0.9174781568970727
308 nm,G11,2,12.00674939579394,6.003374697896971,G2,0.9338199479182214,42.239231854099515,46.03840596810865,0.9174781568970727
308 nm,G2,5,35.77380885775638,22.64943440944466,G11,0.9338199479182214,42.239231854099515,46.03840596810865,0.9174781568970727
308 nm,G3,4,49.793447772632284,30.969328274354822,G5,0.7643254873338965,42.239231854099515,46.03840596810865,0.9174781568970727
308 nm,G4,7,36.920125485031,24.561671686077684,G10,0.9293627747378074,42.239231854099515,46.03840596810865,0.9174781568970727
308 nm,G5,4,46.613298311634104,29.098024254756613,G2,0.8932701548508146,42.239231854099515,46.03840596810865,0.9174781568970727
308 nm,G6,8,49.07626493904477,33.26661855122401,G2,0.7999703079051553,42.239231854099515,46.03840596810865,0.9174781568970727
308 nm,G7,2,22.644193518389983,11.322096759194991,G1,0.6743666003533944,42.239231854099515,46.03840596810865,0.9174781568970727
308 nm,G8,2,60.37801790927824,30.18900895463912,G7,0.6422703702151096,42.239231854099515,46.03840596810865,0.9174781568970727
308 nm,G9,2,7.101453977031797e-10,3.550726988583731e-10,G8,0.5663769275902469,42.239231854099515,46.03840596810865,0.9174781568970727
440 nm,G1,2,59.30391156755435,29.651955783777176,G5,0.6965655083898182,40.63255713860179,43.04438276632554,0.943968864861722
440 nm,G10,2,11.53835425174015,5.769177125870075,G2,0.9471842087086906,40.63255713860179,43.04438276632554,0.943968864861722
440 nm,G11,2,2.7390761538689934,1.3695380769344967,G2,0.9123959152503625,40.63255713860179,43.04438276632554,0.943968864861722
440 nm,G2,5,29.720280939431376,20.26411486326796,G10,0.9471842087086907,40.63255713860179,43.04438276632554,0.943968864861722
440 nm,G3,4,48.91796098575549,32.04710061589143,G6,0.9526545496486591,40.63255713860179,43.04438276632554,0.943968864861722
440 nm,G4,7,40.055341577726615,27.04875096074986,G10,0.9155767935113052,40.63255713860179,43.04438276632554,0.943968864861722
440 nm,G5,4,55.17765564699346,33.84965481722319,G4,0.8725404144368771,40.63255713860179,43.04438276632554,0.943968864861722
440 nm,G6,8,43.459564479418944,31.81967442827901,G3,0.952654549648659,40.63255713860179,43.04438276632554,0.943968864861722
440 nm,G7,2,6.835876520229293,3.4179382601146466,G9,0.9816347172027613,40.63255713860179,43.04438276632554,0.943968864861722
440 nm,G8,2,59.87019466450904,29.93509733225452,G3,0.8786909779396974,40.63255713860179,43.04438276632554,0.943968864861722
440 nm,G9,2,8.61299876763878,4.30649938381939,G7,0.9816347172027613,40.63255713860179,43.04438276632554,0.943968864861722
Combined,G1,2,101.85151927989517,50.925759639947586,G4,0.7198104054017523,72.66601026765733,77.8973875600657,0.932842711979596
Combined,G10,2,20.61894209203116,10.30947104601558,G2,0.9284979447919041,72.66601026765733,77.8973875600657,0.932842711979596
Combined,G11,2,12.960070696877773,6.480035348438887,G2,0.9253853864289552,72.66601026765733,77.8973875600657,0.932842711979596
Combined,G2,5,58.70748161222999,37.75636626045379,G10,0.9284979447919041,72.66601026765733,77.8973875600657,0.932842711979596
Combined,G3,4,85.90912041686124,54.69547172076633,G6,0.8505800615378695,72.66601026765733,77.8973875600657,0.932842711979596
Combined,G4,7,66.90529486666057,44.49726489848704,G10,0.887952665841438,72.66601026765733,77.8973875600657,0.932842711979596
Combined,G5,4,90.43076762085195,55.428129189425526,G4,0.869004298888636,72.66601026765733,77.8973875600657,0.932842711979596
Combined,G6,8,80.80319531274081,56.44356592038421,G3,0.8505800615378695,72.66601026765733,77.8973875600657,0.932842711979596
Combined,G7,2,31.30347491141211,15.651737455706055,G9,0.8108232062000895,72.66601026765733,77.8973875600657,0.932842711979596
Combined,G8,2,104.44000031564302,52.22000015782151,G3,0.7519545321755271,72.66601026765733,77.8973875600657,0.932842711979596
Combined,G9,2,11.493978008562689,5.746989004281344,G7,0.8108232062000895,72.66601026765733,77.8973875600657,0.932842711979596
