Modality,GroupA,GroupB,CentroidSimilarity,CentroidDistance
250 nm,G7,G9,0.949832988552576,13.256045904418908
250 nm,G10,G2,0.9487515590163683,14.778462696533175
250 nm,G3,G8,0.9440697266562292,9.785499984086512
250 nm,G11,G2,0.9304546052033642,16.52736935177795
250 nm,G10,G11,0.9118260386972172,17.772338319703355
250 nm,G3,G6,0.9043644592417603,12.176651845820784
250 nm,G2,G5,0.86792104128663,16.97813091191515
250 nm,G4,G5,0.8510716788991437,17.157230454867946
250 nm,G6,G8,0.8437413772080745,16.116297935958418
250 nm,G2,G4,0.837592061937106,18.94945492241909
250 nm,G10,G4,0.8210688268678977,24.214832175871827
250 nm,G5,G6,0.8012649269045504,17.096484676047716
250 nm,G10,G5,0.7838076522487596,27.024140765818792
250 nm,G1,G6,0.7788733949821427,19.119066881059723
250 nm,G2,G6,0.7690888581306962,21.637825434174037
250 nm,G11,G4,0.7672003440724671,27.181985704413048
250 nm,G3,G5,0.763529814538645,18.892321983484948
250 nm,G11,G5,0.7629037424928703,27.973873232518727
250 nm,G1,G3,0.7423009897607855,20.79456974799714
250 nm,G1,G5,0.7359996226759966,20.66317330128575
250 nm,G5,G8,0.7278140903739126,20.975996919659316
250 nm,G1,G4,0.7182347495436844,23.53664659080056
250 nm,G3,G4,0.7171710563789451,23.215089652784098
250 nm,G3,G9,0.7073886996518346,29.919685907986945
250 nm,G4,G6,0.703690265783438,23.613905224939252
250 nm,G1,G7,0.6931731129732566,29.69515492023434
250 nm,G2,G3,0.6913736920628069,24.861111773515287
250 nm,G4,G8,0.6816864848922539,24.995079125292847
250 nm,G6,G7,0.6805616913015998,30.168739660727162
250 nm,G2,G8,0.6751984289864604,25.840932184694214
250 nm,G1,G9,0.6615805005911809,31.732642946694522
250 nm,G1,G8,0.6582244983285526,24.532489574653834
250 nm,G3,G7,0.6467385380945837,31.43564435807615
250 nm,G11,G6,0.6461789378261853,32.342762103461205
250 nm,G6,G9,0.6358668852782375,32.618691725551386
250 nm,G8,G9,0.6318041918740607,32.888357264699955
250 nm,G1,G2,0.6065029285120049,28.37917438254796
250 nm,G10,G6,0.5682306858739822,34.950409243255294
250 nm,G11,G8,0.5535053227668056,35.83809290682045
250 nm,G7,G8,0.5517085584717288,35.03501831127756
250 nm,G11,G3,0.5395510998806926,36.06526460988105
250 nm,G1,G10,0.48910807345871143,37.94522320559774
250 nm,G10,G3,0.4809835453549633,37.86315302875328
250 nm,G10,G8,0.4619439400162021,38.833356959362824
250 nm,G1,G11,0.3727999758767215,41.69858742910093
250 nm,G5,G9,0.36050022653820735,41.043908179361644
250 nm,G5,G7,0.3512407187845269,40.437897359409334
250 nm,G2,G9,0.22707198043975868,47.72740809066327
250 nm,G2,G7,0.2166378112415047,47.25416302791224
250 nm,G4,G9,0.1603870277467342,49.06221397593512
250 nm,G4,G7,0.14668735246845532,48.62746715817987
250 nm,G10,G9,-0.022553891436523196,60.43343569445125
250 nm,G11,G9,-0.025054261491983625,60.59020859505432
250 nm,G10,G7,-0.026552611689147954,59.77810116693558
250 nm,G11,G7,-0.028808318738039546,59.927815923945985
308 nm,G11,G2,0.9338199479182214,15.738975348681974
308 nm,G10,G4,0.9293627747378073,16.455172930548617
308 nm,G2,G5,0.8932701548508147,15.565130021633145
308 nm,G10,G5,0.892980358797353,20.23991014735745
308 nm,G10,G2,0.8898776906068242,19.210486761287097
308 nm,G4,G5,0.8849502387206553,15.370302060532614
308 nm,G10,G11,0.8662920813108953,21.649236098851457
308 nm,G2,G4,0.8537350808600674,18.320170920320862
308 nm,G11,G5,0.8463168385653539,23.120647070604196
308 nm,G2,G6,0.7999703079051553,20.81200935184739
308 nm,G11,G4,0.7767441951771665,26.454482692210252
308 nm,G1,G4,0.7683190206700385,22.0521390915585
308 nm,G3,G5,0.7643254873338965,20.142119336037158
308 nm,G2,G3,0.7627755434574017,22.480763241114637
308 nm,G11,G6,0.7423671538441318,28.67043750161364
308 nm,G5,G6,0.7362888063027211,20.461944973538355
308 nm,G4,G6,0.7169183393682558,23.087192926056588
308 nm,G10,G6,0.7021578501847544,29.926745314561355
308 nm,G3,G6,0.6933022085530793,21.59349433899075
308 nm,G3,G4,0.6871277240170997,24.77056053541598
308 nm,G1,G7,0.6743666003533944,30.4732742091594
308 nm,G11,G3,0.6727207435061322,31.08258808519342
308 nm,G1,G5,0.6533266125403814,25.63535480591429
308 nm,G7,G8,0.6422703702151096,31.539872568945338
308 nm,G10,G3,0.63023728453773,32.50111650259018
308 nm,G1,G10,0.6275349194145053,32.95218119749541
308 nm,G1,G8,0.5965031285387125,27.68386420425647
308 nm,G8,G9,0.5663769275902469,35.44015481039921
308 nm,G1,G2,0.5489485646744833,31.556128462691046
308 nm,G5,G8,0.5110463545706994,29.429507399851
308 nm,G2,G8,0.5014431452339074,32.38484504018963
308 nm,G4,G8,0.4984440856450163,31.567222269196566
308 nm,G7,G9,0.4960020961346643,41.844465050915815
308 nm,G6,G8,0.4863192048976974,28.348922746636276
308 nm,G1,G3,0.47793940754331266,31.07162688198929
308 nm,G3,G8,0.44536679448987365,30.9405147724277
308 nm,G1,G11,0.42849520491393783,40.349722609159514
308 nm,G1,G6,0.41370797083338706,31.485125235618987
308 nm,G11,G8,0.3916800637040296,40.887880438533315
308 nm,G10,G8,0.3688107166542889,41.37702815977577
308 nm,G1,G9,0.341261411165475,43.4424692932823
308 nm,G5,G7,0.3072473220573565,42.520877543472295
308 nm,G3,G7,0.2955247975328652,42.53843848658834
308 nm,G2,G7,0.2634586998244364,46.04743107927865
308 nm,G4,G7,0.26209634292928363,45.30936590880571
308 nm,G6,G7,0.14320542416146437,45.06438477292243
308 nm,G10,G7,0.13915421144194828,54.20229788580121
308 nm,G5,G9,0.1037835991092862,49.20420666175055
308 nm,G11,G7,0.0773220528205171,56.30456842318991
308 nm,G4,G9,0.06964916905601097,51.895955241595864
308 nm,G2,G9,0.04711697374972717,53.42748993727143
308 nm,G10,G9,0.037016668853639405,58.39364403861336
308 nm,G3,G9,0.03535142159502327,50.49764513509467
308 nm,G6,G9,0.014133538584348994,49.28478833725138
308 nm,G11,G9,0.008090648581915742,59.45692745861121
