TopK,Feature,SelectionCount,MeanFScore,SelectionRate
10,308_fraction_late,40,24.475997477530136,1.0
10,250_peak_3_area,22,3.8859981930046317,0.55
10,250_area_early,21,3.6529148824656748,0.525
10,250_std,19,4.091542612926178,0.475
10,308_peak_2_time,19,2.6881121299706603,0.475
10,250_retention_center,18,3.1336799387805487,0.45
10,308_area_early,17,4.112228066999399,0.425
10,440_peak_3_height,17,2.555251412037599,0.425
10,308_peak_2_height,14,2.9840664758267956,0.35
10,250_peak_2_area,13,5.59055508539526,0.325
10,308_std,13,3.0898711983811973,0.325
10,250_area_late,12,4.678924879141289,0.3
10,250_peak_2_height,12,3.956475677947997,0.3
10,308_area_late,9,5.038474778941144,0.225
10,250_peak_3_height,9,3.257696296830343,0.225
10,250_peak_count,9,2.6666814338472964,0.225
10,250_tmax,8,5.873126921254174,0.2
10,440_retention_center,8,3.5113490359058974,0.2
10,250_peak_1_time,7,6.538416398868113,0.175
10,308_peak_1_area,7,3.4887517362419755,0.175
10,250_abs_area,7,2.1543066627840846,0.175
10,250_fraction_early,6,3.152303535762299,0.15
10,308_peak_2_area,6,2.2415797116385616,0.15
10,250_peak_2_time,5,4.374391526478916,0.125
10,308_peak_count,5,3.3257428682499297,0.125
10,308_retention_center,5,2.5706023288596302,0.125
10,250_positive_area,5,2.1979852752545956,0.125
10,250_range,4,5.93579995895315,0.1
10,308_fraction_early,4,3.6548882383030667,0.1
10,308_fraction_middle,4,3.6130498702584033,0.1
10,250_max,3,8.629566132827023,0.075
10,250_peak_1_height,3,8.629566132827023,0.075
10,250_peak_1_area,3,7.177438503110731,0.075
10,308_peak_1_time,3,3.7942282460752588,0.075
10,308_tmax,3,3.7942282460752588,0.075
10,440_peak_3_area,3,3.3908841377370478,0.075
10,440_max,3,2.4518026822289802,0.075
10,440_peak_1_height,3,2.4518026822289802,0.075
10,440_range,3,2.4427013559450246,0.075
10,440_peak_2_area,3,2.27879386180971,0.075
10,440_area_early,3,1.7194074623971696,0.075
10,440_fraction_middle,2,4.379331317193655,0.05
10,440_fraction_early,2,4.375368355812338,0.05
10,308_area,2,3.743404013682821,0.05
10,250_fraction_late,2,3.449851397835036,0.05
10,308_peak_3_area,2,2.7894609262263685,0.05
10,308_peak_3_height,2,2.623686955813864,0.05
10,250_area_middle,2,2.5960879456763584,0.05
10,440_area_late,1,4.097108602070839,0.025
10,440_peak_count,1,3.8820618556700976,0.025
10,440_area,1,3.5336671123939114,0.025
10,440_positive_area,1,3.433406794078074,0.025
10,440_abs_area,1,3.4332513626698247,0.025
10,308_area_middle,1,2.9874832481790925,0.025
10,440_peak_1_area,1,2.0829293446382975,0.025
10,440_peak_3_time,1,1.5185860760249883,0.025
20,308_fraction_late,40,24.475997477530136,1.0
20,250_peak_3_area,31,3.3204592803639277,0.775
20,308_peak_2_time,29,2.3972026436891887,0.725
20,250_area_early,27,3.1832605807781538,0.675
20,440_peak_3_height,27,2.22702176678526,0.675
20,250_peak_2_height,26,2.706757881556835,0.65
20,250_retention_center,26,2.6977154799631498,0.65
20,308_area_early,24,3.397257851133736,0.6
20,308_peak_2_height,24,2.4512465981113327,0.6
20,250_std,23,3.699665636765103,0.575
20,250_peak_2_area,22,3.9223544818227807,0.55
20,440_retention_center,21,2.401802318481054,0.525
20,250_peak_1_time,20,3.304484456520637,0.5
20,250_tmax,20,3.304484456520637,0.5
20,308_std,20,2.623610698185528,0.5
20,250_peak_count,20,2.0774870344010186,0.5
20,250_area_late,19,3.6836913818173223,0.475
20,308_peak_1_area,19,2.349051928709775,0.475
20,250_peak_3_height,18,2.699215252956639,0.45
20,250_fraction_early,17,2.1686661768180007,0.425
20,308_peak_2_area,16,1.8660263014910798,0.4
20,308_area_late,14,3.8266475173602728,0.35
20,250_abs_area,14,1.769236853913019,0.35
20,440_area_early,14,1.5319456054517602,0.35
20,250_area_middle,13,2.2834739055387554,0.325
20,250_positive_area,12,1.7530758934971373,0.3
20,250_peak_1_area,11,3.0336218691640435,0.275
20,308_peak_count,11,2.3754169758951575,0.275
20,250_fraction_middle,11,1.8511425857077546,0.275
20,308_peak_1_time,10,2.3019156926352466,0.25
20,308_retention_center,10,2.0491610596216163,0.25
20,250_range,9,3.5796140488027572,0.225
20,250_peak_2_time,9,3.095279332855383,0.225
20,308_tmax,9,2.427104438579221,0.225
20,440_range,9,2.016572534970562,0.225
20,308_fraction_early,8,2.6167107251202193,0.2
20,308_fraction_middle,8,2.5857287281716386,0.2
20,250_peak_3_time,8,2.2942951288545186,0.2
20,440_max,8,2.0750014296606953,0.2
20,440_peak_1_height,8,2.0750014296606953,0.2
20,440_peak_count,8,2.033242874289998,0.2
20,250_max,7,4.64845249594063,0.175
20,250_peak_1_height,7,4.64845249594063,0.175
20,440_peak_3_area,7,2.3630085042576083,0.175
20,440_peak_2_area,7,1.797153836153244,0.175
20,250_fraction_late,6,2.207282218254338,0.15
20,308_peak_3_area,6,1.985812255095088,0.15
20,440_fraction_middle,5,2.622760407863207,0.125
20,440_fraction_early,5,2.620796533379317,0.125
20,440_peak_1_time,5,2.6063956797955776,0.125
20,308_peak_3_height,5,1.9680690136311145,0.125
20,440_peak_1_area,5,1.628383633097592,0.125
20,440_tmax,4,2.9493385679215205,0.1
20,308_area,4,2.9101280184513687,0.1
20,440_peak_2_time,4,2.251625035414186,0.1
20,250_area,4,2.2501324328024834,0.1
20,308_positive_area,3,3.231567045444333,0.075
20,308_abs_area,3,3.2313944839059583,0.075
20,440_fraction_late,3,2.858398010985494,0.075
20,308_area_middle,3,2.4837950356526393,0.075
20,308_peak_3_time,3,1.6126232567386538,0.075
20,440_abs_area,2,3.02556078040728,0.05
20,440_positive_area,2,3.02551093255098,0.05
20,440_area_late,2,2.823169817170575,0.05
20,440_peak_3_time,2,2.196788782868893,0.05
20,440_area,1,3.5336671123939114,0.025
20,440_area_middle,1,3.2844971980850164,0.025
20,440_std,1,0.7722580645161292,0.025
30,308_fraction_late,40,24.475997477530136,1.0
30,250_area_early,36,2.8285202070585282,0.9
30,250_peak_3_area,35,3.0733336675171965,0.875
30,308_area_early,34,2.706685311483752,0.85
30,308_peak_2_time,34,2.2721671766723177,0.85
30,250_peak_2_height,33,2.358290678178225,0.825
30,440_retention_center,33,1.994061926604998,0.825
30,308_peak_1_area,32,1.9647946702738568,0.8
30,440_peak_3_height,31,2.058318617854501,0.775
30,250_retention_center,30,2.489825752065672,0.75
30,308_peak_2_height,30,2.18933178037713,0.75
30,250_peak_3_height,29,2.1103795226822357,0.725
30,250_fraction_early,28,1.8689234905105379,0.7
30,250_tmax,27,2.783003907237964,0.675
30,250_area_middle,27,1.7533650525901872,0.675
30,250_peak_count,26,1.9501661521520195,0.65
30,250_std,25,3.4724781001096092,0.625
30,250_peak_1_time,25,2.9432603533307997,0.625
30,308_std,25,2.362189184672361,0.625
30,250_peak_2_area,24,3.7108539967141905,0.6
30,250_fraction_middle,24,1.6816727778558074,0.6
30,308_area_late,23,2.750878323140841,0.575
30,250_area_late,20,3.579019025655138,0.5
30,250_peak_3_time,20,1.7412451298144784,0.5
30,308_peak_2_area,19,1.7446162377005805,0.475
30,250_range,18,2.4387204732062204,0.45
30,308_peak_count,17,1.8963699063680968,0.425
30,250_positive_area,17,1.8270634445891154,0.425
30,440_peak_1_time,17,1.8236745863549988,0.425
30,440_tmax,17,1.8236745863549988,0.425
30,440_peak_2_time,17,1.79238980945262,0.425
30,250_peak_1_area,16,2.4393119756949133,0.4
30,250_abs_area,16,1.7580402555669943,0.4
30,440_peak_count,16,1.5729279568489227,0.4
30,440_area_early,16,1.4665259675510631,0.4
30,250_max,15,2.8703208561604043,0.375
30,250_peak_1_height,15,2.8703208561604043,0.375
30,308_peak_1_time,15,1.9800306042692313,0.375
30,308_tmax,15,1.9800306042692313,0.375
30,250_peak_2_time,14,2.363233865116587,0.35
30,440_peak_1_area,14,1.8063755209359809,0.35
30,440_range,14,1.7733853233173602,0.35
30,250_fraction_late,14,1.7517804629657776,0.35
30,308_fraction_early,13,2.0984163082908713,0.325
30,308_fraction_middle,13,2.0721510859386485,0.325
30,440_max,13,1.8728897649109204,0.325
30,440_fraction_late,13,1.7292383511082279,0.325
30,440_peak_1_height,12,1.9221129605206795,0.3
