TopK,Split,TrainSize,TestSize,Accuracy,BalancedAccuracy,MacroF1
10,1,20,20,0.3,0.1515151515151515,0.09235209235209235
10,2,20,20,0.25,0.11363636363636363,0.09415584415584415
10,3,20,20,0.25,0.12878787878787878,0.10202020202020202
10,4,20,20,0.25,0.11363636363636363,0.07226107226107227
10,5,20,20,0.15,0.07575757575757575,0.06233766233766234
10,6,20,20,0.4,0.2727272727272727,0.2186147186147186
10,7,20,20,0.35,0.26515151515151514,0.18073593073593075
10,8,20,20,0.35,0.1590909090909091,0.1080737444373808
10,9,20,20,0.2,0.10606060606060605,0.07575757575757575
10,10,20,20,0.3,0.20454545454545456,0.13429752066115702
10,11,20,20,0.1,0.11363636363636363,0.061983471074380174
10,12,20,20,0.3,0.22727272727272727,0.1555944055944056
10,13,20,20,0.35,0.2727272727272727,0.1768595041322314
10,14,20,20,0.25,0.13636363636363635,0.07614607614607614
10,15,20,20,0.3,0.22727272727272727,0.13544536271809
10,16,20,20,0.3,0.1590909090909091,0.1409090909090909
10,17,20,20,0.35,0.26515151515151514,0.192443919716647
10,18,20,20,0.05,0.022727272727272728,0.012121212121212121
10,19,20,20,0.2,0.10606060606060605,0.0610298792116974
10,20,20,20,0.3,0.20454545454545456,0.1424242424242424
10,21,20,20,0.25,0.1515151515151515,0.10173160173160173
10,22,20,20,0.35,0.25,0.17012987012987013
10,23,20,20,0.25,0.13636363636363635,0.10454545454545454
10,24,20,20,0.15,0.20454545454545456,0.11969696969696969
10,25,20,20,0.2,0.17424242424242423,0.13168044077134985
10,26,20,20,0.1,0.045454545454545456,0.03168044077134986
10,27,20,20,0.25,0.22727272727272727,0.18319559228650137
10,28,20,20,0.45,0.29545454545454547,0.20324675324675326
10,29,20,20,0.2,0.11363636363636363,0.07474747474747476
10,30,20,20,0.3,0.20454545454545456,0.15930735930735931
10,31,20,20,0.1,0.045454545454545456,0.03636363636363637
10,32,20,20,0.15,0.1590909090909091,0.11688311688311687
10,33,20,20,0.15,0.06818181818181818,0.045454545454545456
10,34,20,20,0.15,0.13636363636363635,0.06336088154269973
10,35,20,20,0.25,0.1515151515151515,0.11184573002754822
10,36,20,20,0.35,0.22727272727272727,0.15295815295815293
10,37,20,20,0.2,0.12878787878787878,0.11386593204775024
10,38,20,20,0.3,0.13636363636363635,0.10413223140495868
10,39,20,20,0.25,0.2727272727272727,0.1787878787878788
10,40,20,20,0.25,0.2727272727272727,0.2186147186147186
20,1,20,20,0.3,0.1590909090909091,0.0965034965034965
20,2,20,20,0.35,0.25,0.17418339236521055
20,3,20,20,0.25,0.14393939393939392,0.10909090909090909
20,4,20,20,0.25,0.13636363636363635,0.08484848484848485
20,5,20,20,0.2,0.10606060606060605,0.08181818181818182
20,6,20,20,0.4,0.2727272727272727,0.2
20,7,20,20,0.25,0.19696969696969696,0.1515151515151515
20,8,20,20,0.35,0.22727272727272727,0.1606060606060606
20,9,20,20,0.25,0.12878787878787878,0.11019283746556473
20,10,20,20,0.25,0.11363636363636363,0.07412587412587412
20,11,20,20,0.35,0.2424242424242424,0.15800865800865802
20,12,20,20,0.25,0.13636363636363635,0.11212121212121212
20,13,20,20,0.15,0.13636363636363635,0.08857808857808858
20,14,20,20,0.15,0.09090909090909091,0.046176046176046176
20,15,20,20,0.25,0.13636363636363635,0.07201889020070838
20,16,20,20,0.35,0.20454545454545456,0.17373737373737372
20,17,20,20,0.25,0.12878787878787878,0.08831168831168831
20,18,20,20,0.1,0.045454545454545456,0.022727272727272728
20,19,20,20,0.25,0.12878787878787878,0.08251748251748252
20,20,20,20,0.4,0.29545454545454547,0.19191919191919188
20,21,20,20,0.25,0.1515151515151515,0.09871441689623507
20,22,20,20,0.25,0.18181818181818182,0.13095238095238096
20,23,20,20,0.3,0.15909090909090906,0.11363636363636363
20,24,20,20,0.15,0.13636363636363635,0.1093073593073593
20,25,20,20,0.3,0.25,0.17777777777777778
20,26,20,20,0.15,0.06818181818181818,0.05555555555555555
20,27,20,20,0.25,0.22727272727272727,0.18434343434343434
20,28,20,20,0.35,0.2727272727272727,0.17597402597402595
20,29,20,20,0.2,0.11363636363636363,0.07727272727272728
20,30,20,20,0.25,0.18181818181818182,0.14025974025974025
20,31,20,20,0.2,0.09848484848484848,0.07575757575757575
20,32,20,20,0.1,0.06818181818181818,0.07142857142857142
20,33,20,20,0.2,0.16666666666666666,0.10454545454545454
20,34,20,20,0.2,0.18181818181818182,0.11212121212121212
20,35,20,20,0.25,0.12878787878787878,0.0974025974025974
20,36,20,20,0.35,0.22727272727272727,0.1424242424242424
20,37,20,20,0.1,0.0606060606060606,0.03305785123966942
20,38,20,20,0.3,0.13636363636363635,0.10413223140495868
20,39,20,20,0.25,0.2121212121212121,0.14242424242424243
20,40,20,20,0.2,0.18181818181818182,0.12698412698412698
30,1,20,20,0.35,0.18939393939393942,0.1389277389277389
30,2,20,20,0.3,0.22727272727272727,0.15555555555555553
30,3,20,20,0.2,0.18181818181818182,0.11487603305785124
30,4,20,20,0.2,0.09090909090909091,0.0427807486631016
30,5,20,20,0.2,0.10606060606060605,0.08181818181818182
30,6,20,20,0.3,0.22727272727272727,0.16767676767676767
30,7,20,20,0.3,0.2196969696969697,0.1545121545121545
30,8,20,20,0.3,0.13636363636363635,0.0915448188175461
30,9,20,20,0.2,0.10606060606060605,0.08500590318772137
30,10,20,20,0.25,0.11363636363636363,0.07412587412587412
30,11,20,20,0.2,0.11363636363636363,0.0859504132231405
30,12,20,20,0.15,0.06818181818181818,0.051515151515151514
30,13,20,20,0.15,0.13636363636363635,0.07575757575757575
30,14,20,20,0.15,0.09090909090909091,0.06313131313131314
30,15,20,20,0.35,0.3181818181818182,0.19191919191919188
30,16,20,20,0.35,0.20454545454545456,0.17575757575757575
30,17,20,20,0.25,0.18939393939393936,0.1222943722943723
30,18,20,20,0.2,0.09090909090909091,0.07575757575757575
30,19,20,20,0.25,0.12878787878787878,0.08251748251748252
30,20,20,20,0.45,0.3181818181818182,0.21313131313131314
30,21,20,20,0.25,0.1515151515151515,0.10238751147842057
30,22,20,20,0.3,0.22727272727272727,0.13636363636363635
30,23,20,20,0.25,0.13636363636363635,0.09848484848484848
30,24,20,20,0.25,0.18181818181818182,0.13787878787878788
30,25,20,20,0.25,0.20454545454545456,0.13939393939393938
30,26,20,20,0.15,0.09090909090909091,0.0606060606060606
30,27,20,20,0.2,0.13636363636363635,0.1212121212121212
30,28,20,20,0.3,0.18181818181818182,0.12727272727272726
30,29,20,20,0.2,0.11363636363636363,0.07929292929292929
30,30,20,20,0.25,0.18181818181818182,0.11969696969696969
30,31,20,20,0.35,0.1818181818181818,0.15454545454545454
30,32,20,20,0.05,0.045454545454545456,0.022727272727272728
30,33,20,20,0.15,0.13636363636363635,0.06233766233766234
30,34,20,20,0.15,0.13636363636363635,0.08181818181818182
30,35,20,20,0.3,0.1515151515151515,0.09235209235209235
30,36,20,20,0.3,0.20454545454545456,0.12878787878787878
30,37,20,20,0.1,0.0606060606060606,0.03305785123966942
30,38,20,20,0.25,0.11363636363636363,0.09696969696969697
30,39,20,20,0.2,0.18181818181818182,0.12396694214876035
30,40,20,20,0.3,0.25,0.16666666666666663
40,1,20,20,0.35,0.18181818181818182,0.11255411255411256
40,2,20,20,0.3,0.22727272727272727,0.15312213039485767
40,3,20,20,0.2,0.17424242424242423,0.10881542699724517
40,4,20,20,0.2,0.09090909090909091,0.045454545454545456
40,5,20,20,0.25,0.12878787878787878,0.08999081726354453
40,6,20,20,0.4,0.2727272727272727,0.19201101928374653
40,7,20,20,0.3,0.2196969696969697,0.19347319347319347
40,8,20,20,0.3,0.13636363636363635,0.09696969696969697
40,9,20,20,0.25,0.12878787878787878,0.09090909090909091
40,10,20,20,0.3,0.13636363636363635,0.09366391184573003
40,11,20,20,0.3,0.25,0.18989898989898987
40,12,20,20,0.2,0.09090909090909091,0.06942148760330578
40,13,20,20,0.2,0.1590909090909091,0.09090909090909091
40,14,20,20,0.15,0.09090909090909091,0.05909090909090909
40,15,20,20,0.35,0.3181818181818182,0.19191919191919193
40,16,20,20,0.35,0.20454545454545456,0.17676767676767674
40,17,20,20,0.1,0.053030303030303025,0.045454545454545456
40,18,20,20,0.2,0.09090909090909091,0.07107438016528925
40,19,20,20,0.25,0.13636363636363635,0.1097902097902098
40,20,20,20,0.4,0.25,0.18181818181818182
40,21,20,20,0.25,0.1515151515151515,0.10238751147842057
40,22,20,20,0.3,0.22727272727272727,0.13354978354978353
40,23,20,20,0.25,0.13636363636363635,0.09848484848484848
40,24,20,20,0.2,0.09090909090909091,0.07727272727272727
40,25,20,20,0.2,0.11363636363636363,0.08457300275482094
40,26,20,20,0.15,0.09090909090909091,0.0606060606060606
40,27,20,20,0.15,0.09090909090909091,0.07575757575757575
40,28,20,20,0.3,0.1590909090909091,0.11386593204775024
40,29,20,20,0.15,0.08333333333333333,0.05693296602387512
40,30,20,20,0.25,0.18181818181818182,0.12272727272727274
40,31,20,20,0.25,0.1212121212121212,0.08181818181818182
40,32,20,20,0.05,0.045454545454545456,0.025974025974025972
40,33,20,20,0.3,0.22727272727272727,0.12494172494172494
40,34,20,20,0.2,0.18181818181818182,0.11818181818181818
40,35,20,20,0.3,0.1515151515151515,0.08585858585858586
40,36,20,20,0.35,0.25,0.16515151515151516
40,37,20,20,0.1,0.0606060606060606,0.03305785123966942
40,38,20,20,0.25,0.11363636363636363,0.09494949494949494
40,39,20,20,0.15,0.09090909090909091,0.0707070707070707
40,40,20,20,0.2,0.13636363636363635,0.07851239669421488
50,1,20,20,0.35,0.18181818181818182,0.11255411255411256
50,2,20,20,0.2,0.09090909090909091,0.06978879706152433
50,3,20,20,0.2,0.17424242424242423,0.10489510489510488
50,4,20,20,0.3,0.1590909090909091,0.1085137085137085
50,5,20,20,0.2,0.10606060606060605,0.08585858585858586
50,6,20,20,0.25,0.20454545454545456,0.15600157418339233
50,7,20,20,0.3,0.2196969696969697,0.16666666666666663
50,8,20,20,0.3,0.13636363636363635,0.09696969696969697
50,9,20,20,0.25,0.12878787878787878,0.09090909090909091
50,10,20,20,0.3,0.13636363636363635,0.09696969696969697
50,11,20,20,0.2,0.11363636363636363,0.08181818181818182
50,12,20,20,0.2,0.09090909090909091,0.06433566433566434
50,13,20,20,0.25,0.18181818181818182,0.11255411255411256
50,14,20,20,0.2,0.11363636363636363,0.09487734487734487
50,15,20,20,0.4,0.3409090909090909,0.21625344352617076
50,16,20,20,0.3,0.1590909090909091,0.1313131313131313
50,17,20,20,0.1,0.053030303030303025,0.045454545454545456
50,18,20,20,0.2,0.09090909090909091,0.07107438016528925
50,19,20,20,0.2,0.10606060606060605,0.06666666666666667
50,20,20,20,0.35,0.22727272727272727,0.16533466533466534
50,21,20,20,0.25,0.1515151515151515,0.1
50,22,20,20,0.3,0.22727272727272727,0.1396103896103896
50,23,20,20,0.25,0.13636363636363635,0.10264735264735264
50,24,20,20,0.15,0.06818181818181818,0.06363636363636363
50,25,20,20,0.2,0.11363636363636363,0.08671328671328672
50,26,20,20,0.15,0.09090909090909091,0.0606060606060606
50,27,20,20,0.2,0.13636363636363635,0.09595959595959597
50,28,20,20,0.25,0.13636363636363635,0.10151515151515152
50,29,20,20,0.2,0.10606060606060605,0.07346189164370982
50,30,20,20,0.3,0.20454545454545456,0.13203463203463203
50,31,20,20,0.35,0.1818181818181818,0.15454545454545454
50,32,20,20,0.05,0.045454545454545456,0.022727272727272728
50,33,20,20,0.3,0.22727272727272727,0.1431235431235431
50,34,20,20,0.15,0.1590909090909091,0.1
50,35,20,20,0.3,0.1515151515151515,0.08181818181818182
50,36,20,20,0.4,0.2727272727272727,0.19191919191919193
50,37,20,20,0.1,0.0606060606060606,0.03305785123966942
50,38,20,20,0.25,0.11363636363636363,0.09494949494949494
50,39,20,20,0.15,0.09090909090909091,0.06666666666666667
50,40,20,20,0.2,0.13636363636363635,0.07575757575757575
60,1,20,20,0.35,0.18181818181818182,0.11255411255411256
60,2,20,20,0.3,0.18181818181818182,0.13535353535353534
60,3,20,20,0.2,0.18181818181818182,0.12396694214876035
60,4,20,20,0.3,0.1590909090909091,0.11760461760461759
60,5,20,20,0.2,0.10606060606060605,0.09235209235209235
60,6,20,20,0.3,0.22727272727272727,0.16767676767676767
60,7,20,20,0.25,0.19696969696969696,0.1542699724517906
60,8,20,20,0.3,0.13636363636363635,0.09696969696969697
60,9,20,20,0.25,0.12878787878787878,0.09090909090909091
60,10,20,20,0.3,0.13636363636363635,0.09366391184573003
