Modality,PC,GeographyEtaSquared,YearEtaSquared
250 nm,PC1,0.32501433163332777,0.9812631880007723
250 nm,PC2,0.2933868375960452,0.0004074116671285857
250 nm,PC3,0.49743109631085053,0.007120350570687981
250 nm,PC4,0.2903647521348326,0.0003045531710183381
250 nm,PC5,0.23782127035217146,0.007845769931202957
250 nm,PC6,0.11501671067462857,5.020828505009735e-08
250 nm,PC7,0.20513760714099338,2.788686570211968e-11
250 nm,PC8,0.19081320359704998,0.0005222234505996889
250 nm,PC9,0.5111767758695255,0.0015825056450928412
250 nm,PC10,0.5084653354507132,3.025451972109529e-05
308 nm,PC1,0.4019629289024759,0.933530165234486
308 nm,PC2,0.4070035990116245,0.003638395210789999
308 nm,PC3,0.3957044109141342,0.01513680659571974
308 nm,PC4,0.4558373340236774,0.002704070083435551
308 nm,PC5,0.250290909684049,0.0074932947728717884
308 nm,PC6,0.37343513933193306,2.9622687768347735e-05
308 nm,PC7,0.2019645860336328,3.265985511301024e-05
308 nm,PC8,0.3627475009795104,0.018423796739539682
308 nm,PC9,0.2631339704220558,0.009791902635114046
308 nm,PC10,0.16020981295657247,0.001196368515739186
440 nm,PC1,0.33716500373256,0.9708340703665705
440 nm,PC2,0.282912891575743,0.004909185103519644
440 nm,PC3,0.2651588170552253,0.01949141884640758
440 nm,PC4,0.3773931385052461,0.0007792271277008723
440 nm,PC5,0.32928511227966106,0.001245177271866125
440 nm,PC6,0.2206386113180607,0.00010840361690160303
440 nm,PC7,0.4667442950402357,0.0013593421803179571
440 nm,PC8,0.4052869557574065,1.6564581738478983e-06
440 nm,PC9,0.2267142210748,0.0001011269410468031
440 nm,PC10,0.3654594912161448,1.7840934705925695e-05
Combined,PC1,0.34283569613203363,0.9809584838583983
Combined,PC2,0.3027375713636615,0.0013377948106082544
Combined,PC3,0.4840658187064797,0.0011933928239636197
Combined,PC4,0.3495792040628753,0.007092004415440194
Combined,PC5,0.36401799264810586,0.005298138702145786
Combined,PC6,0.37023306371906145,0.0008079406142095419
Combined,PC7,0.49595564984503315,0.000491733549094303
Combined,PC8,0.23684653086087462,7.423531491924764e-05
Combined,PC9,0.21606768145798316,0.00032632699745631724
Combined,PC10,0.2527460729211253,4.2823631894842197e-05
