Modality,PC,ExplainedVariance,CumulativeVariance
250 nm,1,0.6632906002703958,0.6632906002703958
250 nm,2,0.09986288328802496,0.7631534835584207
250 nm,3,0.07216325274211315,0.8353167363005338
250 nm,4,0.0556856451104254,0.8910023814109592
250 nm,5,0.043589995941693785,0.934592377352653
250 nm,6,0.02226410240815327,0.9568564797608062
250 nm,7,0.010638590200475294,0.9674950699612815
250 nm,8,0.007462908429465765,0.9749579783907473
250 nm,9,0.0061803649375970614,0.9811383433283444
250 nm,10,0.004176195411429842,0.9853145387397743
308 nm,1,0.35984519892849287,0.35984519892849287
308 nm,2,0.14092338272408983,0.5007685816525826
308 nm,3,0.11172128602439244,0.6124898676769751
308 nm,4,0.08385493604818489,0.69634480372516
308 nm,5,0.0556507654747867,0.7519955691999467
308 nm,6,0.042483759132848554,0.7944793283327952
308 nm,7,0.03694162955301313,0.8314209578858084
308 nm,8,0.03530395570720049,0.8667249135930088
308 nm,9,0.030839183451245894,0.8975640970442548
308 nm,10,0.019613773607594025,0.9171778706518487
440 nm,1,0.6385212122255147,0.6385212122255147
440 nm,2,0.183351502575671,0.8218727148011857
440 nm,3,0.06620928426970592,0.8880819990708917
440 nm,4,0.042393631092524094,0.9304756301634158
440 nm,5,0.031384257829771986,0.9618598879931878
440 nm,6,0.013169707566502122,0.9750295955596899
440 nm,7,0.0070408000510868395,0.9820703956107768
440 nm,8,0.004696297227466304,0.9867666928382431
440 nm,9,0.002235874827645675,0.9890025676658888
440 nm,10,0.0021008648005474873,0.9911034324664363
Combined,1,0.544520045141037,0.544520045141037
Combined,2,0.13199235936236023,0.6765124045033972
Combined,3,0.050941334866304325,0.7274537393697016
Combined,4,0.04767583052187872,0.7751295698915803
Combined,5,0.0381756497754227,0.813305219667003
Combined,6,0.02895980804676025,0.8422650277137632
Combined,7,0.0249697002097364,0.8672347279234996
Combined,8,0.021571296111448642,0.8888060240349482
Combined,9,0.01843702787663823,0.9072430519115865
Combined,10,0.014657175887594314,0.9219002277991808
