SampleId,Wavelength,AUC,AbsAUC,MaxIntensity,MinIntensity,MeanIntensity,MedianIntensity,StdIntensity,RangeIntensity,P95Intensity,P05Intensity,ActualClass,Year
1,250,215072.92823250248,319295.07949225244,505608.25,-26114.75,7167.698333333334,681.625,39949.09044279092,531723.0,29326.237499999996,-5571.55,G1,1394
3,250,0.17809305418581522,0.17813201923367378,0.2758108,-3.115833e-05,0.005936623660140333,0.0011637955,0.022290858485207562,0.27584195833,0.01842118599999995,-2.115965099999973e-07,G1,1404
4,250,335481.06915650336,445297.32694949664,813967.3333333334,-25428.0,11181.294444444444,506.0,65218.06602205124,839395.3333333334,42786.64999999999,-5565.083333333333,G2,1394
5,250,0.17993042353320837,0.17993505679929017,0.4592593,-1.573563e-05,0.005997722837920612,0.0008093118999999999,0.028097328726490862,0.45927503563,0.016426315499999997,9.298325e-06,G2,1404
6,250,0.16682237960701232,0.1668576943680403,0.4886017,-2.550334e-05,0.0055608052658911115,0.0009565428,0.028344720442599086,0.48862720334000004,0.011845930999999999,-4.522502e-06,G2,1404
7,250,0.15984426196474086,0.15985578901335462,0.4327624,-1.759082e-05,0.005328210176250388,0.0011280105,0.025060170737709844,0.43277999082,0.010679515499999974,4.343688e-06,G2,1404
8,250,0.19160923729361332,0.19162051101919625,0.7670046,-1.563132e-05,0.006387000891898333,0.00048600135,0.042893402353459426,0.7670202313200001,0.013770194499999975,2.488494e-06,G2,1404
9,250,242162.55600523832,360006.3639877117,872195.0,-29603.666666666668,8070.650925925926,137.16666666666666,60102.98873494376,901798.6666666666,26727.116666666665,-5661.816666666667,G3,1394
10,250,280878.48446557997,376558.37171778665,679588.6666666666,-20219.0,9361.201296296296,928.8333333333334,51612.05910984308,699807.6666666666,28810.283333333307,-5311.7,G3,1394
11,250,0.15531997291067545,0.15533442306027564,0.268072,-1.803041e-05,0.005177389454935309,0.00090262295,0.021541362682521815,0.26809003040999996,0.013955126499999979,6.908178550000006e-06,G3,1404
12,250,0.1770601855640172,0.1770789190548791,0.5977504,-1.644343e-05,0.005902051577525166,0.00070811065,0.03380460299749859,0.59776684343,0.012816675499999998,0.0,G3,1404
13,250,347893.7995999733,438050.55045032664,714902.6666666666,-14053.333333333334,11594.993333333334,1422.6666666666665,55776.161041237894,728956.0,37549.65,-5450.733333333334,G4,1394
14,250,0.17015734130345717,0.17078131949730546,0.3106337,-0.000134185,0.005672010378728722,0.0007558316,0.024613954211892067,0.310767885,0.01468369749999996,-8.817017e-05,G4,1404
15,250,0.18571703197320316,0.18580025296948588,0.3089348,-5.019456e-05,0.006190729616931667,0.001102798,0.02352449714971375,0.30898499456,0.020234793499999962,-9.234249699999997e-06,G4,1404
16,250,0.16921797463349844,0.1692909821278792,0.2675315,-4.141778e-05,0.005640777161334945,0.0010940505,0.020825217562519576,0.26757291778,0.016816383999999997,-6.704032449999994e-06,G4,1404
17,250,0.197028256652901,0.19708235580913458,0.3420804,-2.971292e-05,0.006567745692199443,0.0013009014999999999,0.026618450538741366,0.34211011292,0.01407849949999999,-9.685755e-06,G4,1404
18,250,0.16957178560424857,0.18216771050256725,0.2967176,-0.001157306,0.005652216657351667,0.00020668655,0.025211422343727394,0.29787490600000005,0.015657723999999984,-0.001077197,G4,1404
19,250,0.18706994065121405,0.18708146098732548,0.3240433,-2.074987e-05,0.006235715716355,0.0010392595,0.026341922088608406,0.32406404987,0.016006889499999948,7.145107e-06,G4,1404
20,250,161649.19717350835,280119.343269055,414465.0,-26281.0,5386.645370370371,204.0,34498.07052230178,440746.0,19593.716666666645,-6356.349999999999,G5,1394
21,250,0.2178518450219201,0.2178518489955588,0.363888,-5.960464e-08,0.007262040787016733,0.0016265515,0.02678549261425353,0.36388805960464,0.023779274999999975,2.902746e-05,G5,1404
22,250,0.18377423568775175,0.18377730334050904,0.3765453,-1.060963e-05,0.0061258647560437215,0.0008853674,0.028573022667957505,0.37655590963,0.011985208499999988,1.633167e-05,G5,1404
23,250,0.14086449444470905,0.1408721009995959,0.4139333,-1.575053e-05,0.00469549982473011,0.0006222576,0.023982703230524927,0.41394905053000003,0.012425909999999997,4.276633e-06,G5,1404
24,250,330801.4978870783,445575.1496435817,901053.3333333334,-27198.666666666668,11025.183148148148,447.5,65771.12746670425,928252.0,38050.766666666656,-5916.366666666667,G6,1394
26,250,221626.47574334164,313735.1623124583,532961.6666666666,-23535.666666666668,7386.178888888889,640.6666666666667,41029.10005583028,556497.3333333333,22701.03333333333,-5217.216666666667,G6,1394
27,250,329165.29393018666,440256.0446169,837510.3333333334,-26348.0,10970.707962962964,446.3333333333333,65887.14896193105,863858.3333333334,34558.76666666666,-5753.05,G6,1394
28,250,185196.0029972,295452.46643303335,439081.0,-25749.0,6171.756111111111,565.6666666666667,36233.501228795474,464830.0,24757.066666666648,-5619.05,G6,1394
30,250,0.1931619703691447,0.19561174078178328,0.7536231,-0.0001978502,0.006438697145889334,0.00025156885000000005,0.043359692385119254,0.7538209502,0.015494126499999986,-0.00016189668,G6,1404
31,250,0.1667402412733609,0.16675753754846978,0.306607,-2.001971e-05,0.005558049142464106,0.0008940771,0.024511279819713246,0.30662701971,0.011185386999999998,7.078051950000021e-09,G6,1404
32,250,0.1934412768912697,0.19346793307068205,0.7048871,-2.011657e-05,0.006448057021895261,0.0005449355,0.0407475557789966,0.70490721657,0.014394098999999994,-1.3709067149999727e-07,G6,1404
33,250,0.19963137453346969,0.19965689723850993,0.6448592,-1.895428e-05,0.006654425100392,0.00073456765,0.03803149408751503,0.64487815428,0.018065629999999992,-1.788139e-06,G6,1404
34,250,322933.1094273217,437072.6567053783,892055.6666666666,-24965.0,10762.95537037037,451.16666666666663,67421.16102723272,917020.6666666666,33260.41666666666,-5815.366666666667,G7,1394
36,250,374767.12314938003,475539.40525032,971844.3333333334,-21407.0,12490.95388888889,645.6666666666666,74703.35808134424,993251.3333333334,37450.41666666663,-5246.666666666666,G7,1394
37,250,347451.56829231675,444924.4136149034,918650.3333333334,-21841.333333333332,11580.417962962965,457.3333333333333,68529.72507936713,940491.6666666667,35671.83333333333,-5108.683333333333,G8,1394
38,250,0.18600497994090204,0.18601217498802589,0.3500299,-2.311915e-05,0.006200232909224746,0.001094945,0.027756866638245118,0.35005301915,0.016527145999999996,3.195554e-05,G8,1404
39,250,279140.92420156836,383367.695932765,648296.3333333334,-25047.0,9303.205925925924,918.3333333333333,49723.922910827496,673343.3333333334,30468.716666666667,-5661.683333333333,G9,1394
40,250,306278.04288281006,422021.06345499004,922391.0,-28020.333333333332,10207.74685185185,378.3333333333333,67884.87963680142,950411.3333333334,31726.883333333335,-5928.783333333334,G9,1394
41,250,0.16542910627816898,0.16546043050478337,0.4024845,-2.448261e-05,0.005514335061896334,0.0008035450999999999,0.02513598332455276,0.40250898261,0.01739094499999999,-3.501773e-06,G10,1404
42,250,0.1873761699884937,0.1873797820294733,0.5480539,-1.41412e-05,0.00624591479694549,0.00071637335,0.033493345606438,0.5480680412,0.016354613499999997,1.589954e-05,G10,1404
43,250,0.15162122391563593,0.15162335130606286,0.3548979,-6.951392e-06,0.005054073312867889,0.00080605595,0.022101689145710948,0.354904851392,0.015146716499999999,9.022653e-06,G11,1404
44,250,0.15781192248578407,0.15781770810875043,0.4310553,-1.358986e-05,0.005260422960099554,0.00068843365,0.0258439498023848,0.43106888985999997,0.015165067999999995,7.390976e-06,G11,1404
1,308,275102.71046507836,345431.86735572165,336597.3333333333,-20515.666666666668,9168.81685185185,983.3333333333334,29804.587805282845,357113.0,43582.183333333276,-4625.083333333333,G1,1394
3,308,0.2779945440519019,0.2782148994601863,0.5844144,-8.167326e-05,0.009266501361607112,0.001734242,0.03436828507122959,0.58449607326,0.02237230499999999,-4.1905044e-05,G1,1404
4,308,224813.1392295017,312931.272202775,421523.0,-16990.333333333332,7492.232222222222,673.1666666666667,30453.644190022518,438513.3333333333,33302.86666666664,-5550.033333333334,G2,1394
5,308,0.3775426486568736,0.3775745073264658,0.4965814,-3.452599e-05,0.012584817319785946,0.002489969,0.03847632865733601,0.49661592599,0.03315268249999997,-6.705523e-07,G2,1404
6,308,0.37959280015288654,0.37959398206311235,0.5390136,-8.381903e-06,0.012653400466133332,0.003615104,0.035079306298945685,0.539021981903,0.02953280999999999,4.454702e-05,G2,1404
7,308,0.423934258202004,0.42407631196471357,0.4534879,-5.692244e-05,0.014131322658446244,0.005120099,0.03013859529344549,0.45354482244,0.035763879,-2.402067e-05,G2,1404
8,308,0.240711298759346,0.24078830101346207,0.655428,-4.093349e-05,0.008023743497083,0.0012304335000000001,0.03557236561546255,0.65546893349,0.0247972085,-1.2132523999999997e-05,G2,1404
9,308,352966.89328521665,421999.6332510499,254629.66666666666,-5371.666666666667,11764.087407407409,909.0,30527.915101088605,260001.3333333333,62510.24999999991,-5274.016666666666,G3,1394
10,308,338864.013773605,398368.77788467164,203235.66666666666,-10720.0,11293.94074074074,1075.5,24968.864588648026,213955.66666666666,57502.783333333304,-5395.7,G3,1394
11,308,0.2639085327274744,0.26406269168984353,0.4796709,-5.801022e-05,0.008796969245227224,0.0015775415000000002,0.031055739436512388,0.47972891022,0.0190343235,-2.4929644499999998e-05,G3,1404
12,308,0.31614477951090025,0.3161601574988023,0.4909619,-4.017353e-05,0.010538384127531723,0.0029339789999999998,0.03175917926637463,0.49100207353,0.026143346499999994,1.394749e-05,G3,1404
13,308,460981.01550791756,516528.3379937675,279481.5,-13306.5,15364.599722222221,1757.5,36744.636637140284,292788.0,72205.14999999997,-5084.225,G4,1394
14,308,0.2148039288676126,0.23668020484437108,0.6273931,-0.001595885,0.0071596935175833,3.6656855e-06,0.032965415158729534,0.628988985,0.020495957999999995,-0.0014397796,G4,1404
15,308,0.2895703189130238,0.29156337934684984,0.5960184,-0.0004226342,0.009652234737735887,0.0013362985,0.03603244970385221,0.5964410341999999,0.022166977499999997,-0.000218833985,G4,1404
16,308,0.27940549412443805,0.2798038578655543,0.5323046,-0.0001134053,0.009313496117963832,0.0016452895,0.03264293863510735,0.5324180053,0.021144486499999973,-7.12052e-05,G4,1404
17,308,0.31477602595046505,0.31481147980446966,0.5229509,-2.715737e-05,0.010492603588987279,0.0017239080000000001,0.03576359707923569,0.52297805737,0.0246742105,-3.07709e-06,G4,1404
18,308,0.2711214638178481,0.2711846499487273,0.2962607,-3.731996e-05,0.009037419653494666,0.0022182390000000003,0.023744465427716133,0.29629801996,0.03172197649999996,-9.186566e-06,G4,1404
19,308,0.294164298105202,0.29419150215682116,0.6002464,-3.051013e-05,0.009805508297428668,0.001637466,0.036480630613869566,0.60027691013,0.0230237755,-7.078052e-07,G4,1404
20,308,248986.37812510997,304118.10798436,146788.5,-13865.5,8298.181666666667,555.75,18632.17824334341,160654.0,43087.699999999975,-4831.0,G5,1394
21,308,0.24624862818320845,0.24624886511142485,0.6163943,-4.75347e-06,0.008208408462711722,0.002194777,0.03162954590726924,0.6163990534699999,0.01905615599999999,5.52326425e-05,G5,1404
22,308,0.2751423481806016,0.27539124852738944,0.608792,-8.40053e-05,0.009171398508665,0.002002634,0.031755803899373845,0.6088760053,0.0228320255,-4.490465e-05,G5,1404
23,308,0.2715706346396339,0.27182973050663034,0.4400817,-0.0001052693,0.009052329447000667,0.0016131325,0.029962493989078565,0.4401869693,0.023069170499999996,-3.5460293499999995e-05,G5,1404
24,308,223278.9128972267,300029.53730574,215172.33333333334,-24040.333333333332,7441.212777777777,629.8333333333333,23885.880908670344,239212.6666666667,41753.46666666666,-5194.45,G6,1394
26,308,417616.8304905375,455744.8879427375,224257.5,-7700.0,13918.962777777779,433.0,30420.95821008023,231957.5,77437.2,-4846.1,G6,1394
27,308,264328.60802324,308528.05555999,329381.5,-8839.5,8809.342222222222,391.0,28099.64708532032,338221.0,38753.375,-5534.9,G6,1394
28,308,295293.804618335,365813.24796199834,309489.6666666667,-22111.333333333332,9841.543333333333,682.6666666666667,28495.925893190786,331601.0,50602.29999999996,-5628.349999999999,G6,1394
30,308,0.26586390241125835,0.2658663024911902,0.5862774,-1.27703e-05,0.008862218140475499,0.0012976975,0.03541864329064392,0.5862901703,0.027463386999999992,2.633035e-05,G6,1404
31,308,0.232867726131476,0.23556783340097565,0.5818481,-0.0005268902,0.007762118112701288,0.0008560568000000001,0.03243610018022314,0.5823749901999999,0.01892548649999999,-0.000382932985,G6,1404
32,308,0.25595643364554305,0.2560212311282476,0.7339427,-3.914535e-05,0.008531869850979333,0.0012412819999999998,0.03817356805183063,0.73398184535,0.025165288499999983,-1.02967e-05,G6,1404
33,308,0.2522222100163392,0.2525651127748869,0.5394415,-0.0001085177,0.008407480188273335,0.0011920555,0.031783772950507716,0.5395500177,0.026620029499999993,-6.750971e-05,G6,1404
34,308,215681.10745666834,305871.9436353284,338887.0,-20401.333333333332,7187.672592592592,737.8333333333333,27960.964494934753,359288.3333333333,36428.849999999955,-6020.4,G7,1394
36,308,145415.27330812998,237997.52376013002,210842.33333333334,-29141.0,4845.590740740741,618.0,19848.332956165443,239983.33333333334,28696.18333333333,-5836.0,G7,1394
37,308,194911.12387084,267542.6627411333,257483.66666666666,-23297.0,6495.6646296296285,562.6666666666666,23017.349610047822,280780.6666666666,32875.73333333332,-5008.666666666667,G8,1394
38,308,0.22147481513543749,0.22160719523805392,0.3071636,-7.4476e-05,0.007382521327978501,0.001433045,0.023765661838255497,0.30723807599999997,0.026261024499999997,-2.345443e-05,G8,1404
39,308,211629.62933686498,284711.344679725,268921.3333333333,-25243.333333333332,7053.015,997.5,23230.094062985314,294164.6666666666,35728.149999999965,-4773.349999999999,G9,1394
40,308,112163.70354853844,150897.01268025424,142528.30666666667,-13378.966666666667,3738.09795,528.6750000000001,12311.949853382217,155907.27333333335,18935.91949999998,-2529.8755,G9,1394
41,308,0.3719864127077796,0.3722043501646917,0.4996551,-8.095801e-05,0.012399577294937665,0.002514705,0.03804926138278876,0.49973605801000004,0.03105154049999999,-3.875792e-05,G10,1404
42,308,0.3313039355233886,0.3314525378477969,0.6083344,-5.161762e-05,0.011043492349260223,0.0021284815,0.038267624817218265,0.6083860176200001,0.03141615249999998,-2.753735e-05,G10,1404
43,308,0.3005604408662209,0.3007027864011568,0.4097565,-5.831569e-05,0.010018713597159444,0.0021281019999999998,0.030310233864636674,0.40981481569,0.02485886799999999,-2.446026e-05,G11,1404
