OuterFold,SelectedComponents,InnerBalancedAccuracy,Accuracy,BalancedAccuracy,MacroF1,OuterTrainSize,OuterTestSize
1,6,0.12698412698412698,0.3,0.2424242424242424,0.19797979797979795,20,20
2,2,0.24206349206349206,0.3,0.18181818181818182,0.11349862258953168,20,20
3,3,0.3348214285714286,0.3,0.23484848484848483,0.18403263403263403,20,20
4,8,0.0625,0.35,0.25,0.22121212121212122,20,20
5,5,0.2857142857142857,0.25,0.18939393939393936,0.13039485766758493,20,20
6,2,0.09722222222222221,0.3,0.1590909090909091,0.10537190082644629,20,20
7,4,0.16964285714285715,0.45,0.303030303030303,0.22470156106519745,20,20
8,2,0.08333333333333333,0.35,0.18181818181818182,0.11930493748675568,20,20
9,9,0.12222222222222222,0.5,0.4772727272727273,0.43787878787878787,20,20
10,7,0.125,0.3,0.20454545454545456,0.1515151515151515,20,20
11,3,0.027777777777777776,0.25,0.13636363636363635,0.0755608028335301,20,20
12,4,0.29910714285714285,0.25,0.20454545454545456,0.12626262626262627,20,20
13,8,0.15476190476190477,0.4,0.28030303030303033,0.19347319347319347,20,20
14,4,0.42559523809523814,0.3,0.22727272727272727,0.17821067821067818,20,20
15,6,0.20238095238095238,0.35,0.26515151515151514,0.18181818181818182,20,20
16,7,0.246031746031746,0.3,0.3181818181818182,0.227994227994228,20,20
17,2,0.0625,0.25,0.14393939393939392,0.10346320346320347,20,20
18,6,0.17261904761904762,0.25,0.11363636363636363,0.07142857142857142,20,20
19,8,0.07291666666666666,0.35,0.3409090909090909,0.3212121212121212,20,20
20,2,0.0,0.25,0.1590909090909091,0.09641873278236913,20,20
21,2,0.13392857142857142,0.2,0.10606060606060605,0.053946053946053944,20,20
22,2,0.18253968253968253,0.3,0.1590909090909091,0.12373737373737374,20,20
23,2,0.15476190476190477,0.25,0.12878787878787878,0.07416267942583732,20,20
24,2,0.17857142857142855,0.3,0.1590909090909091,0.10009990009990011,20,20
25,6,0.13541666666666666,0.45,0.3181818181818182,0.2327823691460055,20,20
26,2,0.19444444444444442,0.3,0.18181818181818182,0.10909090909090911,20,20
27,8,0.22619047619047616,0.45,0.38636363636363635,0.33376623376623377,20,20
28,2,0.0,0.35,0.20454545454545456,0.12727272727272726,20,20
29,3,0.17857142857142855,0.25,0.20454545454545456,0.13911845730027547,20,20
30,5,0.2222222222222222,0.25,0.20454545454545456,0.13455988455988457,20,20
31,9,0.14583333333333331,0.3,0.356060606060606,0.32900432900432897,20,20
32,4,0.22619047619047616,0.3,0.22727272727272727,0.14675324675324675,20,20
33,2,0.0,0.25,0.13636363636363635,0.07593582887700534,20,20
34,4,0.23214285714285715,0.35,0.2727272727272727,0.2209366391184573,20,20
35,2,0.07142857142857142,0.2,0.10606060606060605,0.060606060606060615,20,20
36,3,0.20535714285714285,0.4,0.20454545454545456,0.1465564738292011,20,20
37,2,0.1875,0.25,0.14393939393939392,0.09164370982552801,20,20
38,7,0.23958333333333331,0.3,0.22727272727272727,0.18333333333333332,20,20
39,4,0.21428571428571427,0.2,0.2424242424242424,0.18787878787878787,20,20
40,3,0.18055555555555555,0.2,0.13636363636363635,0.08181818181818182,20,20
