OuterFold,SelectedComponents,SelectedInnerBA
1,6,0.12698412698412698
2,2,0.24206349206349206
3,3,0.3348214285714286
4,8,0.0625
5,5,0.2857142857142857
6,2,0.09722222222222221
7,4,0.16964285714285715
8,2,0.08333333333333333
9,9,0.12222222222222222
10,7,0.125
11,3,0.027777777777777776
12,4,0.29910714285714285
13,8,0.15476190476190477
14,4,0.42559523809523814
15,6,0.20238095238095238
16,7,0.246031746031746
17,2,0.0625
18,6,0.17261904761904762
19,8,0.07291666666666666
20,2,0.0
21,2,0.13392857142857142
22,2,0.18253968253968253
23,2,0.15476190476190477
24,2,0.17857142857142855
25,6,0.13541666666666666
26,2,0.19444444444444442
27,8,0.22619047619047616
28,2,0.0
29,3,0.17857142857142855
30,5,0.2222222222222222
31,9,0.14583333333333331
32,4,0.22619047619047616
33,2,0.0
34,4,0.23214285714285715
35,2,0.07142857142857142
36,3,0.20535714285714285
37,2,0.1875
38,7,0.23958333333333331
39,4,0.21428571428571427
40,3,0.18055555555555555
