Model,PLSComponents,Preprocessing,PreprocessingCode,Modality,Split,Repeat,Fold,Accuracy,BalancedAccuracy,MacroF1
PLS-DA,4,Raw,raw,440 nm,1,1,1,0.2,0.11363636363636363,0.06439393939393939
PLS-DA,4,Raw,raw,440 nm,2,1,2,0.25,0.2,0.10075757575757577
PLS-DA,4,Raw,raw,440 nm,3,2,1,0.23809523809523808,0.13636363636363635,0.08403361344537816
PLS-DA,4,Raw,raw,440 nm,4,2,2,0.21052631578947367,0.1,0.065
PLS-DA,4,Raw,raw,440 nm,5,3,1,0.25,0.13636363636363635,0.08181818181818182
PLS-DA,4,Raw,raw,440 nm,6,3,2,0.2,0.1,0.06666666666666667
PLS-DA,4,Raw,raw,440 nm,7,4,1,0.15,0.09090909090909091,0.03208556149732621
PLS-DA,4,Raw,raw,440 nm,8,4,2,0.25,0.2,0.09870129870129872
PLS-DA,4,Raw,raw,440 nm,9,5,1,0.15,0.1590909090909091,0.06593406593406594
PLS-DA,4,Raw,raw,440 nm,10,5,2,0.25,0.125,0.0707070707070707
PLS-DA,4,Raw,raw,440 nm,11,6,1,0.2,0.10606060606060605,0.08333333333333333
PLS-DA,4,Raw,raw,440 nm,12,6,2,0.25,0.2,0.08181818181818182
PLS-DA,4,Raw,raw,440 nm,13,7,1,0.15,0.1590909090909091,0.08658008658008658
PLS-DA,4,Raw,raw,440 nm,14,7,2,0.15,0.075,0.028708133971291863
PLS-DA,4,Raw,raw,440 nm,15,8,1,0.19047619047619047,0.11363636363636363,0.05227272727272727
PLS-DA,4,Raw,raw,440 nm,16,8,2,0.21052631578947367,0.1,0.06439393939393939
PLS-DA,4,Raw,raw,440 nm,17,9,1,0.14285714285714285,0.06818181818181818,0.03409090909090909
PLS-DA,4,Raw,raw,440 nm,18,9,2,0.15789473684210525,0.075,0.02727272727272727
PLS-DA,4,Raw,raw,440 nm,19,10,1,0.19047619047619047,0.18181818181818182,0.09090909090909091
PLS-DA,4,Raw,raw,440 nm,20,10,2,0.21052631578947367,0.125,0.06333333333333332
PLS-DA,4,Raw,raw,440 nm,21,11,1,0.2,0.17424242424242423,0.14485514485514486
PLS-DA,4,Raw,raw,440 nm,22,11,2,0.15,0.075,0.025974025974025972
PLS-DA,4,Raw,raw,440 nm,23,12,1,0.14285714285714285,0.09090909090909091,0.053391053391053385
PLS-DA,4,Raw,raw,440 nm,24,12,2,0.15789473684210525,0.1,0.03208556149732621
PLS-DA,4,Raw,raw,440 nm,25,13,1,0.2,0.11363636363636363,0.06507177033492823
PLS-DA,4,Raw,raw,440 nm,26,13,2,0.2,0.175,0.08931419457735247
PLS-DA,4,Raw,raw,440 nm,27,14,1,0.19047619047619047,0.11363636363636363,0.0522875816993464
PLS-DA,4,Raw,raw,440 nm,28,14,2,0.21052631578947367,0.175,0.09696969696969697
PLS-DA,4,Raw,raw,440 nm,29,15,1,0.23809523809523808,0.20454545454545456,0.1431818181818182
PLS-DA,4,Raw,raw,440 nm,30,15,2,0.05263157894736842,0.05,0.013333333333333332
PLS-DA,4,Raw,raw,440 nm,31,16,1,0.19047619047619047,0.10606060606060605,0.05827505827505827
PLS-DA,4,Raw,raw,440 nm,32,16,2,0.15789473684210525,0.125,0.056862745098039215
PLS-DA,4,Raw,raw,440 nm,33,17,1,0.3,0.2424242424242424,0.1515151515151515
PLS-DA,4,Raw,raw,440 nm,34,17,2,0.25,0.125,0.06666666666666667
PLS-DA,4,Raw,raw,440 nm,35,18,1,0.3,0.2196969696969697,0.1381648654375927
PLS-DA,4,Raw,raw,440 nm,36,18,2,0.1,0.075,0.03676470588235294
PLS-DA,4,Raw,raw,440 nm,37,19,1,0.2,0.17424242424242423,0.10675990675990675
