Wavelength,Year,Position,SampleId,MappedGroup,MedianAbs,MaxAbs,AbsAUC,SignalPoints
250,1394,Low,9,زنجان,4112.5,872195.0,360006.3639877117,1800
250,1394,Median,27,خراسان رضوی,4824.5,837510.3333333334,440256.0446169,1800
250,1394,High,25,خراسان رضوی,5438.166666666667,901053.3333333334,445575.1496435817,1800
250,1404,Low,30,خراسان رضوی,0.00025156885000000005,0.7536231,0.19561174078178328,1800
250,1404,Median,22,خراسان شمالی,0.0008853674,0.3765453,0.18377730334050904,1800
250,1404,High,21,خراسان شمالی,0.0016265515,0.363888,0.2178518489955588,1800
308,1394,Low,26,خراسان رضوی,2916.5,224257.5,455744.8879427375,1800
308,1394,Median,10,زنجان,4307.166666666667,203235.66666666666,398368.77788467164,1800
308,1394,High,9,زنجان,5066.166666666666,254629.66666666666,421999.6332510499,1800
308,1404,Low,31,خراسان رضوی,0.0008560568000000001,0.5818481,0.23556783340097565,1800
308,1404,Median,17,اراک,0.0017239080000000001,0.5229509,0.31481147980446966,1800
308,1404,High,7,اصفهان,0.005120099,0.4534879,0.42407631196471357,1800
440,1394,Low,26,خراسان رضوی,1192.1666666666665,1800348.0,757246.7816995002,1800
440,1394,Median,28,خراسان رضوی,1615.1666666666665,1753962.3333333333,712326.7049893517,1800
440,1394,High,35,فارس,1978.1666666666665,2532105.3333333335,970179.6027158101,1800
440,1404,Low,19,اراک,8.5949895e-05,1.969864,0.49642924542781275,1800
440,1404,Median,33,خراسان رضوی,0.0001308471,1.950425,0.5003895406165673,1800
440,1404,High,21,خراسان شمالی,0.00035636125,2.011344,0.5277496625757002,1800
