SampleId,Wavelength,WorkbookGroup,MappedGroup,Year,AUC,AbsAUC,MedianAbs,MeanAbs,MaxAbs,StdAbs,MinIntensity,MaxIntensity,SignalPoints,BlankCells,NumericCells,TextCells,ErrorCells,FormulaCells,NumberFormatCount,StyleIdCount,DataTypePattern
1,440,G1,سمنان,1394,708873.0344534,778380.7602785766,1359.1666666666665,25947.0287037037,1845250.0,139789.96401086432,-37172.0,1845250.0,1800,0,1800,0,0,0,1,1,n:1800
2,440,G1,سمنان,1394,708873.0344534,778380.7602785766,1359.1666666666665,25947.0287037037,1845250.0,139789.96401086432,-37172.0,1845250.0,1800,0,1800,0,0,0,1,1,n:1800
3,440,G1,سمنان,1404,0.4791086183212324,0.47939331076412417,0.000110507,0.015979804485098226,1.952058,0.11874503431845866,-0.0001816154,1.952058,1800,0,1800,0,0,0,2,2,n:1800
4,440,G2,اصفهان,1394,983054.6071826417,1044758.5438272784,1827.1666666666665,34826.14277777778,2586113.0,202850.04048228057,-44084.0,2586113.0,1800,0,1800,0,0,0,1,1,n:1800
5,440,G2,اصفهان,1404,0.527445084819028,0.5277165806687417,0.0001616627,0.017590564249583666,1.875185,0.11868546844098986,-0.0002074093,1.875185,1800,0,1800,0,0,0,2,2,n:1800
6,440,G2,اصفهان,1404,0.43685172654530036,0.43711791961457824,0.00016364455,0.014570653364432022,1.907963,0.10518906752803338,-0.0001768172,1.907963,1800,0,1800,0,0,0,2,2,n:1800
7,440,G2,اصفهان,1404,0.3923583892478216,0.3929803348973439,0.0001770258,0.01309937351953311,1.77411,0.0936596064534182,-0.0001939684,1.77411,1800,0,1800,0,0,0,2,2,n:1800
8,440,G2,اصفهان,1404,0.44374706741374603,0.4443544471904031,8.736551e-05,0.014811855690933112,1.963765,0.11998969947311146,-0.0002044588,1.963765,1800,0,1800,0,0,0,2,2,n:1800
9,440,G3,زنجان,1394,742284.3043815902,809944.4976209567,1603.0,26999.019259259258,2461563.6666666665,173240.63743422626,-37377.0,2461563.6666666665,1800,0,1800,0,0,0,1,1,n:1800
10,440,G3,زنجان,1394,909963.990532545,960721.4625091451,1304.8333333333335,32024.884259259263,2534133.3333333335,182621.17234607766,-43411.0,2534133.3333333335,1800,0,1800,0,0,0,1,1,n:1800
11,440,G3,زنجان,1404,0.4284159255481302,0.4288671696470918,9.4413755e-05,0.0142956078966045,1.887445,0.10645296591911559,-0.0001953095,1.887445,1800,0,1800,0,0,0,2,2,n:1800
12,440,G3,زنجان,1404,0.48660129717529704,0.48697978887589727,0.00013506409999999999,0.016232699018518166,1.931494,0.11465756066964106,-0.0001691878,1.931494,1800,0,1800,0,0,0,2,2,n:1800
13,440,G4,اراک,1394,1081712.9072046902,1128523.5253002401,1530.0,37618.3337037037,2527990.6666666665,191047.83047276278,-44892.333333333336,2527990.6666666665,1800,0,1800,0,0,0,1,1,n:1800
14,440,G4,اراک,1404,0.4759580669033648,0.47667351089822857,0.0001039505,0.015889174723500245,1.995634,0.12550322993674737,-0.0002670139,1.995634,1800,0,1800,0,0,0,2,2,n:1800
15,440,G4,اراک,1404,0.5179590489489436,0.5180453605008023,0.0001643449,0.017268198619552835,1.993142,0.124297878855541,-0.0001091212,1.993142,1800,0,1800,0,0,0,2,2,n:1800
16,440,G4,اراک,1404,0.4641084864064387,0.464732906896491,0.00010319054999999999,0.01549111363554489,1.937741,0.1145320399740135,-0.0002074689,1.937741,1800,0,1800,0,0,0,2,2,n:1800
17,440,G4,اراک,1404,0.514635876728376,0.5155387046196303,9.967389e-05,0.017184650730535222,1.952495,0.12145278743406722,-0.0001646429,1.952495,1800,0,1800,0,0,0,2,2,n:1800
18,440,G4,اراک,1404,0.591912092610803,0.5938436255645347,0.0001256317,0.01979479980421011,1.673002,0.12016868504694962,-0.0003344864,1.673002,1800,0,1800,0,0,0,2,2,n:1800
19,440,G4,اراک,1404,0.49590891432291406,0.49642924542781275,8.5949895e-05,0.016547679971156668,1.969864,0.12050985962873585,-0.000189811,1.969864,1800,0,1800,0,0,0,2,2,n:1800
20,440,G5,خراسان شمالی,1394,587716.4358294415,663372.7095148984,1711.0,22113.47574074074,1944272.0,130012.80206925505,-39889.333333333336,1944272.0,1800,0,1800,0,0,0,1,1,n:1800
21,440,G5,خراسان شمالی,1404,0.5277373974129772,0.5277496625757002,0.00035636125,0.017591707093226668,2.011344,0.1324034764583213,-5.502999e-05,2.011344,1800,0,1800,0,0,0,2,2,n:1800
22,440,G5,خراسان شمالی,1404,0.452732851400577,0.4527996021438618,0.0001817495,0.015093339188655054,1.952964,0.11443703509409357,-0.0001091212,1.952964,1800,0,1800,0,0,0,2,2,n:1800
23,440,G5,خراسان شمالی,1404,0.3932679513060897,0.3937670469638491,0.00011087955,0.01312562774885767,1.73738,0.09546946929809863,-0.0002217144,1.73738,1800,0,1800,0,0,0,2,2,n:1800
24,440,G6,خراسان رضوی,1394,996289.2427155765,1059574.4098861464,1820.6666666666665,35320.06351851852,2569096.6666666665,197419.00334938295,-46495.666666666664,2569096.6666666665,1800,0,1800,0,0,0,1,1,n:1800
25,440,G6,خراسان رضوی,1394,996289.2427155765,1059574.4098861464,1820.6666666666665,35320.06351851852,2569096.6666666665,197419.00334938295,-46495.666666666664,2569096.6666666665,1800,0,1800,0,0,0,1,1,n:1800
26,440,G6,خراسان رضوی,1394,706148.9542855,757246.7816995002,1192.1666666666665,25242.359444444446,1800348.0,132952.45798828025,-40004.666666666664,1800348.0,1800,0,1800,0,0,0,1,1,n:1800
27,440,G6,خراسان رضوی,1394,958319.0616980983,1020459.1287640017,1485.6666666666665,34016.175,2432118.3333333335,192205.59705704078,-42970.333333333336,2432118.3333333335,1800,0,1800,0,0,0,1,1,n:1800
28,440,G6,خراسان رضوی,1394,652283.738862915,712326.7049893517,1615.1666666666665,23745.077777777773,1753962.3333333333,129881.87820233306,-38567.0,1753962.3333333333,1800,0,1800,0,0,0,1,1,n:1800
29,440,G6,خراسان رضوی,1394,652283.738862915,712326.7049893517,1615.1666666666665,23745.077777777773,1753962.3333333333,129881.87820233306,-38567.0,1753962.3333333333,1800,0,1800,0,0,0,1,1,n:1800
30,440,G6,خراسان رضوی,1404,0.48448536742412107,0.4887699575756753,0.000169903,0.016292396653085506,1.957621,0.12597280465210806,-0.0003639758,1.957621,1800,0,1800,0,0,0,2,2,n:1800
31,440,G6,خراسان رضوی,1404,0.4433409547499697,0.4435247788283898,0.0001265705,0.014784184927740168,1.914611,0.11638395798652384,-0.0001476109,1.914611,1800,0,1800,0,0,0,2,2,n:1800
32,440,G6,خراسان رضوی,1404,0.4793915199143555,0.4808229674237659,9.7513195e-05,0.016027463161555445,1.979964,0.12565654213095992,-0.0002340376,1.979964,1800,0,1800,0,0,0,2,2,n:1800
33,440,G6,خراسان رضوی,1404,0.49781129018556497,0.5003895406165673,0.0001308471,0.016679721610991443,1.950425,0.1250808504268766,-0.0004217178,1.950425,1800,0,1800,0,0,0,2,2,n:1800
34,440,G7,فارس,1394,908730.36648441,970179.6027158101,1978.1666666666665,32340.19555555556,2532105.3333333335,189093.35117030708,-43143.0,2532105.3333333335,1800,0,1800,0,0,0,1,1,n:1800
35,440,G7,فارس,1394,908730.36648441,970179.6027158101,1978.1666666666665,32340.19555555556,2532105.3333333335,189093.35117030708,-43143.0,2532105.3333333335,1800,0,1800,0,0,0,1,1,n:1800
36,440,G7,فارس,1394,954281.3041403119,1005270.833140322,1827.1666666666665,33509.767592592594,2610488.0,195502.82799734795,-39143.0,2610488.0,1800,0,1800,0,0,0,1,1,n:1800
37,440,G8,قم,1394,943400.0764580384,994841.9227811949,1301.8333333333335,33162.17148148148,2529674.3333333335,190565.24946246194,-36468.333333333336,2529674.3333333335,1800,0,1800,0,0,0,1,1,n:1800
38,440,G8,قم,1404,0.45331960720899556,0.4536481433717626,0.0002422184,0.015121613465546668,1.534754,0.09936497931721901,-0.0002138764,1.534754,1800,0,1800,0,0,0,2,2,n:1800
39,440,G9,یزد,1394,891189.367255545,951932.2591011217,1473.3333333333333,31731.951296296298,2527594.0,186962.50645242384,-38465.0,2527594.0,1800,0,1800,0,0,0,1,1,n:1800
40,440,G9,یزد,1394,885741.5684675282,950222.5883787717,1664.3333333333333,31674.99,2510628.0,177687.40590811602,-40006.0,2510628.0,1800,0,1800,0,0,0,1,1,n:1800
41,440,G10,قزوین,1404,0.494892847384555,0.49506977153766285,0.0001477301,0.01650234055676963,1.831881,0.11238631837355299,-0.0001471937,1.831881,1800,0,1800,0,0,0,2,2,n:1800
42,440,G10,قزوین,1404,0.5212659049417191,0.5213720011159136,0.0001876801,0.01737908581380872,1.932395,0.12521771417638816,-0.0001074821,1.932395,1800,0,1800,0,0,0,2,2,n:1800
43,440,G11,لرستان,1404,0.4533347548997047,0.4535641270200848,0.00014783445,0.01511882747363522,1.858914,0.1055454072250919,-0.0001755804,1.858914,1800,0,1800,0,0,0,2,2,n:1800
44,440,G11,لرستان,1404,0.45138435046389647,0.4517100262382162,0.0001295954,0.015057076775298165,1.881179,0.10916379585074805,-0.0002664179,1.881179,1800,0,1800,0,0,0,2,2,n:1800
1,250,G1,سمنان,1394,215072.92823250248,319295.07949225244,4690.375,10644.568888888889,505608.25,39166.29775423837,-26114.75,505608.25,1800,0,1800,0,0,0,1,1,n:1800
2,250,G1,سمنان,1394,215072.92823250248,319295.07949225244,4690.375,10644.568888888889,505608.25,39166.29775423837,-26114.75,505608.25,1800,0,1800,0,0,0,1,1,n:1800
3,250,G1,سمنان,1404,0.17809305418581522,0.17813201923367378,0.0011637955,0.005937922494996334,0.2758108,0.022290512531862174,-3.115833e-05,0.2758108,1800,0,1800,0,0,0,2,2,n:1800
4,250,G2,اصفهان,1394,335481.06915650336,445297.32694949664,4969.5,14844.651851851853,813967.3333333334,64482.972888254095,-25428.0,813967.3333333334,1800,0,1800,0,0,0,1,1,n:1800
5,250,G2,اصفهان,1404,0.17993042353320837,0.17993505679929017,0.0008093118999999999,0.0059978772801760555,0.4592593,0.028097295758434677,-1.573563e-05,0.4592593,1800,0,1800,0,0,0,2,2,n:1800
6,250,G2,اصفهان,1404,0.16682237960701232,0.1668576943680403,0.0009565428,0.0055619824245646664,0.4886017,0.028344489476494206,-2.550334e-05,0.4886017,1800,0,1800,0,0,0,2,2,n:1800
7,250,G2,اصفهان,1404,0.15984426196474086,0.15985578901335462,0.0011280105,0.005328594410950944,0.4327624,0.0250600890399266,-1.759082e-05,0.4327624,1800,0,1800,0,0,0,2,2,n:1800
8,250,G2,اصفهان,1404,0.19160923729361332,0.19162051101919625,0.00048600135,0.006387376682651888,0.7670046,0.042893346395015436,-1.563132e-05,0.7670046,1800,0,1800,0,0,0,2,2,n:1800
9,250,G3,زنجان,1394,242162.55600523832,360006.3639877117,4112.5,12001.645,872195.0,59442.95735017648,-29603.666666666668,872195.0,1800,0,1800,0,0,0,1,1,n:1800
10,250,G3,زنجان,1394,280878.48446557997,376558.37171778665,4800.333333333334,12553.361296296298,679588.6666666666,50929.852301301304,-20219.0,679588.6666666666,1800,0,1800,0,0,0,1,1,n:1800
11,250,G3,زنجان,1404,0.15531997291067545,0.15533442306027564,0.00090262295,0.005177871126669977,0.268072,0.021541246908747324,-1.803041e-05,0.268072,1800,0,1800,0,0,0,2,2,n:1800
12,250,G3,زنجان,1404,0.1770601855640172,0.1770789190548791,0.00070811065,0.005902676027270722,0.5977504,0.0338044939669172,-1.644343e-05,0.5977504,1800,0,1800,0,0,0,2,2,n:1800
13,250,G4,اراک,1394,347893.7995999733,438050.55045032664,5129.333333333334,14603.151851851853,714902.6666666666,55065.161099282224,-14053.333333333334,714902.6666666666,1800,0,1800,0,0,0,1,1,n:1800
14,250,G4,اراک,1404,0.17015734130345717,0.17078131949730546,0.0007558316,0.005692809651229943,0.3106337,0.024609151995881304,-0.000134185,0.3106337,1800,0,1800,0,0,0,2,2,n:1800
15,250,G4,اراک,1404,0.18571703197320316,0.18580025296948588,0.001102798,0.006193503650269001,0.3089348,0.023523766957503845,-5.019456e-05,0.3089348,1800,0,1800,0,0,0,2,2,n:1800
16,250,G4,اراک,1404,0.16921797463349844,0.1692909821278792,0.0010940505,0.005643210744542611,0.2675315,0.020824558242680456,-4.141778e-05,0.2675315,1800,0,1800,0,0,0,2,2,n:1800
17,250,G4,اراک,1404,0.197028256652901,0.19708235580913458,0.0013009014999999999,0.006569548997586111,0.3420804,0.02661800553251765,-2.971292e-05,0.3420804,1800,0,1800,0,0,0,2,2,n:1800
18,250,G4,اراک,1404,0.16957178560424857,0.18216771050256725,0.001000188,0.0060724332136827775,0.2967176,0.02511352075278978,-0.001157306,0.2967176,1800,0,1800,0,0,0,2,2,n:1800
19,250,G4,اراک,1404,0.18706994065121405,0.18708146098732548,0.0010392595,0.006236099727589445,0.3240433,0.02634183118169789,-2.074987e-05,0.3240433,1800,0,1800,0,0,0,2,2,n:1800
20,250,G5,خراسان شمالی,1394,161649.19717350835,280119.343269055,4620.0,9338.97351851852,414465.0,33643.96516060866,-26281.0,414465.0,1800,0,1800,0,0,0,1,1,n:1800
21,250,G5,خراسان شمالی,1404,0.2178518450219201,0.2178518489955588,0.0016265515,0.007262040919471489,0.363888,0.026785492578342607,-5.960464e-08,0.363888,1800,0,1800,0,0,0,2,2,n:1800
22,250,G5,خراسان شمالی,1404,0.18377423568775175,0.18377730334050904,0.0008853674,0.0061259670111286114,0.3765453,0.028573000744960542,-1.060963e-05,0.3765453,1800,0,1800,0,0,0,2,2,n:1800
23,250,G5,خراسان شمالی,1404,0.14086449444470905,0.1408721009995959,0.0006222576,0.004695753376271667,0.4139333,0.023982653587055466,-1.575053e-05,0.4139333,1800,0,1800,0,0,0,2,2,n:1800
24,250,G6,خراسان رضوی,1394,330801.4978870783,445575.1496435817,5438.166666666667,14854.035,901053.3333333334,65013.487184663776,-27198.666666666668,901053.3333333334,1800,0,1800,0,0,0,1,1,n:1800
25,250,G6,خراسان رضوی,1394,330801.4978870783,445575.1496435817,5438.166666666667,14854.035,901053.3333333334,65013.487184663776,-27198.666666666668,901053.3333333334,1800,0,1800,0,0,0,1,1,n:1800
26,250,G6,خراسان رضوی,1394,221626.47574334164,313735.1623124583,4504.166666666666,10459.211851851853,532961.6666666666,40355.26703428044,-23535.666666666668,532961.6666666666,1800,0,1800,0,0,0,1,1,n:1800
27,250,G6,خراسان رضوی,1394,329165.29393018666,440256.0446169,4824.5,14676.672037037039,837510.3333333334,65161.86100363896,-26348.0,837510.3333333334,1800,0,1800,0,0,0,1,1,n:1800
28,250,G6,خراسان رضوی,1394,185196.0029972,295452.46643303335,5065.833333333334,9849.860555555557,439081.0,35410.97897302857,-25749.0,439081.0,1800,0,1800,0,0,0,1,1,n:1800
29,250,G6,خراسان رضوی,1394,185196.0029972,295452.46643303335,5065.833333333334,9849.860555555557,439081.0,35410.97897302857,-25749.0,439081.0,1800,0,1800,0,0,0,1,1,n:1800
30,250,G6,خراسان رضوی,1404,0.1931619703691447,0.19561174078178328,0.00025156885000000005,0.0065204266112251115,0.7536231,0.04334747722159019,-0.0001978502,0.7536231,1800,0,1800,0,0,0,2,2,n:1800
31,250,G6,خراسان رضوی,1404,0.1667402412733609,0.16675753754846978,0.0008940771,0.00555862568490944,0.306607,0.024511149078845586,-2.001971e-05,0.306607,1800,0,1800,0,0,0,2,2,n:1800
32,250,G6,خراسان رضوی,1404,0.1934412768912697,0.19346793307068205,0.0005449355,0.006448945561596072,0.7048871,0.04074741516297228,-2.011657e-05,0.7048871,1800,0,1800,0,0,0,2,2,n:1800
33,250,G6,خراسان رضوی,1404,0.19963137453346969,0.19965689723850993,0.00073456765,0.006655275857408666,0.6448592,0.038031345219531894,-1.895428e-05,0.6448592,1800,0,1800,0,0,0,2,2,n:1800
34,250,G7,فارس,1394,322933.1094273217,437072.6567053783,5028.5,14570.572037037036,892055.6666666666,66701.96843480815,-24965.0,892055.6666666666,1800,0,1800,0,0,0,1,1,n:1800
35,250,G7,فارس,1394,322933.1094273217,437072.6567053783,5028.5,14570.572037037036,892055.6666666666,66701.96843480815,-24965.0,892055.6666666666,1800,0,1800,0,0,0,1,1,n:1800
36,250,G7,فارس,1394,374767.12314938003,475539.40525032,4754.5,15852.597592592596,971844.3333333334,74062.88400576376,-21407.0,971844.3333333334,1800,0,1800,0,0,0,1,1,n:1800
37,250,G8,قم,1394,347451.56829231675,444924.4136149034,4352.5,14832.115740740743,918650.3333333334,67900.20355126947,-21841.333333333332,918650.3333333334,1800,0,1800,0,0,0,1,1,n:1800
38,250,G8,قم,1404,0.18600497994090204,0.18601217498802589,0.001094945,0.0062004727434247465,0.3500299,0.027756813063822824,-2.311915e-05,0.3500299,1800,0,1800,0,0,0,2,2,n:1800
39,250,G9,یزد,1394,279140.92420156836,383367.695932765,5250.333333333334,12780.413703703702,648296.3333333334,48945.6757610341,-25047.0,648296.3333333334,1800,0,1800,0,0,0,1,1,n:1800
40,250,G9,یزد,1394,306278.04288281006,422021.06345499004,4454.5,14068.890555555556,922391.0,67190.9316621693,-28020.333333333332,922391.0,1800,0,1800,0,0,0,1,1,n:1800
41,250,G10,قزوین,1404,0.16542910627816898,0.16546043050478337,0.0008035450999999999,0.005515379202740333,0.4024845,0.02513575423807754,-2.448261e-05,0.4024845,1800,0,1800,0,0,0,2,2,n:1800
42,250,G10,قزوین,1404,0.1873761699884937,0.1873797820294733,0.00071637335,0.006246035198326178,0.5480539,0.03349332315349244,-1.41412e-05,0.5480539,1800,0,1800,0,0,0,2,2,n:1800
43,250,G11,لرستان,1404,0.15162122391563593,0.15162335130606286,0.00080605595,0.0050541442258409995,0.3548979,0.02210167292966482,-6.951392e-06,0.3548979,1800,0,1800,0,0,0,2,2,n:1800
44,250,G11,لرستان,1404,0.15781192248578407,0.15781770810875043,0.00068843365,0.005260615814237111,0.4310553,0.025843910547019126,-1.358986e-05,0.4310553,1800,0,1800,0,0,0,2,2,n:1800
1,308,G1,سمنان,1394,275102.71046507836,345431.86735572165,4311.5,11515.669074074074,336597.3333333333,28978.785731669836,-20515.666666666668,336597.3333333333,1800,0,1800,0,0,0,1,1,n:1800
2,308,G1,سمنان,1394,275102.71046507836,345431.86735572165,4311.5,11515.669074074074,336597.3333333333,28978.785731669836,-20515.666666666668,336597.3333333333,1800,0,1800,0,0,0,1,1,n:1800
3,308,G1,سمنان,1404,0.2779945440519019,0.2782148994601863,0.001734242,0.009273846541274,0.5844144,0.03436630379530027,-8.167326e-05,0.5844144,1800,0,1800,0,0,0,2,2,n:1800
4,308,G2,اصفهان,1394,224813.1392295017,312931.272202775,4280.666666666667,10432.578148148146,421523.0,29575.653861021896,-16990.333333333332,421523.0,1800,0,1800,0,0,0,1,1,n:1800
5,308,G2,اصفهان,1404,0.3775426486568736,0.3775745073264658,0.002489969,0.01258587927593339,0.4965814,0.038475981297055324,-3.452599e-05,0.4965814,1800,0,1800,0,0,0,2,2,n:1800
6,308,G2,اصفهان,1404,0.37959280015288654,0.37959398206311235,0.003615104,0.012653439863148888,0.5390136,0.03507929208808622,-8.381903e-06,0.5390136,1800,0,1800,0,0,0,2,2,n:1800
7,308,G2,اصفهان,1404,0.423934258202004,0.42407631196471357,0.005120099,0.014136057783864465,0.4534879,0.03013637464378315,-5.692244e-05,0.4534879,1800,0,1800,0,0,0,2,2,n:1800
8,308,G2,اصفهان,1404,0.240711298759346,0.24078830101346207,0.0012304335000000001,0.008026310238603666,0.655428,0.035571786560992545,-4.093349e-05,0.655428,1800,0,1800,0,0,0,2,2,n:1800
9,308,G3,زنجان,1394,352966.89328521665,421999.6332510499,5066.166666666666,14068.127777777778,254629.66666666666,29537.01294607348,-5371.666666666667,254629.66666666666,1800,0,1800,0,0,0,1,1,n:1800
10,308,G3,زنجان,1394,338864.013773605,398368.77788467164,4307.166666666667,13280.49111111111,203235.66666666666,23971.35482506785,-10720.0,203235.66666666666,1800,0,1800,0,0,0,1,1,n:1800
11,308,G3,زنجان,1404,0.2639085327274744,0.26406269168984353,0.0015775415000000002,0.008802107877480557,0.4796709,0.031054283388338218,-5.801022e-05,0.4796709,1800,0,1800,0,0,0,2,2,n:1800
12,308,G3,زنجان,1404,0.31614477951090025,0.3161601574988023,0.0029339789999999998,0.010538896727463833,0.4909619,0.03175900917001324,-4.017353e-05,0.4909619,1800,0,1800,0,0,0,2,2,n:1800
13,308,G9,اراک,1394,460981.01550791756,516528.3379937675,4190.5,17219.048055555555,279481.5,35913.00085317365,-13306.5,279481.5,1800,0,1800,0,0,0,1,1,n:1800
14,308,G4,اراک,1404,0.2148039288676126,0.23668020484437108,0.0013863145,0.007889775512418854,0.6273931,0.032798342187018464,-0.001595885,0.6273931,1800,0,1800,0,0,0,2,2,n:1800
15,308,G4,اراک,1404,0.2895703189130238,0.29156337934684984,0.0013362985,0.009718887681585221,0.5960184,0.036014528864414225,-0.0004226342,0.5960184,1800,0,1800,0,0,0,2,2,n:1800
16,308,G4,اراک,1404,0.27940549412443805,0.2798038578655543,0.0016452895,0.00932681513180561,0.5323046,0.03263913559167635,-0.0001134053,0.5323046,1800,0,1800,0,0,0,2,2,n:1800
17,308,G4,اراک,1404,0.31477602595046505,0.31481147980446966,0.0017239080000000001,0.0104937853834835,0.5229509,0.03576325033392424,-2.715737e-05,0.5229509,1800,0,1800,0,0,0,2,2,n:1800
18,308,G4,اراک,1404,0.2711214638178481,0.2711846499487273,0.0022182390000000003,0.009039525858151555,0.2962607,0.023743663674782537,-3.731996e-05,0.2962607,1800,0,1800,0,0,0,2,2,n:1800
19,308,G4,اراک,1404,0.294164298105202,0.29419150215682116,0.001637466,0.009806415099347333,0.6002464,0.03648038686549023,-3.051013e-05,0.6002464,1800,0,1800,0,0,0,2,2,n:1800
20,308,G5,خراسان شمالی,1394,248986.37812510997,304118.10798436,4054.0,10138.634444444444,146788.5,17698.191338852877,-13865.5,146788.5,1800,0,1800,0,0,0,1,1,n:1800
21,308,G5,خراسان شمالی,1404,0.24624862818320845,0.24624886511142485,0.002194777,0.008208416360326834,0.6163943,0.03162954385770191,-4.75347e-06,0.6163943,1800,0,1800,0,0,0,2,2,n:1800
22,308,G5,خراسان شمالی,1404,0.2751423481806016,0.27539124852738944,0.002002634,0.009179721858508332,0.608792,0.03175339884958229,-8.40053e-05,0.608792,1800,0,1800,0,0,0,2,2,n:1800
23,308,G5,خراسان شمالی,1404,0.2715706346396339,0.27182973050663034,0.0016131325,0.009061016111964887,0.4400817,0.02995986818197499,-0.0001052693,0.4400817,1800,0,1800,0,0,0,2,2,n:1800
24,308,G6,خراسان رضوی,1394,223278.9128972267,300029.53730574,4359.833333333334,10002.403148148147,215172.33333333334,22931.61323695439,-24040.333333333332,215172.33333333334,1800,0,1800,0,0,0,1,1,n:1800
25,308,G6,خراسان رضوی,1394,223278.9128972267,300029.53730574,4359.833333333334,10002.403148148147,215172.33333333334,22931.61323695439,-24040.333333333332,215172.33333333334,1800,0,1800,0,0,0,1,1,n:1800
26,308,G6,خراسان رضوی,1394,417616.8304905375,455744.8879427375,2916.5,15193.098333333333,224257.5,29805.06645290822,-7700.0,224257.5,1800,0,1800,0,0,0,1,1,n:1800
27,308,G6,خراسان رضوی,1394,264328.60802324,308528.05555999,3153.25,10285.885555555555,329381.5,27593.391147986713,-8839.5,329381.5,1800,0,1800,0,0,0,1,1,n:1800
28,308,G6,خراسان رضوی,1394,295293.804618335,365813.24796199834,4238.166666666666,12195.359629629631,309489.6666666667,27570.762978127732,-22111.333333333332,309489.6666666667,1800,0,1800,0,0,0,1,1,n:1800
29,308,G6,خراسان رضوی,1394,295293.804618335,365813.24796199834,4238.166666666666,12195.359629629631,309489.6666666667,27570.762978127732,-22111.333333333332,309489.6666666667,1800,0,1800,0,0,0,1,1,n:1800
30,308,G6,خراسان رضوی,1404,0.26586390241125835,0.2658663024911902,0.0012976975,0.008862298143164167,0.5862774,0.03541862327280547,-1.27703e-05,0.5862774,1800,0,1800,0,0,0,2,2,n:1800
31,308,G6,خراسان رضوی,1404,0.232867726131476,0.23556783340097565,0.0008560568000000001,0.00785240113601129,0.5818481,0.03241436207757551,-0.0005268902,0.5818481,1800,0,1800,0,0,0,2,2,n:1800
32,308,G6,خراسان رضوی,1404,0.2559567961516185,0.2560208686221722,0.001244739,0.008538783203727626,0.7339427,0.038183160718066975,-3.914535e-05,0.7339427,1799,0,1799,1,0,2,2,2,f:1|n:1799
33,308,G6,خراسان رضوی,1404,0.2522222100163392,0.2525651127748869,0.0011920555,0.008418910281056667,0.5394415,0.031780747249949184,-0.0001085177,0.5394415,1800,0,1800,0,0,0,2,2,n:1800
34,308,G7,فارس,1394,215681.10745666834,305871.9436353284,4445.5,10197.429629629629,338887.0,27009.08368927129,-20401.333333333332,338887.0,1800,0,1800,0,0,0,1,1,n:1800
35,308,G7,فارس,1394,215681.10745666834,305871.9436353284,4445.5,10197.429629629629,338887.0,27009.08368927129,-20401.333333333332,338887.0,1800,0,1800,0,0,0,1,1,n:1800
36,308,G7,فارس,1394,145415.27330812998,237997.52376013002,4096.833333333334,7934.840370370371,210842.33333333334,18827.4899830619,-29141.0,210842.33333333334,1800,0,1800,0,0,0,1,1,n:1800
37,308,G8,قم,1394,194911.12387084,267542.6627411333,4183.5,8919.461666666666,257483.66666666666,22190.88203809515,-23297.0,257483.66666666666,1800,0,1800,0,0,0,1,1,n:1800
38,308,G8,قم,1404,0.22147481513543749,0.22160719523805392,0.001433045,0.0073869339923257225,0.3071636,0.023764290647132598,-7.4476e-05,0.3071636,1800,0,1800,0,0,0,2,2,n:1800
