Wavelength,Metric,YearA,YearB,MedianYearA,MedianYearB,YearB_over_YearA,Log10_YearB_over_YearA
250,AbsAUC,1394,1404,422021.06345499004,0.17993505679929017,4.2636510918721203e-07,-6.370218342225974
250,MedianAbs,1394,1404,4824.5,0.0008853674,1.8351485127992539e-07,-6.736328783902728
250,MeanAbs,1394,1404,14068.890555555556,0.0059978772801760555,4.263219801512778e-07,-6.370262275581049
250,MaxAbs,1394,1404,813967.3333333334,0.3765453,4.6260492845331224e-07,-6.334789744698395
308,AbsAUC,1394,1404,310729.6638813825,0.2782148994601863,8.953599601175885e-07,-6.048002330869254
308,MedianAbs,1394,1404,4293.916666666667,0.0017239080000000001,4.0147681797892367e-07,-6.3963395266355985
308,MeanAbs,1394,1404,10359.231851851851,0.009273846541274,8.952253095499716e-07,-6.0480676480586695
308,MaxAbs,1394,1404,274201.4166666666,0.5390136,1.9657578963395827e-06,-5.706469971121539
440,AbsAUC,1394,1404,960721.4625091451,0.47939331076412417,4.989930270862048e-07,-6.301905523152447
440,MedianAbs,1394,1404,1615.1666666666665,0.0001308471,8.101151583943866e-08,-7.0914532414912355
440,MeanAbs,1394,1404,32024.884259259263,0.015979804485098226,4.989808661206334e-07,-6.301916107477906
440,MaxAbs,1394,1404,2527594.0,1.932395,7.645195391348453e-07,-6.1166114106702265
