Scenario,Preprocessing,PreprocessingCode,Modality,ActualGroup,Samples,MajorityCorrectSamples,MajorityCorrectRate,MostlyCorrectSamples_75pct,MeanSampleCorrectRate,MeanStability,MeanDecisionMargin
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G1,2,0,0.0,0,0.0,0.775,0.6433405932331207
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G10,2,0,0.0,0,0.0,0.85,0.18977393652004387
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G11,2,1,0.5,0,0.225,0.45,0.10412460817075186
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G2,5,3,0.6,3,0.54,0.8099999999999999,0.17570446835398892
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G3,4,0,0.0,0,0.0,0.75,0.2090291599257903
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G4,7,4,0.5714285714285714,3,0.5071428571428572,0.6428571428571429,0.3376570069474757
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G5,4,0,0.0,0,0.0,0.4875,0.2258921500038268
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G6,8,7,0.875,3,0.5625,0.68125,0.16862078280198073
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G7,2,0,0.0,0,0.0,0.875,0.197783909221258
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G8,2,0,0.0,0,0.0,0.7,0.19060496720676245
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G9,2,0,0.0,0,0.0,0.5249999999999999,0.1449685526323204
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G1,2,0,0.0,0,0.0,0.675,0.2089107119368521
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G10,2,0,0.0,0,0.0,0.625,0.09501623460029396
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G11,2,0,0.0,0,0.0,0.7,0.10895835552953856
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G2,5,3,0.6,1,0.33999999999999997,0.54,0.10053348204128817
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G3,4,0,0.0,0,0.125,0.575,0.21109929034171912
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G4,7,4,0.5714285714285714,3,0.5571428571428572,0.7214285714285715,0.17155520175533553
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G5,4,0,0.0,0,0.0,0.7625,0.2585886005053072
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G6,8,2,0.25,0,0.30625,0.6125,1.1154458112099346
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G7,2,1,0.5,0,0.275,0.575,0.0706426437792309
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G8,2,0,0.0,0,0.0,0.9,0.34288547785921347
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G9,2,2,1.0,2,1.0,1.0,0.28258928976011005
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G1,2,0,0.0,0,0.0,0.7749999999999999,0.3806070378182264
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G10,2,0,0.0,0,0.0,0.6000000000000001,0.12939202941240566
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G11,2,0,0.0,0,0.1,0.375,0.10014856021578028
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G2,5,3,0.6,1,0.38,0.6399999999999999,0.17040664188580376
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G3,4,0,0.0,0,0.0125,0.48750000000000004,0.13297298216125827
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G4,7,2,0.2857142857142857,0,0.31428571428571433,0.5642857142857143,0.24777206068726956
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G5,4,0,0.0,0,0.0,0.5,0.2136313620252434
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G6,8,6,0.75,2,0.5125000000000001,0.60625,0.18336564981638787
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G7,2,0,0.0,0,0.0,0.7,0.1288196166771355
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G8,2,0,0.0,0,0.0,0.775,0.4882893109267741
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G9,2,0,0.0,0,0.1,0.425,0.09817053332094644
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G1,2,0,0.0,0,0.0,0.7,0.4114532378152783
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G10,2,0,0.0,0,0.0,0.8,0.14309099466306324
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G11,2,0,0.0,0,0.05,0.725,0.11916863413913327
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G2,5,3,0.6,3,0.5200000000000001,0.74,0.14297972894664474
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G3,4,0,0.0,0,0.0125,0.6875,0.2004401857039768
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G4,7,4,0.5714285714285714,3,0.5785714285714285,0.6714285714285715,0.2321408195623396
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G5,4,0,0.0,0,0.0,0.6,0.1937257414035603
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G6,8,6,0.75,1,0.47500000000000003,0.675,0.43945404850718206
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G7,2,0,0.0,0,0.0,0.65,0.040896436342040834
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G8,2,0,0.0,0,0.0,0.825,0.24834290810536078
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G9,2,2,1.0,2,0.925,0.925,0.07066474640644321
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G1,2,0,0.0,0,0.0,0.7,0.4473698486629338
