Scenario,Preprocessing,PreprocessingCode,Modality,ActualGroup,PredictedGroup,ConfusionCount,ConfusionRate,UniqueSamplesAffected
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G3,G6,52,0.065,4
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G4,G6,37,0.04625,5
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G7,G6,35,0.04375,2
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G10,G2,34,0.0425,2
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G2,G6,31,0.03875,2
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G5,G6,30,0.0375,3
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G8,G4,24,0.03,2
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G3,G4,23,0.02875,3
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G6,G4,23,0.02875,4
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G1,G4,20,0.025,1
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G9,G6,20,0.025,2
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G5,G2,17,0.02125,3
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G11,G2,16,0.02,2
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G6,G3,15,0.01875,7
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G5,G4,13,0.01625,3
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G6,G5,13,0.01625,4
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G4,G1,12,0.015,4
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G5,G1,12,0.015,2
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G6,G2,12,0.015,3
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G8,G6,12,0.015,2
