Scenario,Preprocessing,PreprocessingCode,Modality,ActualGroup,PredictedGroup,ConfusionCount,ConfusionRate,WithinActualRate,UniqueSamplesAffected,IsError
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G3,G6,52,0.065,0.65,4,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G4,G6,37,0.04625,0.2642857142857143,5,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G7,G6,35,0.04375,0.875,2,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G10,G2,34,0.0425,0.85,2,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G2,G6,31,0.03875,0.31,2,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G5,G6,30,0.0375,0.375,3,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G8,G4,24,0.03,0.6,2,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G3,G4,23,0.02875,0.2875,3,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G6,G4,23,0.02875,0.14375,4,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G1,G4,20,0.025,0.5,1,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G9,G6,20,0.025,0.5,2,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G5,G2,17,0.02125,0.2125,3,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G11,G2,16,0.02,0.4,2,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G6,G3,15,0.01875,0.09375,7,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G5,G4,13,0.01625,0.1625,3,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G6,G5,13,0.01625,0.08125,4,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G4,G1,12,0.015,0.08571428571428572,4,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G5,G1,12,0.015,0.15,2,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G6,G2,12,0.015,0.075,3,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G8,G6,12,0.015,0.3,2,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G1,G5,11,0.01375,0.275,1,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G11,G5,8,0.01,0.2,2,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G4,G8,8,0.01,0.05714285714285714,2,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G9,G4,7,0.00875,0.175,1,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G2,G11,6,0.0075,0.06,3,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G1,G2,5,0.00625,0.125,1,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G4,G3,5,0.00625,0.03571428571428571,1,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G9,G3,5,0.00625,0.125,2,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G9,G5,5,0.00625,0.125,1,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G10,G11,4,0.005,0.1,2,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G11,G6,4,0.005,0.1,2,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G2,G3,4,0.005,0.04,3,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G4,G2,4,0.005,0.02857142857142857,2,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G5,G3,4,0.005,0.05,3,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G7,G3,4,0.005,0.1,2,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G8,G3,4,0.005,0.1,1,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G1,G6,3,0.00375,0.075,1,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G6,G1,3,0.00375,0.01875,2,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G6,G9,3,0.00375,0.01875,3,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G11,G3,2,0.0025,0.05,1,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G2,G1,2,0.0025,0.02,1,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G2,G10,2,0.0025,0.02,2,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G3,G2,2,0.0025,0.025,1,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G4,G5,2,0.0025,0.014285714285714285,2,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G5,G11,2,0.0025,0.025,1,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G9,G8,2,0.0025,0.05,1,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G1,G9,1,0.00125,0.025,1,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G10,G4,1,0.00125,0.025,1,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G10,G6,1,0.00125,0.025,1,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G11,G10,1,0.00125,0.025,1,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G2,G9,1,0.00125,0.01,1,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G3,G1,1,0.00125,0.0125,1,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G3,G8,1,0.00125,0.0125,1,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G3,G9,1,0.00125,0.0125,1,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G4,G9,1,0.00125,0.007142857142857143,1,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G5,G8,1,0.00125,0.0125,1,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G5,G9,1,0.00125,0.0125,1,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G6,G11,1,0.00125,0.00625,1,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G7,G2,1,0.00125,0.025,1,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G9,G1,1,0.00125,0.025,1,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G6,G6,90,0.1125,0.5625,7,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G4,G4,71,0.08875,0.5071428571428571,6,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G2,G2,54,0.0675,0.54,4,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G11,G11,9,0.01125,0.225,2,False
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G6,G4,74,0.0925,0.4625,8,True
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G5,G4,38,0.0475,0.475,4,True
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G4,G6,30,0.0375,0.21428571428571427,5,True
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G11,G2,28,0.035,0.7,2,True
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G2,G4,26,0.0325,0.26,5,True
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G10,G2,25,0.03125,0.625,2,True
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G3,G4,25,0.03125,0.3125,4,True
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G6,G2,25,0.03125,0.15625,5,True
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G1,G4,23,0.02875,0.575,2,True
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G8,G4,20,0.025,0.5,1,True
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G2,G6,19,0.02375,0.19,4,True
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G4,G2,17,0.02125,0.12142857142857143,5,True
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G3,G2,16,0.02,0.2,3,True
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G5,G2,16,0.02,0.2,3,True
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G8,G9,16,0.02,0.4,1,True
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G3,G6,15,0.01875,0.1875,3,True
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G5,G3,15,0.01875,0.1875,1,True
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G2,G3,14,0.0175,0.14,4,True
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G3,G5,14,0.0175,0.175,2,True
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G7,G9,13,0.01625,0.325,1,True
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G5,G6,11,0.01375,0.1375,3,True
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G10,G4,9,0.01125,0.225,2,True
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G4,G3,9,0.01125,0.06428571428571428,1,True
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G6,G3,9,0.01125,0.05625,3,True
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G7,G2,8,0.01,0.2,2,True
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G1,G2,7,0.00875,0.175,1,True
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G11,G4,6,0.0075,0.15,2,True
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G1,G7,5,0.00625,0.125,1,True
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G10,G6,5,0.00625,0.125,2,True
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G11,G6,5,0.00625,0.125,2,True
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G2,G5,5,0.00625,0.05,2,True
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G4,G5,5,0.00625,0.03571428571428571,1,True
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G1,G9,4,0.005,0.1,1,True
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G8,G7,4,0.005,0.1,1,True
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G7,G4,3,0.00375,0.075,1,True
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G2,G7,2,0.0025,0.02,1,True
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G6,G9,2,0.0025,0.0125,2,True
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G7,G6,2,0.0025,0.05,1,True
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G7,G8,2,0.0025,0.05,1,True
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G1,G8,1,0.00125,0.025,1,True
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G10,G3,1,0.00125,0.025,1,True
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G11,G3,1,0.00125,0.025,1,True
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G4,G8,1,0.00125,0.007142857142857143,1,True
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G6,G5,1,0.00125,0.00625,1,True
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G7,G3,1,0.00125,0.025,1,True
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G4,G4,78,0.0975,0.5571428571428572,6,False
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G6,G6,49,0.06125,0.30625,7,False
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G9,G9,40,0.05,1.0,2,False
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G2,G2,34,0.0425,0.34,4,False
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G7,G7,11,0.01375,0.275,2,False
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G3,G3,10,0.0125,0.125,2,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G4,G6,40,0.05,0.2857142857142857,5,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G6,G4,39,0.04875,0.24375,7,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G3,G6,35,0.04375,0.4375,4,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G5,G6,35,0.04375,0.4375,4,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G2,G6,30,0.0375,0.3,4,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G7,G6,28,0.035,0.7,2,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G10,G2,24,0.03,0.6,2,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G1,G4,22,0.0275,0.55,2,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G2,G4,20,0.025,0.2,4,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G4,G2,20,0.025,0.14285714285714285,5,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G3,G4,19,0.02375,0.2375,4,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G8,G4,19,0.02375,0.475,2,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G5,G4,18,0.0225,0.225,3,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G4,G8,16,0.02,0.11428571428571428,1,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G9,G6,16,0.02,0.4,2,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G5,G2,15,0.01875,0.1875,3,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G8,G6,15,0.01875,0.375,2,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G11,G5,14,0.0175,0.35,2,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G4,G5,13,0.01625,0.09285714285714286,5,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G1,G6,12,0.015,0.3,1,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G11,G2,12,0.015,0.3,2,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G6,G2,12,0.015,0.075,5,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G6,G5,11,0.01375,0.06875,4,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G3,G2,10,0.0125,0.125,4,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G3,G5,10,0.0125,0.125,3,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G6,G3,9,0.01125,0.05625,4,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G10,G6,8,0.01,0.2,1,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G2,G3,8,0.01,0.08,4,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G10,G4,7,0.00875,0.175,2,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G5,G3,7,0.00875,0.0875,2,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G9,G2,7,0.00875,0.175,2,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G4,G3,6,0.0075,0.04285714285714286,1,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G11,G6,5,0.00625,0.125,2,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G6,G1,5,0.00625,0.03125,2,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G8,G3,5,0.00625,0.125,1,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G9,G4,5,0.00625,0.125,2,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G3,G11,4,0.005,0.05,2,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G5,G1,4,0.005,0.05,1,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G7,G2,4,0.005,0.1,2,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G7,G3,4,0.005,0.1,1,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G9,G1,4,0.005,0.1,2,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G9,G3,4,0.005,0.1,2,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G1,G2,3,0.00375,0.075,2,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G11,G3,3,0.00375,0.075,1,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G1,G9,2,0.0025,0.05,1,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G11,G4,2,0.0025,0.05,2,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G6,G9,2,0.0025,0.0125,2,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G7,G9,2,0.0025,0.05,1,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G1,G3,1,0.00125,0.025,1,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G10,G3,1,0.00125,0.025,1,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G2,G11,1,0.00125,0.01,1,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G2,G5,1,0.00125,0.01,1,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G2,G7,1,0.00125,0.01,1,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G2,G9,1,0.00125,0.01,1,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G3,G7,1,0.00125,0.0125,1,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G4,G1,1,0.00125,0.007142857142857143,1,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G5,G11,1,0.00125,0.0125,1,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G7,G1,1,0.00125,0.025,1,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G7,G5,1,0.00125,0.025,1,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G8,G2,1,0.00125,0.025,1,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G6,G6,82,0.1025,0.5125,8,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G4,G4,44,0.055,0.3142857142857143,6,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G2,G2,38,0.0475,0.38,3,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G11,G11,4,0.005,0.1,2,False
