Model,PLSComponents,Preprocessing,PreprocessingCode,Modality,AccuracyMean,AccuracyStd,BalancedAccuracyMean,BalancedAccuracyStd,MacroF1Mean,MacroF1Std,TotalSplits,ChanceBalancedAccuracy
PLS-DA,4,AsLS + L2,asls_l2,250 nm,0.27151315789473685,0.059768783404393185,0.16763257575757576,0.04487194213590502,0.12163072911936548,0.032495822496167885,40,0.09090909090909091
PLS-DA,4,AsLS + L2,asls_l2,308 nm,0.24856516290726818,0.0561529937446153,0.18621212121212122,0.0536217434935808,0.12344646549661678,0.043132086907585555,40,0.09090909090909091
PLS-DA,4,AsLS + L2,asls_l2,440 nm,0.23028508771929826,0.07685904798628315,0.13928030303030303,0.05446541600268171,0.09464828093771945,0.040347732641395496,40,0.09090909090909091
PLS-DA,4,AsLS + L2,asls_l2,Combined,0.25748120300751876,0.06687877355390029,0.15382575757575756,0.043263003196161526,0.10677433677433676,0.032960064163171085,40,0.09090909090909091
PLS-DA,4,AsLS + SNV,asls_snv,250 nm,0.2754479949874687,0.07336397115329352,0.16450757575757574,0.05023242756406061,0.1185574707897569,0.03519082966933487,40,0.09090909090909091
PLS-DA,4,AsLS + SNV,asls_snv,308 nm,0.2499937343358396,0.05973536320377457,0.19142045454545456,0.05677280951924714,0.12769824902948318,0.04834687724880642,40,0.09090909090909091
PLS-DA,4,AsLS + SNV,asls_snv,440 nm,0.20042606516290729,0.07482854777498561,0.11638257575757575,0.05038106990175363,0.07760744306198851,0.0355750627063621,40,0.09090909090909091
PLS-DA,4,AsLS + SNV,asls_snv,Combined,0.295109649122807,0.07094520691809945,0.18160984848484849,0.05243869901748804,0.12637368944187127,0.04323263719561819,40,0.09090909090909091
PLS-DA,4,Raw,raw,250 nm,0.194937343358396,0.058837275502325086,0.13200757575757577,0.05065287709261353,0.07292748397972856,0.03626816902858085,40,0.09090909090909091
PLS-DA,4,Raw,raw,308 nm,0.21479010025062656,0.046612174769560616,0.18551136363636364,0.04848126307037367,0.1153796290353953,0.04193283715618008,40,0.09090909090909091
PLS-DA,4,Raw,raw,440 nm,0.19605576441102757,0.054101723506558855,0.13232954545454545,0.0467222810053891,0.07308977691633194,0.033776780411675825,40,0.09090909090909091
PLS-DA,4,Raw,raw,Combined,0.2201002506265664,0.0479259874592914,0.1619128787878788,0.04805253172086192,0.09874539388200379,0.032715347820658845,40,0.09090909090909091
PLS-DA,4,SNV,snv,250 nm,0.27043546365914783,0.06635844126389343,0.15767045454545453,0.04094906803047914,0.11072503543693384,0.027433786374161964,40,0.09090909090909091
PLS-DA,4,SNV,snv,308 nm,0.24872493734335838,0.06461281486826502,0.19098484848484848,0.06273264956742187,0.1309645802097955,0.05365296643124556,40,0.09090909090909091
PLS-DA,4,SNV,snv,440 nm,0.1975563909774436,0.06191831553792381,0.10655303030303029,0.032803566393296665,0.0700505353232626,0.022335266583471028,40,0.09090909090909091
PLS-DA,4,SNV,snv,Combined,0.290905388471178,0.07205392738077375,0.1777462121212121,0.05931280620284887,0.1213631128972038,0.04230041680845,40,0.09090909090909091
