Scenario,Preprocessing,PreprocessingCode,Modality,ActualGroup,ValidationPredictions,CorrectPredictions,UniqueSamples,MeanDecisionMargin,ErrorPredictions,Recall,ErrorRate
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G1,40,0,2,0.6433405932331205,40,0.0,1.0
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G10,40,0,2,0.18977393652004387,40,0.0,1.0
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G3,80,0,4,0.20902915992579035,80,0.0,1.0
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G5,80,0,4,0.2258921500038268,80,0.0,1.0
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G7,40,0,2,0.19778390922125794,40,0.0,1.0
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G8,40,0,2,0.19060496720676248,40,0.0,1.0
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G9,40,0,2,0.1449685526323204,40,0.0,1.0
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G11,40,9,2,0.10412460817075189,31,0.225,0.775
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G4,140,71,7,0.3376570069474758,69,0.5071428571428571,0.4928571428571429
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G2,100,54,5,0.17570446835398892,46,0.54,0.45999999999999996
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G6,160,90,8,0.16862078280198073,70,0.5625,0.4375
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G1,40,0,2,0.20891071193685212,40,0.0,1.0
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G10,40,0,2,0.09501623460029397,40,0.0,1.0
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G11,40,0,2,0.10895835552953856,40,0.0,1.0
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G5,80,0,4,0.25858860050530713,80,0.0,1.0
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G8,40,0,2,0.3428854778592134,40,0.0,1.0
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G3,80,10,4,0.21109929034171912,70,0.125,0.875
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G7,40,11,2,0.0706426437792309,29,0.275,0.725
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G6,160,49,8,1.1154458112099346,111,0.30625,0.69375
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G2,100,34,5,0.10053348204128816,66,0.34,0.6599999999999999
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G4,140,78,7,0.17155520175533553,62,0.5571428571428572,0.44285714285714284
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G9,40,40,2,0.2825892897601101,0,1.0,0.0
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G1,40,0,2,0.3806070378182264,40,0.0,1.0
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G10,40,0,2,0.12939202941240566,40,0.0,1.0
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G5,80,0,4,0.2136313620252434,80,0.0,1.0
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G7,40,0,2,0.1288196166771355,40,0.0,1.0
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G8,40,0,2,0.4882893109267741,40,0.0,1.0
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G3,80,1,4,0.13297298216125827,79,0.0125,0.9875
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G11,40,4,2,0.10014856021578027,36,0.1,0.9
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G9,40,4,2,0.09817053332094645,36,0.1,0.9
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G4,140,44,7,0.24777206068726956,96,0.3142857142857143,0.6857142857142857
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G2,100,38,5,0.17040664188580376,62,0.38,0.62
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G6,160,82,8,0.18336564981638787,78,0.5125,0.48750000000000004
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G1,40,0,2,0.4114532378152783,40,0.0,1.0
