Scenario,Preprocessing,PreprocessingCode,Modality,ActualGroup,PredictedGroup,ConfusionCount,ActualGroupTotal,WithinActualRate,IsCorrect
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G1,G4,20,40,0.5,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G1,G5,11,40,0.275,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G1,G2,5,40,0.125,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G1,G6,3,40,0.075,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G1,G9,1,40,0.025,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G10,G2,34,40,0.85,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G10,G11,4,40,0.1,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G10,G4,1,40,0.025,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G10,G6,1,40,0.025,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G11,G2,16,40,0.4,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G11,G11,9,40,0.225,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G11,G5,8,40,0.2,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G11,G6,4,40,0.1,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G11,G3,2,40,0.05,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G11,G10,1,40,0.025,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G2,G2,54,100,0.54,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G2,G6,31,100,0.31,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G2,G11,6,100,0.06,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G2,G3,4,100,0.04,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G2,G1,2,100,0.02,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G2,G10,2,100,0.02,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G2,G9,1,100,0.01,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G3,G6,52,80,0.65,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G3,G4,23,80,0.2875,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G3,G2,2,80,0.025,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G3,G1,1,80,0.0125,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G3,G8,1,80,0.0125,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G3,G9,1,80,0.0125,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G4,G4,71,140,0.5071428571428571,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G4,G6,37,140,0.2642857142857143,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G4,G1,12,140,0.08571428571428572,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G4,G8,8,140,0.05714285714285714,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G4,G3,5,140,0.03571428571428571,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G4,G2,4,140,0.02857142857142857,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G4,G5,2,140,0.014285714285714285,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G4,G9,1,140,0.007142857142857143,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G5,G6,30,80,0.375,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G5,G2,17,80,0.2125,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G5,G4,13,80,0.1625,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G5,G1,12,80,0.15,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G5,G3,4,80,0.05,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G5,G11,2,80,0.025,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G5,G8,1,80,0.0125,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G5,G9,1,80,0.0125,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G6,G6,90,160,0.5625,True
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G6,G4,23,160,0.14375,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G6,G3,15,160,0.09375,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G6,G5,13,160,0.08125,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G6,G2,12,160,0.075,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G6,G1,3,160,0.01875,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G6,G9,3,160,0.01875,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G6,G11,1,160,0.00625,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G7,G6,35,40,0.875,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G7,G3,4,40,0.1,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G7,G2,1,40,0.025,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G8,G4,24,40,0.6,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G8,G6,12,40,0.3,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G8,G3,4,40,0.1,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G9,G6,20,40,0.5,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G9,G4,7,40,0.175,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G9,G3,5,40,0.125,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G9,G5,5,40,0.125,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G9,G8,2,40,0.05,False
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,G9,G1,1,40,0.025,False
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G1,G4,23,40,0.575,False
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G1,G2,7,40,0.175,False
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G1,G7,5,40,0.125,False
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G1,G9,4,40,0.1,False
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G1,G8,1,40,0.025,False
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G10,G2,25,40,0.625,False
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G10,G4,9,40,0.225,False
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G10,G6,5,40,0.125,False
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G10,G3,1,40,0.025,False
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G11,G2,28,40,0.7,False
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G11,G4,6,40,0.15,False
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G11,G6,5,40,0.125,False
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G11,G3,1,40,0.025,False
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G2,G2,34,100,0.34,True
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G2,G4,26,100,0.26,False
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G2,G6,19,100,0.19,False
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G2,G3,14,100,0.14,False
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G2,G5,5,100,0.05,False
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G2,G7,2,100,0.02,False
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G3,G4,25,80,0.3125,False
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G3,G2,16,80,0.2,False
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G3,G6,15,80,0.1875,False
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G3,G5,14,80,0.175,False
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G3,G3,10,80,0.125,True
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G4,G4,78,140,0.5571428571428572,True
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G4,G6,30,140,0.21428571428571427,False
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G4,G2,17,140,0.12142857142857143,False
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G4,G3,9,140,0.06428571428571428,False
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G4,G5,5,140,0.03571428571428571,False
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G4,G8,1,140,0.007142857142857143,False
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G5,G4,38,80,0.475,False
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G5,G2,16,80,0.2,False
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G5,G3,15,80,0.1875,False
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G5,G6,11,80,0.1375,False
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G6,G4,74,160,0.4625,False
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G6,G6,49,160,0.30625,True
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G6,G2,25,160,0.15625,False
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G6,G3,9,160,0.05625,False
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G6,G9,2,160,0.0125,False
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G6,G5,1,160,0.00625,False
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G7,G9,13,40,0.325,False
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G7,G7,11,40,0.275,True
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G7,G2,8,40,0.2,False
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G7,G4,3,40,0.075,False
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G7,G6,2,40,0.05,False
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G7,G8,2,40,0.05,False
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G7,G3,1,40,0.025,False
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G8,G4,20,40,0.5,False
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G8,G9,16,40,0.4,False
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G8,G7,4,40,0.1,False
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G9,G9,40,40,1.0,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G1,G4,22,40,0.55,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G1,G6,12,40,0.3,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G1,G2,3,40,0.075,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G1,G9,2,40,0.05,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G1,G3,1,40,0.025,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G10,G2,24,40,0.6,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G10,G6,8,40,0.2,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G10,G4,7,40,0.175,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G10,G3,1,40,0.025,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G11,G5,14,40,0.35,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G11,G2,12,40,0.3,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G11,G6,5,40,0.125,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G11,G11,4,40,0.1,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G11,G3,3,40,0.075,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G11,G4,2,40,0.05,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G2,G2,38,100,0.38,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G2,G6,30,100,0.3,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G2,G4,20,100,0.2,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G2,G3,8,100,0.08,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G2,G11,1,100,0.01,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G2,G5,1,100,0.01,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G2,G7,1,100,0.01,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G2,G9,1,100,0.01,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G3,G6,35,80,0.4375,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G3,G4,19,80,0.2375,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G3,G2,10,80,0.125,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G3,G5,10,80,0.125,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G3,G11,4,80,0.05,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G3,G3,1,80,0.0125,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G3,G7,1,80,0.0125,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G4,G4,44,140,0.3142857142857143,True
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G4,G6,40,140,0.2857142857142857,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G4,G2,20,140,0.14285714285714285,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G4,G8,16,140,0.11428571428571428,False
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G4,G5,13,140,0.09285714285714286,False
