Scenario,Preprocessing,PreprocessingCode,Modality,SampleId,ActualGroup,MostFrequentPredictedGroup,PredictionCount,CorrectRate,Stability,MeanDecisionMargin,MedianDecisionMargin,MajorityPredictionCorrect,RobustnessStatus
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,1,G1,G5,20,0.0,0.55,0.34132894574236355,0.3243614132922509,False,MIXED / UNSTABLE
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,3,G1,G4,20,0.0,1.0,0.9453522407238777,0.982967632217105,False,STABLE INCORRECT
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,4,G2,G6,20,0.0,0.75,0.14841613090425174,0.12194757786760951,False,STABLE INCORRECT
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,5,G2,G2,20,0.8,0.8,0.13260268008214618,0.10315621941112862,True,STABLE CORRECT
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,6,G2,G2,20,0.9,0.9,0.15781715652581693,0.14176225665731013,True,STABLE CORRECT
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,7,G2,G2,20,0.8,0.8,0.21557490060658138,0.21388434770735296,True,STABLE CORRECT
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,8,G2,G6,20,0.2,0.8,0.22411147365114842,0.2158570105312085,False,STABLE INCORRECT
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,9,G3,G6,20,0.0,0.85,0.2377672378975771,0.2619817803740525,False,STABLE INCORRECT
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,10,G3,G6,20,0.0,0.6,0.15794825798168244,0.13693958015029936,False,MIXED / UNSTABLE
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,11,G3,G4,20,0.0,0.7,0.22417309473515662,0.23970626270779105,False,MIXED / UNSTABLE
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,12,G3,G6,20,0.0,0.85,0.2162280490887451,0.19924963081821326,False,STABLE INCORRECT
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,13,G4,G6,20,0.0,0.6,0.1543758338628973,0.16212815973414896,False,MIXED / UNSTABLE
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,14,G4,G4,20,0.8,0.8,0.40685003814101284,0.40174903200765494,True,STABLE CORRECT
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,15,G4,G4,20,0.8,0.8,0.4711571831886817,0.4030779927515904,True,STABLE CORRECT
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,16,G4,G4,20,0.8,0.8,0.6887022380226803,0.8315256771567503,True,STABLE CORRECT
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,17,G4,G6,20,0.3,0.65,0.24063926043437522,0.2414064620594411,False,MIXED / UNSTABLE
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,18,G4,G8,20,0.35,0.35,0.2452067517939082,0.12945371588304003,False,MIXED / UNSTABLE
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,19,G4,G4,20,0.5,0.5,0.15666774318877486,0.12054258018721677,True,MOSTLY CORRECT / MIXED
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,20,G5,G6,20,0.0,0.6,0.2276367310159222,0.1270803022088031,False,MIXED / UNSTABLE
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,21,G5,G1,20,0.0,0.4,0.41518659839856065,0.24511688990908004,False,MIXED / UNSTABLE
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,22,G5,G6,20,0.0,0.5,0.1503036305292821,0.10258873847543487,False,MIXED / UNSTABLE
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,23,G5,G2,20,0.0,0.45,0.11044164007154238,0.09363534544221123,False,MIXED / UNSTABLE
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,24,G6,G6,20,0.75,0.75,0.17571132547422744,0.14040610292205163,True,STABLE CORRECT
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,26,G6,G6,20,0.35,0.35,0.18157942975643523,0.16649759015595805,True,MOSTLY CORRECT / MIXED
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,27,G6,G6,20,0.9,0.9,0.16426542312818265,0.17118879352571997,True,STABLE CORRECT
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,28,G6,G6,20,0.45,0.45,0.13456021267328488,0.115207221556084,True,MOSTLY CORRECT / MIXED
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,30,G6,G6,20,0.75,0.75,0.22746056523709318,0.2205196138533682,True,STABLE CORRECT
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,31,G6,G4,20,0.0,0.95,0.17565170206358305,0.15727540636191767,False,STABLE INCORRECT
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,32,G6,G6,20,0.7,0.7,0.13458360341323758,0.13128281635539016,True,MOSTLY CORRECT / MIXED
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,33,G6,G6,20,0.6,0.6,0.15515400066980192,0.10717729919999006,True,MOSTLY CORRECT / MIXED
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,34,G7,G6,20,0.0,0.85,0.20233388774142588,0.20495847443442378,False,STABLE INCORRECT
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,36,G7,G6,20,0.0,0.9,0.19323393070109007,0.196902960541565,False,STABLE INCORRECT
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,37,G8,G6,20,0.0,0.5,0.171823284868394,0.1356396422765191,False,MIXED / UNSTABLE
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,38,G8,G4,20,0.0,0.9,0.20938664954513092,0.1685417893526669,False,STABLE INCORRECT
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,39,G9,G4,20,0.0,0.35,0.1147551887551252,0.09885891667241326,False,MIXED / UNSTABLE
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,40,G9,G6,20,0.0,0.7,0.17518191650951556,0.19004033235556772,False,MIXED / UNSTABLE
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,41,G10,G2,20,0.0,0.85,0.20183096554753352,0.10120435049748834,False,STABLE INCORRECT
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,42,G10,G2,20,0.0,0.85,0.1777169074925542,0.19127756037982344,False,STABLE INCORRECT
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,43,G11,G2,20,0.05,0.5,0.15726073647554484,0.14999722764661866,False,MIXED / UNSTABLE
AsLS + L2 | 250 nm,AsLS + L2,asls_l2,250 nm,44,G11,G11,20,0.4,0.4,0.050988479865958905,0.029040953838804506,True,MOSTLY CORRECT / MIXED
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,1,G1,G2,20,0.0,0.35,0.03835496710312088,0.02089100166569069,False,MIXED / UNSTABLE
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,3,G1,G4,20,0.0,1.0,0.3794664567705833,0.36843550858454677,False,STABLE INCORRECT
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,4,G2,G3,20,0.0,0.5,0.1192008164786024,0.113296937259447,False,MIXED / UNSTABLE
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,5,G2,G2,20,0.4,0.4,0.08007321353828141,0.06101465094782631,True,MOSTLY CORRECT / MIXED
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,6,G2,G2,20,0.75,0.75,0.1056861799469458,0.0777528257813843,True,STABLE CORRECT
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,7,G2,G2,20,0.5,0.5,0.09587263079771692,0.0788204779887886,True,MOSTLY CORRECT / MIXED
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,8,G2,G6,20,0.05,0.55,0.10183456944489436,0.07438891047884985,False,MIXED / UNSTABLE
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,9,G3,G6,20,0.35,0.45,0.2371234573491074,0.12412916762737936,False,MIXED / UNSTABLE
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,10,G3,G5,20,0.15,0.6,0.37880330560839515,0.3307417279430557,False,MIXED / UNSTABLE
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,11,G3,G4,20,0.0,0.7,0.1350076505269941,0.11582161106548017,False,MIXED / UNSTABLE
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,12,G3,G2,20,0.0,0.55,0.09346274788237985,0.08553144352851832,False,MIXED / UNSTABLE
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,13,G4,G3,20,0.0,0.45,0.20460156013690556,0.1829520851880221,False,MIXED / UNSTABLE
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,14,G4,G4,20,0.85,0.85,0.20728689332226877,0.1691462823045118,True,STABLE CORRECT
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,15,G4,G4,20,0.95,0.95,0.195047697246998,0.2106974591932248,True,STABLE CORRECT
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,16,G4,G4,20,0.95,0.95,0.224675435146043,0.20191077511627686,True,STABLE CORRECT
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,17,G4,G6,20,0.25,0.6,0.12339483617854612,0.09415380298176794,False,MIXED / UNSTABLE
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,18,G4,G6,20,0.2,0.55,0.12627241321875865,0.11975746261823807,False,MIXED / UNSTABLE
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,19,G4,G4,20,0.7,0.7,0.11960757703782883,0.0871466629035043,True,MOSTLY CORRECT / MIXED
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,20,G5,G3,20,0.0,0.75,0.5920725038295089,0.5852523064213977,False,STABLE INCORRECT
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,21,G5,G4,20,0.0,0.9,0.2140464341821373,0.2099665471743395,False,STABLE INCORRECT
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,22,G5,G4,20,0.0,0.7,0.12151515147064829,0.10033171977762916,False,MIXED / UNSTABLE
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,23,G5,G2,20,0.0,0.7,0.10672031253893413,0.09702796223079678,False,MIXED / UNSTABLE
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,24,G6,G4,20,0.4,0.5,0.18381431341639037,0.1743208860086165,False,MIXED / UNSTABLE
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,26,G6,G4,20,0.0,0.85,4.738856119188665,5.444994693428285,False,STABLE INCORRECT
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,27,G6,G4,20,0.35,0.6,3.2234210410392636,2.708718002508824,False,MIXED / UNSTABLE
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,28,G6,G6,20,0.6,0.6,0.2928356674500547,0.22847964306413965,True,MOSTLY CORRECT / MIXED
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,30,G6,G6,20,0.45,0.45,0.11561094082758674,0.0956380543518178,True,MOSTLY CORRECT / MIXED
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,31,G6,G4,20,0.05,0.9,0.2142489410157547,0.2153615231888931,False,STABLE INCORRECT
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,32,G6,G2,20,0.25,0.65,0.07704311188669152,0.07674458191630053,False,MIXED / UNSTABLE
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,33,G6,G4,20,0.35,0.35,0.07773635485506822,0.058557352777433735,False,MIXED / UNSTABLE
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,34,G7,G7,20,0.5,0.5,0.040274087094258185,0.028358481154441423,True,MOSTLY CORRECT / MIXED
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,36,G7,G9,20,0.05,0.65,0.1010112004642036,0.0766252973441178,False,MIXED / UNSTABLE
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,37,G8,G9,20,0.0,0.8,0.12811314400062757,0.12720533595154443,False,STABLE INCORRECT
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,38,G8,G4,20,0.0,1.0,0.5576578117177994,0.5640700320100818,False,STABLE INCORRECT
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,39,G9,G9,20,1.0,1.0,0.28090045465949903,0.18924544277333638,True,STABLE CORRECT
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,40,G9,G9,20,1.0,1.0,0.28427812486072107,0.14025176877116532,True,STABLE CORRECT
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,41,G10,G2,20,0.0,0.55,0.09239136195887296,0.07210467362767199,False,MIXED / UNSTABLE
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,42,G10,G2,20,0.0,0.7,0.09764110724171496,0.07641320770142507,False,MIXED / UNSTABLE
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,43,G11,G2,20,0.0,0.65,0.14291333652625107,0.13537853661143523,False,MIXED / UNSTABLE
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,44,G11,G2,20,0.0,0.75,0.07500337453282603,0.06676551427592083,False,STABLE INCORRECT
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,1,G1,G6,20,0.0,0.6,0.2934139909019947,0.22829560247423117,False,MIXED / UNSTABLE
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,3,G1,G4,20,0.0,0.95,0.4678000847344581,0.49666284961416823,False,STABLE INCORRECT
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,4,G2,G6,20,0.0,0.65,0.22036938897133984,0.24188037300166904,False,MIXED / UNSTABLE
