Preprocessing,PreprocessingCode,Modality,SampleId,ActualGroup,MostFrequentPredictedGroup,CorrectRate,MeanDecisionMargin,PredictionCount
AsLS + L2,asls_l2,250 nm,1,G1,G9,0.0,0.21425049555955938,20
AsLS + L2,asls_l2,250 nm,3,G1,G4,0.0,0.9677208925920452,20
AsLS + L2,asls_l2,250 nm,4,G2,G6,0.0,0.15457068164827364,20
AsLS + L2,asls_l2,250 nm,5,G2,G2,0.6,0.15441388617727386,20
AsLS + L2,asls_l2,250 nm,6,G2,G2,0.8,0.13502271977659502,20
AsLS + L2,asls_l2,250 nm,7,G2,G2,0.8,0.1403936324301956,20
AsLS + L2,asls_l2,250 nm,8,G2,G6,0.15,0.27246930858370033,20
AsLS + L2,asls_l2,250 nm,9,G3,G6,0.0,0.25329960142774605,20
AsLS + L2,asls_l2,250 nm,10,G3,G6,0.0,0.09440904669083959,20
AsLS + L2,asls_l2,250 nm,11,G3,G4,0.0,0.1723421924946717,20
AsLS + L2,asls_l2,250 nm,12,G3,G6,0.0,0.23742431569669428,20
AsLS + L2,asls_l2,250 nm,13,G4,G6,0.0,0.1602129321376911,20
AsLS + L2,asls_l2,250 nm,14,G4,G4,0.95,0.41870148548790836,20
AsLS + L2,asls_l2,250 nm,15,G4,G4,0.9,0.6556587905516598,20
AsLS + L2,asls_l2,250 nm,16,G4,G4,0.85,0.6213217912615597,20
AsLS + L2,asls_l2,250 nm,17,G4,G4,0.5,0.1513416468596262,20
AsLS + L2,asls_l2,250 nm,18,G4,G4,0.55,0.1993300955950715,20
AsLS + L2,asls_l2,250 nm,19,G4,G6,0.25,0.12703621768166354,20
AsLS + L2,asls_l2,250 nm,20,G5,G6,0.0,0.4399079598789603,20
AsLS + L2,asls_l2,250 nm,21,G5,G2,0.0,0.4543884246593291,20
AsLS + L2,asls_l2,250 nm,22,G5,G6,0.0,0.1383112491871401,20
AsLS + L2,asls_l2,250 nm,23,G5,G6,0.0,0.07384367071730658,20
AsLS + L2,asls_l2,250 nm,24,G6,G6,0.85,0.1396381106260811,20
AsLS + L2,asls_l2,250 nm,26,G6,G5,0.2,0.23495634678872568,20
AsLS + L2,asls_l2,250 nm,27,G6,G6,1.0,0.20617575123951992,20
AsLS + L2,asls_l2,250 nm,28,G6,G9,0.2,0.1654498933092548,20
AsLS + L2,asls_l2,250 nm,30,G6,G6,0.55,0.12892089561067344,20
AsLS + L2,asls_l2,250 nm,31,G6,G4,0.1,0.14582259106277576,20
AsLS + L2,asls_l2,250 nm,32,G6,G6,0.6,0.16298877660604133,20
AsLS + L2,asls_l2,250 nm,33,G6,G6,0.65,0.12084727390798111,20
AsLS + L2,asls_l2,250 nm,34,G7,G6,0.0,0.19341104116854926,20
AsLS + L2,asls_l2,250 nm,36,G7,G6,0.0,0.15955666520033485,20
AsLS + L2,asls_l2,250 nm,37,G8,G6,0.0,0.16207246957175675,20
AsLS + L2,asls_l2,250 nm,38,G8,G4,0.0,0.2512009399835431,20
AsLS + L2,asls_l2,250 nm,39,G9,G6,0.0,0.17972933199333427,20
AsLS + L2,asls_l2,250 nm,40,G9,G6,0.0,0.23345969607643496,20
AsLS + L2,asls_l2,250 nm,41,G10,G2,0.0,0.2179119749800722,20
AsLS + L2,asls_l2,250 nm,42,G10,G2,0.0,0.17223425826506786,20
AsLS + L2,asls_l2,250 nm,43,G11,G5,0.0,0.12365527387553654,20
AsLS + L2,asls_l2,250 nm,44,G11,G2,0.35,0.05514836253927946,20
AsLS + L2,asls_l2,308 nm,1,G1,G7,0.0,0.12038309893066364,20
AsLS + L2,asls_l2,308 nm,3,G1,G4,0.0,0.3278764086384905,20
AsLS + L2,asls_l2,308 nm,4,G2,G4,0.0,0.0719507407590548,20
AsLS + L2,asls_l2,308 nm,5,G2,G4,0.45,0.09166432024197194,20
AsLS + L2,asls_l2,308 nm,6,G2,G2,0.5,0.11814582425530054,20
