SampleId,Wavelength,TotalSignalPoints,ValidNumericPoints,InvalidPoints
1,440,1800,1800,0
2,440,1800,1800,0
3,440,1800,1800,0
4,440,1800,1800,0
5,440,1800,1800,0
6,440,1800,1800,0
7,440,1800,1800,0
8,440,1800,1800,0
9,440,1800,1800,0
10,440,1800,1800,0
11,440,1800,1800,0
12,440,1800,1800,0
13,440,1800,1800,0
14,440,1800,1800,0
15,440,1800,1800,0
16,440,1800,1800,0
17,440,1800,1800,0
18,440,1800,1800,0
19,440,1800,1800,0
20,440,1800,1800,0
21,440,1800,1800,0
22,440,1800,1800,0
23,440,1800,1800,0
24,440,1800,1800,0
25,440,1800,1800,0
26,440,1800,1800,0
27,440,1800,1800,0
28,440,1800,1800,0
29,440,1800,1800,0
30,440,1800,1800,0
31,440,1800,1800,0
32,440,1800,1800,0
33,440,1800,1800,0
34,440,1800,1800,0
35,440,1800,1800,0
36,440,1800,1800,0
37,440,1800,1800,0
38,440,1800,1800,0
39,440,1800,1800,0
40,440,1800,1800,0
41,440,1800,1800,0
42,440,1800,1800,0
43,440,1800,1800,0
44,440,1800,1800,0
1,250,1800,1800,0
2,250,1800,1800,0
3,250,1800,1800,0
4,250,1800,1800,0
5,250,1800,1800,0
6,250,1800,1800,0
7,250,1800,1800,0
8,250,1800,1800,0
9,250,1800,1800,0
10,250,1800,1800,0
11,250,1800,1800,0
12,250,1800,1800,0
13,250,1800,1800,0
14,250,1800,1800,0
15,250,1800,1800,0
16,250,1800,1800,0
17,250,1800,1800,0
18,250,1800,1800,0
19,250,1800,1800,0
20,250,1800,1800,0
21,250,1800,1800,0
22,250,1800,1800,0
23,250,1800,1800,0
24,250,1800,1800,0
25,250,1800,1800,0
26,250,1800,1800,0
27,250,1800,1800,0
28,250,1800,1800,0
29,250,1800,1800,0
30,250,1800,1800,0
31,250,1800,1800,0
32,250,1800,1800,0
33,250,1800,1800,0
34,250,1800,1800,0
35,250,1800,1800,0
36,250,1800,1800,0
37,250,1800,1800,0
38,250,1800,1800,0
39,250,1800,1800,0
40,250,1800,1800,0
41,250,1800,1800,0
42,250,1800,1800,0
43,250,1800,1800,0
44,250,1800,1800,0
1,308,1800,1800,0
2,308,1800,1800,0
3,308,1800,1800,0
4,308,1800,1800,0
5,308,1800,1800,0
6,308,1800,1800,0
7,308,1800,1800,0
8,308,1800,1800,0
9,308,1800,1800,0
10,308,1800,1800,0
11,308,1800,1800,0
12,308,1800,1800,0
13,308,1800,1800,0
14,308,1800,1800,0
15,308,1800,1800,0
16,308,1800,1800,0
17,308,1800,1800,0
18,308,1800,1800,0
19,308,1800,1800,0
20,308,1800,1800,0
21,308,1800,1800,0
22,308,1800,1800,0
23,308,1800,1800,0
24,308,1800,1800,0
25,308,1800,1800,0
26,308,1800,1800,0
27,308,1800,1800,0
28,308,1800,1800,0
29,308,1800,1800,0
30,308,1800,1800,0
31,308,1800,1800,0
32,308,1800,1799,1
33,308,1800,1800,0
34,308,1800,1800,0
35,308,1800,1800,0
36,308,1800,1800,0
37,308,1800,1800,0
38,308,1800,1800,0
39,308,1800,1800,0
40,308,1800,1800,0
41,308,1800,1800,0
42,308,1800,1800,0
43,308,1800,1800,0
44,308,1800,1800,0
