SampleId,MappedGroup,Year,Status,InvalidSignalCells,FormulaCellsAcrossSheets,FormulaReferenceRows,FormulaMultipliers
1,سمنان,1394,ExactDuplicate,0,0,,
2,سمنان,1394,ExactDuplicate,0,0,,
3,سمنان,1404,Independent,0,0,,
4,اصفهان,1394,Independent,0,0,,
5,اصفهان,1404,Independent,0,0,,
6,اصفهان,1404,Independent,0,0,,
7,اصفهان,1404,Independent,0,0,,
8,اصفهان,1404,Independent,0,0,,
9,زنجان,1394,Independent,0,0,,
10,زنجان,1394,Independent,0,0,,
11,زنجان,1404,Independent,0,0,,
12,زنجان,1404,Independent,0,0,,
13,اراک,1394,Independent,0,0,,
14,اراک,1404,Independent,0,0,,
15,اراک,1404,Independent,0,0,,
16,اراک,1404,Independent,0,0,,
17,اراک,1404,Independent,0,0,,
18,اراک,1404,Independent,0,0,,
19,اراک,1404,Independent,0,0,,
20,خراسان شمالی,1394,Independent,0,0,,
21,خراسان شمالی,1404,Independent,0,0,,
22,خراسان شمالی,1404,Independent,0,0,,
23,خراسان شمالی,1404,Independent,0,0,,
24,خراسان رضوی,1394,ExactDuplicate,0,0,,
25,خراسان رضوی,1394,ExactDuplicate,0,0,,
26,خراسان رضوی,1394,Independent,0,0,,
27,خراسان رضوی,1394,Independent,0,0,,
28,خراسان رضوی,1394,ExactDuplicate,0,0,,
29,خراسان رضوی,1394,ExactDuplicate,0,0,,
30,خراسان رضوی,1404,Independent,0,0,,
31,خراسان رضوی,1404,Independent,0,0,,
32,خراسان رضوی,1404,IndependentWithInvalidCells,1,1,90,
33,خراسان رضوی,1404,Independent,0,0,,
34,فارس,1394,ExactDuplicate,0,0,,
35,فارس,1394,ExactDuplicate,0,0,,
36,فارس,1394,Independent,0,0,,
37,قم,1394,Independent,0,0,,
38,قم,1404,Independent,0,0,,
39,یزد,1394,Independent,0,0,,
40,یزد,1394,Independent,0,1800,41,0.53
41,قزوین,1404,Independent,0,0,,
42,قزوین,1404,Independent,0,0,,
43,لرستان,1404,Independent,0,0,,
44,لرستان,1404,Independent,0,0,,
