SampleId,HPLCNumber,Group,Region,HarvestYear,Min,Median,Mean,Std,Max,PeakTimeMin,AUC,NegativePoints,MissingPoints
1,1,G1,سمنان,1394,-20515.666666666668,983.3333333333334,9168.81685185185,29804.587805282845,336597.3333333333,16.96667,275102.71046507836,540,0
3,04-10,G1,سمنان,1404,-8.167326e-05,0.001734242,0.009266501361607112,0.03436828507122959,0.5844144,17.95,0.2779945440519019,146,0
4,3,G2,اصفهان,1394,-16990.333333333332,673.1666666666667,7492.232222222222,30453.644190022518,421523.0,17.05,224813.1392295017,681,0
5,04-27,G2,اصفهان,1404,-3.452599e-05,0.002489969,0.012584817319785946,0.03847632865733601,0.4965814,18.0,0.3775426486568736,92,0
6,04-19,G2,اصفهان,1404,-8.381903e-06,0.003615104,0.012653400466133332,0.035079306298945685,0.5390136,18.03333,0.37959280015288654,11,0
7,04-20,G2,اصفهان,1404,-5.692244e-05,0.005120099,0.014131322658446244,0.03013859529344549,0.4534879,18.0,0.423934258202004,146,0
8,04-21,G2,اصفهان,1404,-4.093349e-05,0.0012304335000000001,0.008023743497083,0.03557236561546255,0.655428,18.01667,0.240711298759346,150,0
9,5,G3,زنجان,1394,-5371.666666666667,909.0,11764.087407407409,30527.915101088605,254629.66666666666,17.53333,352966.89328521665,542,0
10,6,G3,زنجان,1394,-10720.0,1075.5,11293.94074074074,24968.864588648026,203235.66666666666,17.08333,338864.013773605,473,0
11,04-13,G3,زنجان,1404,-5.801022e-05,0.0015775415000000002,0.008796969245227224,0.031055739436512388,0.4796709,17.96667,0.2639085327274744,159,0
12,04-22,G3,زنجان,1404,-4.017353e-05,0.0029339789999999998,0.010538384127531723,0.03175917926637463,0.4909619,18.06667,0.31614477951090025,42,0
13,7,G4,اراک,1394,-13306.5,1757.5,15364.599722222221,36744.636637140284,279481.5,18.96667,460981.01550791756,451,0
14,04-4,G4,اراک,1404,-0.001595885,3.6656855e-06,0.0071596935175833,0.032965415158729534,0.6273931,17.95,0.2148039288676126,890,0
15,04-5,G4,اراک,1404,-0.0004226342,0.0013362985,0.009652234737735887,0.03603244970385221,0.5960184,17.95,0.2895703189130238,310,0
16,04-6,G4,اراک,1404,-0.0001134053,0.0016452895,0.009313496117963832,0.03264293863510735,0.5323046,17.95,0.27940549412443805,199,0
17,04-7,G4,اراک,1404,-2.715737e-05,0.0017239080000000001,0.010492603588987279,0.03576359707923569,0.5229509,18.0,0.31477602595046505,116,0
18,04-14,G4,اراک,1404,-3.731996e-05,0.0022182390000000003,0.009037419653494666,0.023744465427716133,0.2962607,18.01667,0.2711214638178481,133,0
19,04-15,G4,اراک,1404,-3.051013e-05,0.001637466,0.009805508297428668,0.036480630613869566,0.6002464,17.95,0.294164298105202,94,0
20,10,G5,خراسان شمالی,1394,-13865.5,555.75,8298.181666666667,18632.17824334341,146788.5,17.58333,248986.37812510997,478,0
