SampleId,HPLCNumber,Group,Region,HarvestYear,Wavelength,Max,AUC,PeakHeightRobustZ,AUCRobustZ,Flag
1,1,G1,سمنان,1394,440 nm,1845250.0,708873.0344534,-9.272651046674483,-2.130944718908962,True
4,3,G2,اصفهان,1394,440 nm,2586113.0,983054.6071826417,0.6745,0.6745,False
9,5,G3,زنجان,1394,440 nm,2461563.6666666665,742284.3043815902,-0.7800879247407615,-1.7358013088029038,False
10,6,G3,زنجان,1394,440 nm,2534133.3333333335,909963.990532545,0.07614421407062534,0.011639191159984715,False
13,7,G4,اراک,1394,440 nm,2527990.6666666665,1081712.9072046902,0.004624409209824862,1.4950272190162697,False
20,10,G5,خراسان شمالی,1394,440 nm,1944272.0,587716.4358294415,-7.7321995930927025,-3.739043919078787,True
24,17,G6,خراسان رضوی,1394,440 nm,2569096.6666666665,996289.2427155765,0.479953613010421,0.7892352529875863,False
26,20,G6,خراسان رضوی,1394,440 nm,1800348.0,706148.9542855,-9.998624503599629,-2.163978381069285,True
27,21,G6,خراسان رضوی,1394,440 nm,2432118.3333333335,958319.0616980983,-1.1347280761758605,0.45585703059497407,False
28,22,G6,خراسان رضوی,1394,440 nm,1753962.3333333333,652283.738862915,-10.767852321707453,-2.8447438396742144,True
34,24,G7,فارس,1394,440 nm,2532105.3333333335,908730.36648441,0.05255115435877482,0.0,False
36,25,G7,فارس,1394,440 nm,2610488.0,954281.3041403119,0.9509587750543277,0.4196313711797834,False
37,26,G8,قم,1394,440 nm,2529674.3333333335,943400.0764580384,0.024244816018547444,0.32123954809194233,False
39,28,G9,یزد,1394,440 nm,2527594.0,891189.367255545,0.0,-0.16723014341436612,False
40,29,G9,یزد,1394,440 nm,2510628.0,885741.5684675282,-0.19847496844605206,-0.21983810648990876,False
3,04-10,G1,سمنان,1404,440 nm,1.952058,0.4791086183212324,0.2918098613753629,0.0,False
5,04-27,G2,اصفهان,1404,440 nm,1.875185,0.527445084819028,-0.8602911644489429,1.146285897966051,False
6,04-19,G2,اصفهان,1404,440 nm,1.907963,0.43685172654530036,-0.3653227776565898,-1.0332274461234474,False
7,04-20,G2,اصفهان,1404,440 nm,1.77411,0.3923583892478216,-2.4229008448462963,-2.154510299533224,False
8,04-21,G2,اصفهان,1404,440 nm,1.963765,0.44374706741374603,0.4646265506161437,-0.8625707280665454,False
11,04-13,G3,زنجان,1404,440 nm,1.887445,0.4284159255481302,-0.6745,-1.243127223659278,False
12,04-22,G3,زنجان,1404,440 nm,1.931494,0.48660129717529704,-0.013418183312853061,0.1801187679199235,False
14,04-4,G4,اراک,1404,440 nm,1.995634,0.4759580669033648,0.9316350445097706,-0.0760097046039975,False
15,04-5,G4,اراک,1404,440 nm,1.993142,0.5179590489489436,0.8952967399273032,0.9242154194526763,False
16,04-6,G4,اراک,1404,440 nm,1.937741,0.4641084864064387,0.07953084163838132,-0.36335081109123735,False
17,04-7,G4,اراک,1404,440 nm,1.952495,0.514635876728376,0.2982730834675433,0.8460907464005235,False
18,04-14,G4,اراک,1404,440 nm,1.673002,0.591912092610803,-4.044052956688812,2.6199002549367667,True
19,04-15,G4,اراک,1404,440 nm,1.969864,0.49590891432291406,0.5543886630953166,0.40260727188682754,False
21,04-3,G5,خراسان شمالی,1404,440 nm,2.011344,0.5277373974129772,1.1600243694692705,1.1531070851452496,False
22,04-12,G5,خراسان شمالی,1404,440 nm,1.952964,0.452732851400577,0.3052085208027288,-0.6413955224295677,False
23,04-23,G5,خراسان شمالی,1404,440 nm,1.73738,0.3932679513060897,-3.0048874660317795,-2.1312315801573454,False
30,04-1,G6,خراسان رضوی,1404,440 nm,1.957621,0.48448536742412107,0.37401518883059315,0.1293454443793246,False
31,04-11,G6,خراسان رضوی,1404,440 nm,1.914611,0.4433409547499697,-0.2656145837023693,-0.8725992309648339,False
32,04-16,G6,خراسان رضوی,1404,440 nm,1.979964,0.4793915199143555,0.7026309297672126,0.0068173155227556305,False
33,04-18,G6,خراسان رضوی,1404,440 nm,1.950425,0.49781129018556497,0.26764935023597947,0.4479110864744622,False
38,04-2,G8,قم,1404,440 nm,1.534754,0.45331960720899556,-6.362861790044113,-0.6270007916160732,True
41,04-8,G10,قزوین,1404,440 nm,1.831881,0.494892847384555,-1.5229318857749652,0.3783867050240698,False
42,04-9,G10,قزوین,1404,440 nm,1.932395,0.5212659049417191,0.0,1.0017869216537738,False
43,04-24,G11,لرستان,1404,440 nm,1.858914,0.4533347548997047,-1.1080932122270575,-0.6266292541358383,False
44,04-25,G11,لرستان,1404,440 nm,1.881179,0.45138435046389647,-0.7693577886278563,-0.6745,False
1,1,G1,سمنان,1394,250 nm,505608.25,215072.92823250248,-2.474832821547348,-1.8904522618363646,False
4,3,G2,اصفهان,1394,250 nm,813967.3333333334,335481.06915650336,0.0,0.48701533594271895,False
9,5,G3,زنجان,1394,250 nm,872195.0,242162.55600523832,0.3591100861685157,-1.2560594182799,False
10,6,G3,زنجان,1394,250 nm,679588.6666666666,280878.48446557997,-0.9377987072403171,-0.4629457036472326,False
