Modality,GroupA,GroupB,CentroidCorrelationSimilarity,CorrelationDistance
250 nm,فارس,یزد,0.9498329862635491,0.05016701373645094
250 nm,اصفهان,قزوین,0.9487515590163421,0.051248440983657884
250 nm,زنجان,قم,0.9440697279978557,0.05593027200214429
250 nm,اصفهان,لرستان,0.9304546052032864,0.06954539479671362
250 nm,قزوین,لرستان,0.9118260386971868,0.08817396130281319
250 nm,خراسان رضوی,زنجان,0.9043644667679783,0.09563553323202167
250 nm,اصفهان,خراسان شمالی,0.8679210412866354,0.1320789587133646
250 nm,اراک,خراسان شمالی,0.8510716788991348,0.14892832110086518
250 nm,خراسان رضوی,قم,0.8437413864677987,0.15625861353220127
250 nm,اراک,اصفهان,0.8375920619369819,0.16240793806301812
250 nm,اراک,قزوین,0.8210688268676969,0.1789311731323031
250 nm,خراسان رضوی,خراسان شمالی,0.801264949808439,0.198735050191561
250 nm,خراسان شمالی,قزوین,0.7838076522486076,0.2161923477513924
250 nm,خراسان رضوی,سمنان,0.7788734071656472,0.22112659283435276
250 nm,اصفهان,خراسان رضوی,0.7690888685776639,0.2309111314223361
250 nm,اراک,لرستان,0.7672003440722079,0.23279965592779206
250 nm,خراسان شمالی,زنجان,0.7635298273205798,0.23647017267942017
250 nm,خراسان شمالی,لرستان,0.7629037424926807,0.23709625750731933
250 nm,زنجان,سمنان,0.7423010005384442,0.25769899946155583
250 nm,خراسان شمالی,سمنان,0.7359996325368987,0.2640003674631013
250 nm,خراسان شمالی,قم,0.7278140903741256,0.2721859096258744
250 nm,اراک,سمنان,0.7182347605869155,0.2817652394130845
250 nm,اراک,زنجان,0.7171710684303182,0.2828289315696818
250 nm,زنجان,یزد,0.7073887290548426,0.2926112709451574
250 nm,اراک,خراسان رضوی,0.7036902925704326,0.2963097074295674
250 nm,سمنان,فارس,0.6931731137749001,0.3068268862250999
250 nm,اصفهان,زنجان,0.6913736981736922,0.3086263018263078
250 nm,اراک,قم,0.6816864848921714,0.31831351510782857
250 nm,خراسان رضوی,فارس,0.6805616822513065,0.31943831774869347
250 nm,اصفهان,قم,0.6751984289864702,0.3248015710135298
250 nm,سمنان,یزد,0.6615805308177165,0.3384194691822835
250 nm,سمنان,قم,0.6582245031480669,0.3417754968519331
250 nm,زنجان,فارس,0.6467385403490898,0.35326145965091016
250 nm,خراسان رضوی,لرستان,0.6461789547901942,0.35382104520980584
250 nm,خراسان رضوی,یزد,0.6358669042347271,0.36413309576527286
250 nm,قم,یزد,0.6318042336540186,0.3681957663459814
250 nm,اصفهان,سمنان,0.6065029338542823,0.39349706614571767
250 nm,خراسان رضوی,قزوین,0.5682307033566292,0.4317692966433708
250 nm,قم,لرستان,0.553505322766588,0.44649467723341196
250 nm,فارس,قم,0.5517085671837381,0.44829143281626194
250 nm,زنجان,لرستان,0.5395511093887301,0.4604488906112699
250 nm,سمنان,قزوین,0.4891080815429834,0.5108919184570166
250 nm,زنجان,قزوین,0.4809835549197683,0.5190164450802317
250 nm,قزوین,قم,0.46194394001611655,0.5380560599838835
250 nm,سمنان,لرستان,0.3727999863420591,0.627200013657941
250 nm,خراسان شمالی,یزد,0.3605002922865259,0.6394997077134741
250 nm,خراسان شمالی,فارس,0.35124073340925915,0.6487592665907409
250 nm,اصفهان,یزد,0.22707203003309473,0.7729279699669053
250 nm,اصفهان,فارس,0.21663782092260808,0.7833621790773919
250 nm,اراک,یزد,0.16038709956265945,0.8396129004373405
250 nm,اراک,فارس,0.14668736629898907,0.853312633701011
