Modality,Group,Samples,MeanSilhouetteCorrelation,MedianSilhouetteCorrelation,MinSilhouetteCorrelation,MaxSilhouetteCorrelation,PositiveCorrelationFraction,MeanSilhouetteEuclidean,MedianSilhouetteEuclidean,PositiveEuclideanFraction
250 nm,اراک,7,-0.48761828578967176,-0.40590571138580994,-0.9752819145091258,-0.1430077614016352,0.0,-0.24995131050718689,-0.08733872838638115,0.0
250 nm,اصفهان,5,-0.9359494274226143,-0.9306340995945351,-0.9835377650727245,-0.8702345165840727,0.0,-0.7106252349038072,-0.6559821981077911,0.0
250 nm,خراسان رضوی,8,-0.8382770559768866,-0.8786233870290641,-0.9398810638870129,-0.6753606095234906,0.0,-0.5923159141336627,-0.621588604381869,0.0
250 nm,خراسان شمالی,4,-0.6976102503733631,-0.8610180818264052,-0.9808294540005011,-0.08757538384014107,0.0,-0.54367335768761,-0.6358880237615736,0.0
250 nm,زنجان,4,-0.8219968043488602,-0.8720697023789135,-0.9565486848696229,-0.5872991277679912,0.0,-0.5871184213071475,-0.6212888691015794,0.0
250 nm,سمنان,2,-0.8363672235099261,-0.8363672235099261,-0.9584446910991442,-0.714289755920708,0.0,-0.657017080091175,-0.657017080091175,0.0
250 nm,فارس,2,-0.33084039955376804,-0.33084039955376804,-0.8884642018999233,0.22678340279238715,0.5,-0.2861354578631605,-0.2861354578631605,0.5
250 nm,قزوین,2,0.8174488881854263,0.8174488881854263,0.7628724342297326,0.8720253421411198,1.0,0.5762709515464901,0.5762709515464901,1.0
250 nm,قم,2,-0.8542637692629143,-0.8542637692629143,-0.9032643653531396,-0.805263173172689,0.0,-0.6239349118466889,-0.6239349118466889,0.0
250 nm,لرستان,2,0.9501637742705564,0.9501637742705564,0.9430745177104529,0.9572530308306598,1.0,0.7745819284240385,0.7745819284240385,1.0
250 nm,یزد,2,0.798315997444041,0.798315997444041,0.7649373008472351,0.831694694040847,1.0,0.4762331521820065,0.4762331521820065,1.0
308 nm,اراک,7,-0.6107871225241164,-0.616352611895413,-0.9141333576749239,-0.34451901048265743,0.0,-0.34534140871092495,-0.2990456397306734,0.0
308 nm,اصفهان,5,-0.6755640225442219,-0.7453565245782249,-0.7886014458341447,-0.49883688095817136,0.0,-0.4051315802459635,-0.4460398902160323,0.0
308 nm,خراسان رضوی,8,-0.4029176738188386,-0.38549778777453086,-0.8710307002582166,0.08955615674016082,0.25,-0.2596579076909318,-0.21108154591871994,0.25
308 nm,خراسان شمالی,4,-0.7219782834477687,-0.7594388323804762,-0.8860525886117986,-0.4829828804183236,0.0,-0.47325732926648034,-0.47449993124380047,0.0
308 nm,زنجان,4,-0.40033614017823455,-0.4081537070293816,-0.9355334892654998,0.15049634261132486,0.25,-0.2760527422665584,-0.2301483103006296,0.25
308 nm,سمنان,2,-0.8063922595747677,-0.8063922595747677,-0.819730661894029,-0.7930538572555065,0.0,-0.561046379913416,-0.561046379913416,0.0
308 nm,فارس,2,0.6727829184908962,0.6727829184908962,0.6330213277636149,0.7125445092181775,1.0,0.4158555763758308,0.4158555763758308,1.0
308 nm,قزوین,2,0.5537712017037464,0.5537712017037464,0.44448189921649844,0.6630605041909943,1.0,0.3326904619821348,0.3326904619821348,1.0
308 nm,قم,2,-0.6786815827897004,-0.6786815827897004,-0.8171608483443817,-0.540202317235019,0.0,-0.45653230939882616,-0.45653230939882616,0.0
308 nm,لرستان,2,0.7300061420201132,0.7300061420201132,0.6678185593708345,0.7921937246693918,1.0,0.4799898465511899,0.4799898465511899,1.0
308 nm,یزد,2,0.9999999999999986,0.9999999999999986,0.9999999999999986,0.9999999999999986,1.0,1.0,1.0,1.0
440 nm,اراک,7,-0.629731040986474,-0.732679717703135,-0.9660860422304861,-0.17925666881558394,0.0,-0.4248049873899778,-0.469768830692861,0.0
440 nm,اصفهان,5,-0.9113669442266541,-0.9042125682075542,-0.9693931944709806,-0.8437479581634562,0.0,-0.6172921429927454,-0.5862409649073564,0.0
440 nm,خراسان رضوی,8,-0.9109552712044564,-0.9284429844886863,-0.982558263147826,-0.7114851187474196,0.0,-0.6979693978287331,-0.6983812917040786,0.0
440 nm,خراسان شمالی,4,-0.7485966760724057,-0.903304552793617,-0.990950757175759,-0.19682684152662983,0.0,-0.6113073096495069,-0.7167623449237056,0.0
440 nm,زنجان,4,-0.8679442050708723,-0.865644792895266,-0.9308832820145728,-0.8096039524783846,0.0,-0.6157785884522518,-0.5763003552965725,0.0
440 nm,سمنان,2,-0.7321274923078828,-0.7321274923078828,-0.8780346292967363,-0.5862203553190293,0.0,-0.5577562984107188,-0.5577562984107188,0.0
440 nm,فارس,2,0.38501409166874623,0.38501409166874623,0.10534728927254278,0.6646808940649497,1.0,0.20781515861216487,0.20781515861216487,1.0
440 nm,قزوین,2,0.664120051818684,0.664120051818684,0.5189491421252053,0.8092909615121628,1.0,0.40720196212121507,0.40720196212121507,1.0
440 nm,قم,2,-0.8520197079435958,-0.8520197079435958,-0.9706397395189093,-0.7333996763682825,0.0,-0.6585021320668393,-0.6585021320668393,0.0
440 nm,لرستان,2,0.984486278893236,0.984486278893236,0.9831126406870968,0.9858599170993751,1.0,0.872323774954449,0.872323774954449,1.0
440 nm,یزد,2,0.05435413819479443,0.05435413819479443,-0.38239042767470394,0.4910987040642928,0.5,0.015132572020120846,0.015132572020120846,0.5
Combined,اراک,7,-0.5607570623784681,-0.580720452875065,-0.8193926574254949,-0.33931933522289776,0.0,-0.29079351975221585,-0.3425803934454867,0.0
Combined,اصفهان,5,-0.8108903176990436,-0.8396544298820723,-0.8830434566266027,-0.7160375051666531,0.0,-0.5057761556927863,-0.5406051176359938,0.0
Combined,خراسان رضوی,8,-0.6553369876231432,-0.6568098126036033,-0.8595404615930815,-0.4381491389909445,0.0,-0.4071810220990464,-0.40358995405315173,0.0
Combined,خراسان شمالی,4,-0.6952811791146052,-0.796602889292011,-0.954481452779582,-0.23343748509481693,0.0,-0.4972773348055184,-0.5439736282782454,0.0
Combined,زنجان,4,-0.6665503474521385,-0.640562718191932,-0.8988247455407411,-0.48625120788394877,0.0,-0.41252349057313487,-0.37280906867397295,0.0
