SampleId,ActualClass,Modality,SilhouetteCorrelation,SilhouetteEuclidean,CorrelationStructure,EuclideanStructure
4,اصفهان,250 nm,-0.9835377650727245,-0.8733593941431848,OutsideOwnCluster,OutsideOwnCluster
23,خراسان شمالی,250 nm,-0.9808294540005011,-0.858336935452762,OutsideOwnCluster,OutsideOwnCluster
13,اراک,250 nm,-0.9752819145091258,-0.8427799381385814,OutsideOwnCluster,OutsideOwnCluster
5,اصفهان,250 nm,-0.9738254380173875,-0.7912528615104722,OutsideOwnCluster,OutsideOwnCluster
1,سمنان,250 nm,-0.9584446910991442,-0.7966427183563838,OutsideOwnCluster,OutsideOwnCluster
9,زنجان,250 nm,-0.9565486848696229,-0.7623196072910398,OutsideOwnCluster,OutsideOwnCluster
20,خراسان شمالی,250 nm,-0.9464250125405557,-0.7686030526272846,OutsideOwnCluster,OutsideOwnCluster
27,خراسان رضوی,250 nm,-0.9398810638870129,-0.7495353783516359,OutsideOwnCluster,OutsideOwnCluster
28,خراسان رضوی,250 nm,-0.9346750744192988,-0.7251787412839891,OutsideOwnCluster,OutsideOwnCluster
8,اصفهان,250 nm,-0.9306340995945351,-0.6559821981077911,OutsideOwnCluster,OutsideOwnCluster
32,خراسان رضوی,250 nm,-0.9292498466646169,-0.7029510667784488,OutsideOwnCluster,OutsideOwnCluster
7,اصفهان,250 nm,-0.9215153178443521,-0.6375797365262529,OutsideOwnCluster,OutsideOwnCluster
10,زنجان,250 nm,-0.915023461494221,-0.6649377574034041,OutsideOwnCluster,OutsideOwnCluster
24,خراسان رضوی,250 nm,-0.9053028656846256,-0.6790844066015631,OutsideOwnCluster,OutsideOwnCluster
37,قم,250 nm,-0.9032643653531396,-0.6891571626690136,OutsideOwnCluster,OutsideOwnCluster
36,فارس,250 nm,-0.8884642018999233,-0.6913810483263209,OutsideOwnCluster,OutsideOwnCluster
6,اصفهان,250 nm,-0.8702345165840727,-0.5949519842313354,OutsideOwnCluster,OutsideOwnCluster
30,خراسان رضوی,250 nm,-0.8519439083735024,-0.5640928021621749,OutsideOwnCluster,OutsideOwnCluster
11,زنجان,250 nm,-0.829115943263606,-0.5776399807997549,OutsideOwnCluster,OutsideOwnCluster
38,قم,250 nm,-0.805263173172689,-0.5587126610243642,OutsideOwnCluster,OutsideOwnCluster
31,خراسان رضوی,250 nm,-0.7908127257624784,-0.5195322084021095,OutsideOwnCluster,OutsideOwnCluster
22,خراسان شمالی,250 nm,-0.7756111511122546,-0.5031729948958625,OutsideOwnCluster,OutsideOwnCluster
3,سمنان,250 nm,-0.714289755920708,-0.5173914418259662,OutsideOwnCluster,OutsideOwnCluster
18,اراک,250 nm,-0.7058832268897993,-0.43432017969848696,OutsideOwnCluster,OutsideOwnCluster
33,خراسان رضوی,250 nm,-0.6789903535000672,-0.37797560541840136,OutsideOwnCluster,OutsideOwnCluster
26,خراسان رضوی,250 nm,-0.6753606095234906,-0.4201771040709791,OutsideOwnCluster,OutsideOwnCluster
12,زنجان,250 nm,-0.5872991277679912,-0.34357633973439133,OutsideOwnCluster,OutsideOwnCluster
19,اراک,250 nm,-0.5566824474719144,-0.2905439216859781,OutsideOwnCluster,OutsideOwnCluster
14,اراک,250 nm,-0.40590571138580994,-0.08733872838638115,OutsideOwnCluster,OutsideOwnCluster
16,اراک,250 nm,-0.324644875893531,-0.02152497422505735,OutsideOwnCluster,OutsideOwnCluster
15,اراک,250 nm,-0.3019220629758861,-0.02737429707994447,OutsideOwnCluster,OutsideOwnCluster
17,اراک,250 nm,-0.1430077614016352,-0.04577713433587879,OutsideOwnCluster,OutsideOwnCluster
21,خراسان شمالی,250 nm,-0.08757538384014107,-0.044580447774531344,OutsideOwnCluster,OutsideOwnCluster
11,زنجان,308 nm,-0.9355334892654998,-0.7446368650913421,OutsideOwnCluster,OutsideOwnCluster
17,اراک,308 nm,-0.9141333576749239,-0.7000799774600288,OutsideOwnCluster,OutsideOwnCluster
23,خراسان شمالی,308 nm,-0.8860525886117986,-0.6630914430257565,OutsideOwnCluster,OutsideOwnCluster
33,خراسان رضوی,308 nm,-0.8710307002582166,-0.6079326280991777,OutsideOwnCluster,OutsideOwnCluster
31,خراسان رضوی,308 nm,-0.8435427503976219,-0.5972091930062151,OutsideOwnCluster,OutsideOwnCluster
3,سمنان,308 nm,-0.819730661894029,-0.5757493770625621,OutsideOwnCluster,OutsideOwnCluster
37,قم,308 nm,-0.8171608483443817,-0.590854989563638,OutsideOwnCluster,OutsideOwnCluster
1,سمنان,308 nm,-0.7930538572555065,-0.5463433827642697,OutsideOwnCluster,OutsideOwnCluster
5,اصفهان,308 nm,-0.7886014458341447,-0.4921293365913837,OutsideOwnCluster,OutsideOwnCluster
22,خراسان شمالی,308 nm,-0.7865652612898479,-0.5047339283480209,OutsideOwnCluster,OutsideOwnCluster
6,اصفهان,308 nm,-0.7725681028114388,-0.4824648095156346,OutsideOwnCluster,OutsideOwnCluster
30,خراسان رضوی,308 nm,-0.7631449224337126,-0.47249616993395666,OutsideOwnCluster,OutsideOwnCluster
7,اصفهان,308 nm,-0.7453565245782249,-0.4460398902160323,OutsideOwnCluster,OutsideOwnCluster
