Modality,Year,GroupA,GroupB,GroupASize,GroupBSize,CentroidCorrelationSimilarity,CorrelationDistance
250 nm,1394,G6,G7,4,2,0.9869662565913839,0.013033743408616072
250 nm,1394,G3,G9,2,2,0.964689342834186,0.03531065716581405
250 nm,1394,G7,G9,2,2,0.9498329862638388,0.05016701373616117
250 nm,1394,G6,G9,4,2,0.9210993978726896,0.07890060212731043
250 nm,1394,G3,G7,2,2,0.8859596316595858,0.1140403683404142
250 nm,1394,G3,G6,2,4,0.8616155105980017,0.13838448940199832
250 nm,1404,G10,G2,2,4,0.9806824708287588,0.019317529171241188
250 nm,1404,G11,G2,2,4,0.9622397577660551,0.03776024223394492
250 nm,1404,G3,G6,2,4,0.9605729104147405,0.039427089585259534
250 nm,1404,G11,G6,2,4,0.9205493553911,0.07945064460889995
250 nm,1404,G10,G11,2,2,0.9118260386972172,0.08817396130278277
250 nm,1404,G3,G4,2,6,0.8923777034267953,0.10762229657320466
250 nm,1404,G2,G6,4,4,0.8842462616143707,0.1157537383856293
250 nm,1404,G2,G5,4,3,0.8696153668151034,0.13038463318489657
250 nm,1404,G4,G5,6,3,0.8670893190411678,0.13291068095883218
250 nm,1404,G10,G5,2,3,0.854670507324695,0.14532949267530504
250 nm,1404,G4,G6,6,4,0.8481051011067581,0.15189489889324193
250 nm,1404,G10,G4,2,6,0.8371515180239117,0.16284848197608826
250 nm,1404,G5,G6,3,4,0.8347333229943257,0.16526667700567432
250 nm,1404,G2,G4,4,6,0.8346966214289636,0.16530337857103639
250 nm,1404,G11,G5,2,3,0.8323709738793263,0.16762902612067365
250 nm,1404,G11,G3,2,2,0.824321543899976,0.17567845610002397
250 nm,1404,G3,G5,2,3,0.813269003167961,0.18673099683203898
250 nm,1404,G10,G6,2,4,0.8107462166642194,0.18925378333578058
250 nm,1404,G2,G3,4,2,0.8018633987839062,0.19813660121609378
250 nm,1404,G11,G4,2,6,0.7827497241002724,0.21725027589972756
250 nm,1404,G10,G3,2,2,0.7376493846867407,0.2623506153132593
308 nm,1394,G7,G9,2,2,0.49600315284633895,0.5039968471536611
308 nm,1394,G3,G6,2,4,0.3615115016838207,0.6384884983161794
308 nm,1394,G3,G7,2,2,0.35061782334379876,0.6493821766562012
308 nm,1394,G6,G7,4,2,0.09781184471271726,0.9021881552872828
