Modality,Year,PC,GeographyEtaSquared
250 nm,1394,PC1,0.5092001031834573
250 nm,1394,PC2,0.5070406764929516
250 nm,1394,PC3,0.9112774928631571
250 nm,1394,PC4,0.7168616040558422
250 nm,1394,PC5,0.6984548582818672
250 nm,1394,PC6,0.7909805686887241
250 nm,1394,PC7,0.4606975324012387
250 nm,1394,PC8,0.9043062121894259
250 nm,1394,PC9,0.6509539983567398
250 nm,1394,PC10,0.5394043613233541
250 nm,1404,PC1,0.47173198824580886
250 nm,1404,PC2,0.5593128523779698
250 nm,1404,PC3,0.3843316486724818
250 nm,1404,PC4,0.20429184540366488
250 nm,1404,PC5,0.37227135793741495
250 nm,1404,PC6,0.5353070885277312
250 nm,1404,PC7,0.6558594284977485
250 nm,1404,PC8,0.21418868799242888
250 nm,1404,PC9,0.5469985192257552
250 nm,1404,PC10,0.5684808103418332
308 nm,1394,PC1,0.9114982241576086
308 nm,1394,PC2,0.8821114361993995
308 nm,1394,PC3,0.7112515981831719
308 nm,1394,PC4,0.3400713660804004
308 nm,1394,PC5,0.5908624975174666
308 nm,1394,PC6,0.24068375931424632
308 nm,1394,PC7,0.7354073846820934
308 nm,1394,PC8,0.5920599104073896
308 nm,1394,PC9,0.5714520213548371
308 nm,1394,PC10,0.38276507532460396
308 nm,1404,PC1,0.39699539818005625
308 nm,1404,PC2,0.45237898904428103
308 nm,1404,PC3,0.5089554434154447
308 nm,1404,PC4,0.35387584432087305
308 nm,1404,PC5,0.4096227992429756
308 nm,1404,PC6,0.6600273591151471
308 nm,1404,PC7,0.3573883912884641
308 nm,1404,PC8,0.2108057314790412
308 nm,1404,PC9,0.3952001369063064
308 nm,1404,PC10,0.3865777470695623
440 nm,1394,PC1,0.693384806697314
440 nm,1394,PC2,0.6942809111947066
440 nm,1394,PC3,0.6324298461987449
440 nm,1394,PC4,0.9521626680392525
440 nm,1394,PC5,0.640807503722346
440 nm,1394,PC6,0.9209342313430406
440 nm,1394,PC7,0.6778932849209145
440 nm,1394,PC8,0.18277621066995298
440 nm,1394,PC9,0.22054085970052287
440 nm,1394,PC10,0.5829688672640856
440 nm,1404,PC1,0.41055380012855114
440 nm,1404,PC2,0.3760667537178671
440 nm,1404,PC3,0.5109910509905357
440 nm,1404,PC4,0.4080358685108389
440 nm,1404,PC5,0.6391720575534248
440 nm,1404,PC6,0.5034767621087572
440 nm,1404,PC7,0.42270165083196976
440 nm,1404,PC8,0.20792114931493774
440 nm,1404,PC9,0.46391474260690596
440 nm,1404,PC10,0.321886262881358
Combined,1394,PC1,0.8034425859802109
Combined,1394,PC2,0.7524319594846683
Combined,1394,PC3,0.7183418780178333
Combined,1394,PC4,0.7725761093667856
Combined,1394,PC5,0.3061092493666427
Combined,1394,PC6,0.8328796711016679
Combined,1394,PC7,0.2646188897256746
Combined,1394,PC8,0.8485254609990758
Combined,1394,PC9,0.6756232103879861
Combined,1394,PC10,0.44565406530249124
Combined,1404,PC1,0.43356228955111936
Combined,1404,PC2,0.4897129010372239
Combined,1404,PC3,0.5423047898053552
Combined,1404,PC4,0.31556224377238035
Combined,1404,PC5,0.2801114549988187
Combined,1404,PC6,0.5064237489242915
Combined,1404,PC7,0.40035832555868106
Combined,1404,PC8,0.3161225660717266
Combined,1404,PC9,0.28944023109792344
Combined,1404,PC10,0.5494243580677992
