Modality,Year,PC,ExplainedVariance,CumulativeVariance
250 nm,1394,1,0.7718052048764701,0.7718052048764701
250 nm,1394,2,0.11139057920286528,0.8831957840793354
250 nm,1394,3,0.04756467971133308,0.9307604637906685
250 nm,1394,4,0.035144427544228564,0.965904891334897
250 nm,1394,5,0.010377963728996931,0.9762828550638939
250 nm,1394,6,0.00793678459708093,0.9842196396609748
250 nm,1394,7,0.004175663652944273,0.9883953033139191
250 nm,1394,8,0.0030609288232306196,0.9914562321371497
250 nm,1394,9,0.0027137218331496275,0.9941699539702994
250 nm,1394,10,0.0023443157041504385,0.9965142696744498
250 nm,1404,1,0.3631871718765327,0.3631871718765327
250 nm,1404,2,0.27999835071211404,0.6431855225886467
250 nm,1404,3,0.17325985986546982,0.8164453824541165
250 nm,1404,4,0.08076129245525054,0.897206674909367
250 nm,1404,5,0.03856410495052315,0.9357707798598902
250 nm,1404,6,0.024746812517656702,0.9605175923775469
250 nm,1404,7,0.015156464964315672,0.9756740573418625
250 nm,1404,8,0.007013173971657489,0.98268723131352
250 nm,1404,9,0.0055677660862483705,0.9882549973997683
250 nm,1404,10,0.003101068741338267,0.9913560661411066
308 nm,1394,1,0.3210659286254775,0.3210659286254775
308 nm,1394,2,0.21523575031629044,0.536301678941768
308 nm,1394,3,0.11278744131331382,0.6490891202550818
308 nm,1394,4,0.09649046248797187,0.7455795827430537
308 nm,1394,5,0.08422864372464448,0.8298082264676981
308 nm,1394,6,0.051005060352012264,0.8808132868197104
308 nm,1394,7,0.043819601125304045,0.9246328879450144
308 nm,1394,8,0.02942758270795302,0.9540604706529674
308 nm,1394,9,0.024031889183570555,0.978092359836538
308 nm,1394,10,0.008813287984234263,0.9869056478207723
308 nm,1404,1,0.485257920873128,0.485257920873128
308 nm,1404,2,0.2161789800222731,0.7014369008954011
308 nm,1404,3,0.151480268848924,0.8529171697443251
308 nm,1404,4,0.04681627889362818,0.8997334486379532
308 nm,1404,5,0.031560599168133974,0.9312940478060872
308 nm,1404,6,0.02142593487610682,0.9527199826821939
308 nm,1404,7,0.012367957572445479,0.9650879402546394
308 nm,1404,8,0.009022341327997351,0.9741102815826368
308 nm,1404,9,0.005381081842914766,0.9794913634255515
308 nm,1404,10,0.004884568742515301,0.9843759321680668
440 nm,1394,1,0.7463476600751429,0.7463476600751429
440 nm,1394,2,0.13719129287603982,0.8835389529511827
440 nm,1394,3,0.04079478856943164,0.9243337415206143
440 nm,1394,4,0.029086803316996288,0.9534205448376106
440 nm,1394,5,0.013661871423690736,0.9670824162613013
440 nm,1394,6,0.01010133204005648,0.9771837483013578
440 nm,1394,7,0.008300649853621004,0.9854843981549788
440 nm,1394,8,0.006153830594136978,0.9916382287491158
440 nm,1394,9,0.0032516437526943355,0.9948898725018102
440 nm,1394,10,0.0018683205155472617,0.9967581930173575
440 nm,1404,1,0.5787534417631139,0.5787534417631139
440 nm,1404,2,0.24136742829348276,0.8201208700565967
440 nm,1404,3,0.10131282183560793,0.9214336918922047
440 nm,1404,4,0.04122002439310079,0.9626537162853055
440 nm,1404,5,0.014618112141818946,0.9772718284271245
440 nm,1404,6,0.006593081630168494,0.9838649100572929
440 nm,1404,7,0.004503854884716111,0.9883687649420091
440 nm,1404,8,0.003947884562284194,0.9923166495042933
440 nm,1404,9,0.0026846115752619366,0.9950012610795552
440 nm,1404,10,0.0013492030240242932,0.9963504641035795
Combined,1394,1,0.28440880406436625,0.28440880406436625
Combined,1394,2,0.22606648514200106,0.5104752892063673
Combined,1394,3,0.14312904885328473,0.653604338059652
Combined,1394,4,0.08415987249502282,0.7377642105546749
Combined,1394,5,0.07659539217219871,0.8143596027268736
Combined,1394,6,0.04447831166499562,0.8588379143918692
Combined,1394,7,0.04073674832660995,0.8995746627184791
Combined,1394,8,0.03179551707729317,0.9313701797957723
Combined,1394,9,0.024190309021805977,0.9555604888175783
Combined,1394,10,0.021060916146630453,0.9766214049642087
Combined,1404,1,0.459020543801472,0.459020543801472
Combined,1404,2,0.1859291850551835,0.6449497288566555
Combined,1404,3,0.10103315506506566,0.7459828839217211
Combined,1404,4,0.074772458083591,0.8207553420053121
Combined,1404,5,0.06410635214600986,0.884861694151322
Combined,1404,6,0.0350691638640663,0.9199308580153883
Combined,1404,7,0.016250723167844375,0.9361815811832327
Combined,1404,8,0.014684825179362477,0.9508664063625951
Combined,1404,9,0.01073832008998826,0.9616047264525833
Combined,1404,10,0.009911931387855618,0.971516657840439
