SampleId,ActualClass,Modality,Year,OwnGroupSimilarity,NearestOtherGroup,NearestOtherSimilarity,SimilarityGap,OwnGroupWin,GroupSize
9,G3,250 nm,1394,0.994863840993289,G9,0.9740189775041168,0.02084486348917214,True,2
10,G3,250 nm,1394,0.9948638409932897,G9,0.9454501124505055,0.04941372854278425,True,2
24,G6,250 nm,1394,0.8242082615520689,G3,0.9874916018040734,-0.16328334025200442,False,4
26,G6,250 nm,1394,0.85715827445502,G7,0.7940208431141514,0.06313743134086858,True,4
27,G6,250 nm,1394,0.9890546317746003,G7,0.9910413507821246,-0.00198671900752434,False,4
28,G6,250 nm,1394,0.9936269586292328,G7,0.9877101747890377,0.005916783840195117,True,4
34,G7,250 nm,1394,0.9703651358717832,G6,0.9715114580321923,-0.0011463221604091078,False,2
36,G7,250 nm,1394,0.9703651358717843,G9,0.9909690024143053,-0.020603866542521,False,2
39,G9,250 nm,1394,0.9959691088197014,G3,0.9572386642933977,0.0387304445263037,True,2
40,G9,250 nm,1394,0.9959691088197007,G3,0.9643629058474583,0.03160620297224237,True,2
5,G2,250 nm,1404,0.987952280297558,G10,0.9960135206328797,-0.00806124033532174,False,4
6,G2,250 nm,1404,0.9212223512763931,G6,0.9713361841677257,-0.050113832891332644,False,4
7,G2,250 nm,1404,0.9818766006048951,G10,0.9799092571010919,0.0019673435038032316,True,4
8,G2,250 nm,1404,0.987466862570842,G10,0.9831200215831255,0.004346840987716538,True,4
11,G3,250 nm,1404,0.8996742446398086,G4,0.9565333540535538,-0.05685910941374517,False,2
12,G3,250 nm,1404,0.899674244639808,G6,0.8635586331368795,0.036115611502928524,True,2
14,G4,250 nm,1404,0.9441356788710324,G10,0.8046612904136043,0.1394743884574281,True,6
15,G4,250 nm,1404,0.9081640744186293,G5,0.7709158047758765,0.13724826964275283,True,6
16,G4,250 nm,1404,0.9297239895998316,G5,0.7707201689576176,0.15900382064221397,True,6
17,G4,250 nm,1404,0.7469208014755851,G3,0.8481929341906747,-0.1012721327150895,False,6
18,G4,250 nm,1404,0.8541343389616476,G2,0.8833654342688283,-0.02923109530718071,False,6
19,G4,250 nm,1404,0.9236645489946663,G3,0.9186888298819861,0.004975719112680244,True,6
21,G5,250 nm,1404,0.6103052489539539,G4,0.28073001526507785,0.32957523368887603,True,3
