Normalization,Modality,Group,YearA,YearB,SamplesYearA,SamplesYearB,WithinGroupCrossYearSimilarity,CorrelationDistance
Raw,250 nm,G3,1394,1404,2,2,0.0070020316363491025,0.992997968363651
Raw,250 nm,G6,1394,1404,4,4,0.006326270574541165,0.9936737294254588
Raw,308 nm,G3,1394,1404,2,2,0.28851795511970213,0.7114820448802979
Raw,308 nm,G6,1394,1404,4,4,0.22991821963105208,0.7700817803689479
Raw,440 nm,G3,1394,1404,2,2,0.019480446513104602,0.9805195534868953
Raw,440 nm,G6,1394,1404,4,4,0.021885527652525386,0.9781144723474746
Raw,Combined,G3,1394,1404,2,2,0.03365407283489752,0.9663459271651025
Raw,Combined,G6,1394,1404,4,4,0.03208670896028734,0.9679132910397127
AreaNormalized,250 nm,G3,1394,1404,2,2,0.007422871418690687,0.9925771285813093
AreaNormalized,250 nm,G6,1394,1404,4,4,0.007553537522073648,0.9924464624779263
AreaNormalized,308 nm,G3,1394,1404,2,2,0.2862079336417982,0.7137920663582018
AreaNormalized,308 nm,G6,1394,1404,4,4,0.21480619813114848,0.7851938018688516
AreaNormalized,440 nm,G3,1394,1404,2,2,0.019132587300956846,0.9808674126990432
AreaNormalized,440 nm,G6,1394,1404,4,4,0.021722182675512697,0.9782778173244873
AreaNormalized,Combined,G3,1394,1404,2,2,0.038631115567147954,0.9613688844328521
AreaNormalized,Combined,G6,1394,1404,4,4,0.03667579310807153,0.9633242068919284
MaxNormalized,250 nm,G3,1394,1404,2,2,0.010883402201114525,0.9891165977988855
MaxNormalized,250 nm,G6,1394,1404,4,4,0.010126781543631742,0.9898732184563682
MaxNormalized,308 nm,G3,1394,1404,2,2,0.28865228417849437,0.7113477158215056
MaxNormalized,308 nm,G6,1394,1404,4,4,0.2561781875984244,0.7438218124015756
MaxNormalized,440 nm,G3,1394,1404,2,2,0.01942296878675301,0.980577031213247
MaxNormalized,440 nm,G6,1394,1404,4,4,0.021657839542178054,0.978342160457822
MaxNormalized,Combined,G3,1394,1404,2,2,0.1457288386470773,0.8542711613529227
MaxNormalized,Combined,G6,1394,1404,4,4,0.09808056750142935,0.9019194324985707
SNV,250 nm,G3,1394,1404,2,2,0.009226372461059342,0.9907736275389406
SNV,250 nm,G6,1394,1404,4,4,0.008924032271401181,0.9910759677285989
SNV,308 nm,G3,1394,1404,2,2,0.28863288720332203,0.711367112796678
SNV,308 nm,G6,1394,1404,4,4,0.22918567835466283,0.7708143216453371
SNV,440 nm,G3,1394,1404,2,2,0.019351346307168216,0.9806486536928318
SNV,440 nm,G6,1394,1404,4,4,0.02167562229967699,0.978324377700323
SNV,Combined,G3,1394,1404,2,2,0.10303110003981225,0.8969688999601877
SNV,Combined,G6,1394,1404,4,4,0.07529110968489176,0.9247088903151083
AsLS+SNV,250 nm,G3,1394,1404,2,2,-0.02353402125431516,1.0235340212543151
AsLS+SNV,250 nm,G6,1394,1404,4,4,-0.025635849491176445,1.0256358494911764
AsLS+SNV,308 nm,G3,1394,1404,2,2,0.166440888814925,0.833559111185075
AsLS+SNV,308 nm,G6,1394,1404,4,4,0.12941645980281083,0.8705835401971892
AsLS+SNV,440 nm,G3,1394,1404,2,2,-0.004660487997767596,1.0046604879977676
AsLS+SNV,440 nm,G6,1394,1404,4,4,-0.004363706323747269,1.0043637063237472
AsLS+SNV,Combined,G3,1394,1404,2,2,0.04258715284564038,0.9574128471543596
AsLS+SNV,Combined,G6,1394,1404,4,4,0.022788895631662753,0.9772111043683372
