SampleId,ActualClass,Year,Normalization,Modality,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
1,G1,1394,Raw,250 nm,779352.9645511198,-430253.2086241853,40779.28827946172,83157.04211609013,-115225.98583496276,37854.266394274695,137992.95212597595,-32711.390759390477,27278.007124635627,-73631.30681931891
3,G1,1404,Raw,250 nm,-861795.5696666787,35974.08503999592,14729.49228676395,-7401.936814001403,-8253.150959265955,-2736.7942241902606,-2289.5839588600998,1249.0517844657568,630.3906606718019,1175.8339204583096
4,G2,1394,Raw,250 nm,1939372.6289831528,74584.42228827524,14955.583426478503,1023.6397690985752,-24913.94844663409,-78193.45595380457,33828.01735432075,-128452.56672683958,48927.39990320006,77574.55212894698
5,G2,1404,Raw,250 nm,-861795.5852909416,35974.08601995878,14729.503085386226,-7401.914040416908,-8253.15489221291,-2736.816596675238,-2289.5724322414217,1249.019609494913,630.3883900097201,1175.8506015990913
6,G2,1404,Raw,250 nm,-861795.5866681575,35974.08934034461,14729.506599039212,-7401.931458782939,-8253.147852680368,-2736.8193981978884,-2289.5904363466652,1249.0116350327137,630.3824446186151,1175.8378396992382
7,G2,1404,Raw,250 nm,-861795.5821479029,35974.08612312607,14729.505142726954,-7401.932567929808,-8253.154582016472,-2736.815617129554,-2289.590943520193,1248.9923587162375,630.3762715526065,1175.8281197933052
8,G2,1404,Raw,250 nm,-861795.5838653855,35974.08298955354,14729.505301264948,-7401.9073914514665,-8253.14292891906,-2736.784540995344,-2289.578985056275,1249.0853756749523,630.4071304562239,1175.8226175548969
9,G3,1394,Raw,250 nm,1654713.7325032086,441242.72875983047,281067.60857212223,-88546.97694238964,133610.53584764947,95678.7315612838,-87392.37020637032,-38731.87011607359,-37762.85790336397,8616.865663939308
10,G3,1394,Raw,250 nm,1283979.7955148125,573861.6084746195,-135221.92061920709,-45651.64628544261,154686.84005200438,13893.294099130804,-7809.597412824142,20229.329502615656,32400.255843663577,33411.318223883725
11,G3,1404,Raw,250 nm,-861795.581895723,35974.09547769527,14729.505192069757,-7401.954963559182,-8253.146531562277,-2736.8117957988957,-2289.5960563267627,1249.0298490601874,630.3727119175031,1175.8209690632593
12,G3,1404,Raw,250 nm,-861795.5890087616,35974.09017938048,14729.507516123296,-7401.93422494814,-8253.140155142995,-2736.8174492190087,-2289.595059162945,1249.0337409235067,630.3932196940561,1175.8309357287485
