Normalization,Modality,PC,YearEtaSquared
Raw,250 nm,PC1,0.9064646890418462
Raw,250 nm,PC2,0.013147621419691244
Raw,250 nm,PC3,0.01830738438249981
Raw,250 nm,PC4,0.012367391597522192
Raw,250 nm,PC5,0.01967761240776456
Raw,250 nm,PC6,0.007047437061531973
Raw,250 nm,PC7,0.0059584951694236265
Raw,250 nm,PC8,0.002789857481106546
Raw,250 nm,PC9,0.0008144857617745252
Raw,250 nm,PC10,0.003115088969641353
Raw,308 nm,PC1,0.8266317167262653
Raw,308 nm,PC2,0.01771179807029294
Raw,308 nm,PC3,0.04706115414062695
Raw,308 nm,PC4,0.037220521923734075
Raw,308 nm,PC5,0.01510887065694359
Raw,308 nm,PC6,1.734539181926847e-08
Raw,308 nm,PC7,0.010044265428542509
Raw,308 nm,PC8,0.00835008331005579
Raw,308 nm,PC9,0.0066603212624180095
Raw,308 nm,PC10,0.007770951069554405
Raw,440 nm,PC1,0.9561819450773811
Raw,440 nm,PC2,0.005304656742403287
Raw,440 nm,PC3,0.008943688990494303
Raw,440 nm,PC4,0.007209228600610777
Raw,440 nm,PC5,0.0005389955261555806
Raw,440 nm,PC6,2.495790222316002e-06
Raw,440 nm,PC7,0.00454691917909642
Raw,440 nm,PC8,0.0036970516929077085
Raw,440 nm,PC9,0.003106555293084155
Raw,440 nm,PC10,0.0006885247058479303
Raw,Combined,PC1,0.9544249092679068
Raw,Combined,PC2,0.00578297292156929
Raw,Combined,PC3,0.012257761908411277
Raw,Combined,PC4,4.313558785040988e-05
Raw,Combined,PC5,0.0051251917873425265
Raw,Combined,PC6,0.00531084032934984
Raw,Combined,PC7,1.1168146444433229e-05
Raw,Combined,PC8,0.005017404514026248
Raw,Combined,PC9,0.0003973156993422035
Raw,Combined,PC10,0.006470560754491419
AreaNormalized,250 nm,PC1,0.9336235069878214
AreaNormalized,250 nm,PC2,0.011711259619767841
AreaNormalized,250 nm,PC3,0.031582108315269045
AreaNormalized,250 nm,PC4,0.0023306803116341277
AreaNormalized,250 nm,PC5,0.00734967359884388
AreaNormalized,250 nm,PC6,0.0003228261036298724
AreaNormalized,250 nm,PC7,4.9658352100415906e-05
AreaNormalized,250 nm,PC8,0.0008988749348784182
AreaNormalized,250 nm,PC9,0.0037181042845692335
AreaNormalized,250 nm,PC10,0.003086033363251072
AreaNormalized,308 nm,PC1,0.9041516154202132
AreaNormalized,308 nm,PC2,0.009215498045501654
AreaNormalized,308 nm,PC3,0.0026748499727045137
