Normalization,Modality,PC,ExplainedVariance,CumulativeVariance
Raw,250 nm,1,0.87009411862436,0.87009411862436
Raw,250 nm,2,0.10453001210823208,0.9746241307325921
Raw,250 nm,3,0.012585150183911077,0.9872092809165032
Raw,250 nm,4,0.004704576437672881,0.991913857354176
Raw,250 nm,5,0.003675999384666877,0.9955898567388429
Raw,250 nm,6,0.0011286673895349703,0.9967185241283779
Raw,250 nm,7,0.000934294095797833,0.9976528182241757
Raw,250 nm,8,0.0005938549872345507,0.9982466732114103
Raw,250 nm,9,0.0005181358564576943,0.9987648090678679
Raw,250 nm,10,0.0004713358709760149,0.9992361449388439
Raw,308 nm,1,0.4779033010723619,0.4779033010723619
Raw,308 nm,2,0.16769535909147013,0.645598660163832
Raw,308 nm,3,0.09450611233818987,0.7401047725020219
Raw,308 nm,4,0.06960913916535462,0.8097139116673765
Raw,308 nm,5,0.059789215829733844,0.8695031274971103
Raw,308 nm,6,0.03512320512234375,0.9046263326194541
Raw,308 nm,7,0.03212477201881563,0.9367511046382697
Raw,308 nm,8,0.02842214688799613,0.9651732515262659
Raw,308 nm,9,0.014417722708640376,0.9795909742349063
Raw,308 nm,10,0.009750428601386715,0.989341402836293
Raw,440 nm,1,0.8899983867753422,0.8899983867753422
Raw,440 nm,2,0.08368957001607033,0.9736879567914125
Raw,440 nm,3,0.013827232227778211,0.9875151890191908
Raw,440 nm,4,0.004439611758374699,0.9919548007775655
Raw,440 nm,5,0.002755774851200364,0.9947105756287659
Raw,440 nm,6,0.0017070595193982496,0.9964176351481641
Raw,440 nm,7,0.0015438727008373738,0.9979615078490014
Raw,440 nm,8,0.0005890291021212907,0.9985505369511227
Raw,440 nm,9,0.0005494832522302351,0.999100020203353
Raw,440 nm,10,0.00035659905897172624,0.9994566192623247
Raw,Combined,1,0.8730295571335424,0.8730295571335424
Raw,Combined,2,0.08025144207800622,0.9532809992115485
Raw,Combined,3,0.014160292549107154,0.9674412917606556
Raw,Combined,4,0.008386402065425949,0.9758276938260816
Raw,Combined,5,0.006877112924785729,0.9827048067508674
Raw,Combined,6,0.003843738366819117,0.9865485451176865
Raw,Combined,7,0.0028976743231515184,0.989446219440838
Raw,Combined,8,0.0024619899985340063,0.991908209439372
Raw,Combined,9,0.0019934693077995236,0.9939016787471715
Raw,Combined,10,0.001925328326709613,0.9958270070738812
AreaNormalized,250 nm,1,0.6657549762459928,0.6657549762459928
AreaNormalized,250 nm,2,0.11236204592199237,0.7781170221679852
AreaNormalized,250 nm,3,0.08412841557441413,0.8622454377423993
AreaNormalized,250 nm,4,0.04487799853077565,0.9071234362731749
AreaNormalized,250 nm,5,0.029723978891294054,0.936847415164469
AreaNormalized,250 nm,6,0.01877265892706728,0.9556200740915363
AreaNormalized,250 nm,7,0.011820181547856594,0.9674402556393928
AreaNormalized,250 nm,8,0.008230300658966346,0.9756705562983592
AreaNormalized,250 nm,9,0.005548335389476454,0.9812188916878356
AreaNormalized,250 nm,10,0.0049290572983597845,0.9861479489861954
AreaNormalized,308 nm,1,0.43541517019082626,0.43541517019082626
AreaNormalized,308 nm,2,0.1921029603502962,0.6275181305411225
AreaNormalized,308 nm,3,0.0774615395445571,0.7049796700856796
AreaNormalized,308 nm,4,0.07040427289785632,0.775383942983536
AreaNormalized,308 nm,5,0.0454576352992275,0.8208415782827635
AreaNormalized,308 nm,6,0.04219561845956322,0.8630371967423267
AreaNormalized,308 nm,7,0.023857004845639414,0.8868942015879662
AreaNormalized,308 nm,8,0.01809041656981809,0.9049846181577843
AreaNormalized,308 nm,9,0.01571243939145857,0.9206970575492429
AreaNormalized,308 nm,10,0.012933261707371921,0.9336303192566149
AreaNormalized,440 nm,1,0.6012536653240196,0.6012536653240196
AreaNormalized,440 nm,2,0.21933463257175015,0.8205882978957697
AreaNormalized,440 nm,3,0.07500430510457236,0.895592603000342
AreaNormalized,440 nm,4,0.038420570226562804,0.9340131732269048
AreaNormalized,440 nm,5,0.027240970650348504,0.9612541438772533
AreaNormalized,440 nm,6,0.014669779265890547,0.9759239231431438
AreaNormalized,440 nm,7,0.006103452530347369,0.9820273756734912
AreaNormalized,440 nm,8,0.005072268412069722,0.987099644085561
AreaNormalized,440 nm,9,0.0024348720226347762,0.9895345161081958
AreaNormalized,440 nm,10,0.0020379512256963046,0.991572467333892
AreaNormalized,Combined,1,0.5916072682946012,0.5916072682946012
AreaNormalized,Combined,2,0.17982106261798536,0.7714283309125866
AreaNormalized,Combined,3,0.06201600858168133,0.8334443394942679
AreaNormalized,Combined,4,0.03424134763958916,0.8676856871338571
AreaNormalized,Combined,5,0.02649202821394405,0.8941777153478011
AreaNormalized,Combined,6,0.019413141911683755,0.9135908572594849
AreaNormalized,Combined,7,0.015759897365676526,0.9293507546251614
AreaNormalized,Combined,8,0.014145901226055862,0.9434966558512172
AreaNormalized,Combined,9,0.01196519356718012,0.9554618494183973
AreaNormalized,Combined,10,0.006166002604651645,0.9616278520230489
MaxNormalized,250 nm,1,0.6698698109074871,0.6698698109074871
MaxNormalized,250 nm,2,0.09438105836600139,0.7642508692734885
MaxNormalized,250 nm,3,0.05798125688633149,0.82223212615982
MaxNormalized,250 nm,4,0.05714255657873405,0.879374682738554
MaxNormalized,250 nm,5,0.04834554543320043,0.9277202281717545
MaxNormalized,250 nm,6,0.023029652368665703,0.9507498805404202
MaxNormalized,250 nm,7,0.014772788694300999,0.9655226692347212
MaxNormalized,250 nm,8,0.00792645123104575,0.9734491204657669
MaxNormalized,250 nm,9,0.00649599414992055,0.9799451146156875
MaxNormalized,250 nm,10,0.0045410267493486405,0.9844861413650361
MaxNormalized,308 nm,1,0.37582490439793687,0.37582490439793687
MaxNormalized,308 nm,2,0.13565364372762026,0.5114785481255572
MaxNormalized,308 nm,3,0.08912550293075519,0.6006040510563123
MaxNormalized,308 nm,4,0.0821165832603371,0.6827206343166494
MaxNormalized,308 nm,5,0.06772894174205481,0.7504495760587042
MaxNormalized,308 nm,6,0.05796167985873691,0.8084112559174411
MaxNormalized,308 nm,7,0.03618500454491283,0.8445962604623539
MaxNormalized,308 nm,8,0.03574945023125233,0.8803457106936062
MaxNormalized,308 nm,9,0.023277698197395308,0.9036234088910016
MaxNormalized,308 nm,10,0.020564000633106903,0.9241874095241085
MaxNormalized,440 nm,1,0.6688504816759353,0.6688504816759353
MaxNormalized,440 nm,2,0.15535114267043784,0.8242016243463731
MaxNormalized,440 nm,3,0.05905048708960391,0.883252111435977
MaxNormalized,440 nm,4,0.04777619107066397,0.931028302506641
MaxNormalized,440 nm,5,0.029375251677831442,0.9604035541844724
MaxNormalized,440 nm,6,0.011855642171870536,0.972259196356343
MaxNormalized,440 nm,7,0.008318479775224041,0.980577676131567
MaxNormalized,440 nm,8,0.004867604173545354,0.9854452803051124
MaxNormalized,440 nm,9,0.0030388812847668687,0.9884841615898792
MaxNormalized,440 nm,10,0.002391775906577835,0.990875937496457
MaxNormalized,Combined,1,0.5277591113137925,0.5277591113137925
MaxNormalized,Combined,2,0.09720082174700866,0.6249599330608011
MaxNormalized,Combined,3,0.06361137399049621,0.6885713070512973
MaxNormalized,Combined,4,0.05207702050357112,0.7406483275548684
MaxNormalized,Combined,5,0.04581771790096082,0.7864660454558292
MaxNormalized,Combined,6,0.0358640999215075,0.8223301453773367
MaxNormalized,Combined,7,0.026192959964397942,0.8485231053417347
MaxNormalized,Combined,8,0.025665881166318395,0.8741889865080531
MaxNormalized,Combined,9,0.021500099851451012,0.8956890863595041
MaxNormalized,Combined,10,0.017221020804675646,0.9129101071641798
SNV,250 nm,1,0.668508778198126,0.668508778198126
SNV,250 nm,2,0.09884578876016283,0.7673545669582889
SNV,250 nm,3,0.07260333863939585,0.8399579055976847
SNV,250 nm,4,0.053361080787819024,0.8933189863855037
SNV,250 nm,5,0.042080404886869704,0.9353993912723734
SNV,250 nm,6,0.021728976233607856,0.9571283675059812
SNV,250 nm,7,0.010594053801254685,0.9677224213072358
SNV,250 nm,8,0.007297362234800156,0.975019783542036
SNV,250 nm,9,0.006062858516280251,0.9810826420583163
SNV,250 nm,10,0.004313554544110775,0.985396196602427
SNV,308 nm,1,0.39541481447954185,0.39541481447954185
SNV,308 nm,2,0.14397579410331704,0.5393906085828589
SNV,308 nm,3,0.1018360826254296,0.6412266912082886
SNV,308 nm,4,0.0698349762828125,0.7110616674911011
SNV,308 nm,5,0.05666356247135339,0.7677252299624545
SNV,308 nm,6,0.04180749077996544,0.80953272074242
SNV,308 nm,7,0.03688793648107349,0.8464206572234935
SNV,308 nm,8,0.031648639867205466,0.8780692970906989
SNV,308 nm,9,0.025295385982279702,0.9033646830729786
SNV,308 nm,10,0.0174893263821507,0.9208540094551293
SNV,440 nm,1,0.6405762826088071,0.6405762826088071
SNV,440 nm,2,0.18377490378039454,0.8243511863892016
SNV,440 nm,3,0.06631768088322124,0.8906688672724228
SNV,440 nm,4,0.040156514351810085,0.9308253816242329
SNV,440 nm,5,0.03125551793829334,0.9620808995625263
SNV,440 nm,6,0.01323344745807559,0.9753143470206019
SNV,440 nm,7,0.006814747254531524,0.9821290942751335
SNV,440 nm,8,0.004730586824562671,0.9868596810996961
SNV,440 nm,9,0.0021857107547136037,0.9890453918544098
SNV,440 nm,10,0.002085450057706583,0.9911308419121163
SNV,Combined,1,0.5651246785478095,0.5651246785478095
SNV,Combined,2,0.1347412646785686,0.6998659432263781
SNV,Combined,3,0.04915653589694694,0.749022479123325
SNV,Combined,4,0.04173803318132301,0.790760512304648
SNV,Combined,5,0.034179738998876795,0.8249402513035248
SNV,Combined,6,0.028850922795194894,0.8537911740987196
SNV,Combined,7,0.02184300243336387,0.8756341765320835
SNV,Combined,8,0.0207594706377246,0.8963936471698082
SNV,Combined,9,0.018309011083778446,0.9147026582535867
SNV,Combined,10,0.013184858931017888,0.9278875171846045
AsLS+SNV,250 nm,1,0.6632906002703948,0.6632906002703948
AsLS+SNV,250 nm,2,0.09986288328802506,0.7631534835584198
AsLS+SNV,250 nm,3,0.07216325274211352,0.8353167363005334
AsLS+SNV,250 nm,4,0.055685645110425744,0.8910023814109591
AsLS+SNV,250 nm,5,0.04358999594169382,0.9345923773526529
AsLS+SNV,250 nm,6,0.022264102408153217,0.9568564797608061
AsLS+SNV,250 nm,7,0.010638590200475537,0.9674950699612817
AsLS+SNV,250 nm,8,0.0074629084294698216,0.9749579783907515
AsLS+SNV,250 nm,9,0.006180364937686249,0.9811383433284377
AsLS+SNV,250 nm,10,0.004176195411527854,0.9853145387399656
AsLS+SNV,308 nm,1,0.3598451989284928,0.3598451989284928
AsLS+SNV,308 nm,2,0.14092338272409,0.5007685816525829
AsLS+SNV,308 nm,3,0.1117212860243919,0.6124898676769748
AsLS+SNV,308 nm,4,0.08385493604818554,0.6963448037251603
AsLS+SNV,308 nm,5,0.05565076547478585,0.7519955691999461
AsLS+SNV,308 nm,6,0.042483759132819286,0.7944793283327655
AsLS+SNV,308 nm,7,0.03694162955297075,0.8314209578857362
AsLS+SNV,308 nm,8,0.03530395570719894,0.8667249135929351
AsLS+SNV,308 nm,9,0.030839183451140527,0.8975640970440757
AsLS+SNV,308 nm,10,0.019613773599835647,0.9171778706439113
AsLS+SNV,440 nm,1,0.6385212122255158,0.6385212122255158
AsLS+SNV,440 nm,2,0.18335150257567054,0.8218727148011864
AsLS+SNV,440 nm,3,0.06620928426970597,0.8880819990708924
AsLS+SNV,440 nm,4,0.04239363109252415,0.9304756301634165
AsLS+SNV,440 nm,5,0.0313842578297718,0.9618598879931883
AsLS+SNV,440 nm,6,0.013169707566502112,0.9750295955596905
AsLS+SNV,440 nm,7,0.007040800051086472,0.9820703956107769
AsLS+SNV,440 nm,8,0.00469629722744725,0.9867666928382242
AsLS+SNV,440 nm,9,0.0022358748289838695,0.9890025676672081
AsLS+SNV,440 nm,10,0.00210086480540445,0.9911034324726126
AsLS+SNV,Combined,1,0.5445200451410355,0.5445200451410355
AsLS+SNV,Combined,2,0.1319923593623594,0.6765124045033949
AsLS+SNV,Combined,3,0.05094133486549739,0.7274537393688922
AsLS+SNV,Combined,4,0.04767583052190243,0.7751295698907946
AsLS+SNV,Combined,5,0.03817564977439762,0.8133052196651922
AsLS+SNV,Combined,6,0.028959808045325615,0.8422650277105178
AsLS+SNV,Combined,7,0.024969700038791804,0.8672347277493097
AsLS+SNV,Combined,8,0.021571296069330607,0.8888060238186403
AsLS+SNV,Combined,9,0.018437023070398073,0.9072430468890383
AsLS+SNV,Combined,10,0.014657172755024228,0.9219002196440625
