SampleId,Wavelength,AbsAUC,MaxAbs,MeanAbs,ActualClass,Year
1,250,19160224.0,505608.25,10644.568888888889,G1,1394
3,250,10.6882604909934,0.2758108,0.005937922494996334,G1,1404
4,250,26720373.333333336,813967.3333333334,14844.651851851853,G2,1394
5,250,10.7961791043169,0.4592593,0.0059978772801760555,G2,1404
6,250,10.0115683642164,0.4886017,0.0055619824245646664,G2,1404
7,250,9.591469939711699,0.4327624,0.005328594410950944,G2,1404
8,250,11.4972780287734,0.7670046,0.006387376682651888,G2,1404
9,250,21602961.0,872195.0,12001.645,G3,1394
10,250,22596050.333333336,679588.6666666666,12553.361296296298,G3,1394
11,250,9.32016802800596,0.268072,0.005177871126669977,G3,1404
12,250,10.6248168490873,0.5977504,0.005902676027270722,G3,1404
13,250,26285673.333333336,714902.6666666666,14603.151851851853,G4,1394
14,250,10.247057372213899,0.3106337,0.005692809651229943,G4,1404
15,250,11.148306570484202,0.3089348,0.006193503650269001,G4,1404
16,250,10.157779340176699,0.2675315,0.005643210744542611,G4,1404
17,250,11.825188195654999,0.3420804,0.006569548997586111,G4,1404
18,250,10.930379784629,0.2967176,0.0060724332136827775,G4,1404
19,250,11.224979509661,0.3240433,0.006236099727589445,G4,1404
20,250,16810152.333333336,414465.0,9338.97351851852,G5,1394
21,250,13.07167365504868,0.363888,0.007262040919471489,G5,1404
22,250,11.0267406200315,0.3765453,0.0061259670111286114,G5,1404
23,250,8.452356077289,0.4139333,0.004695753376271667,G5,1404
24,250,26737263.0,901053.3333333334,14854.035,G6,1394
26,250,18826581.333333336,532961.6666666666,10459.211851851853,G6,1394
27,250,26418009.666666668,837510.3333333334,14676.672037037039,G6,1394
28,250,17729749.000000004,439081.0,9849.860555555557,G6,1394
30,250,11.736767900205201,0.7536231,0.0065204266112251115,G6,1404
31,250,10.005526232836992,0.306607,0.00555862568490944,G6,1404
32,250,11.60810201087293,0.7048871,0.006448945561596072,G6,1404
33,250,11.9794965433356,0.6448592,0.006655275857408666,G6,1404
34,250,26227029.666666664,892055.6666666666,14570.572037037036,G7,1394
36,250,28534675.66666667,971844.3333333334,15852.597592592596,G7,1394
37,250,26697808.333333336,918650.3333333334,14832.115740740743,G8,1394
38,250,11.160850938164543,0.3500299,0.0062004727434247465,G8,1404
39,250,23004744.666666664,648296.3333333334,12780.413703703702,G9,1394
40,250,25324003.0,922391.0,14068.890555555556,G9,1394
41,250,9.9276825649326,0.4024845,0.005515379202740333,G10,1404
42,250,11.24286335698712,0.5480539,0.006246035198326178,G10,1404
43,250,9.0974596065138,0.3548979,0.0050541442258409995,G11,1404
44,250,9.4691084656268,0.4310553,0.005260615814237111,G11,1404
1,308,20728204.333333332,336597.3333333333,11515.669074074074,G1,1394
3,308,16.6929237742932,0.5844144,0.009273846541274,G1,1404
4,308,18778640.666666664,421523.0,10432.578148148146,G2,1394
5,308,22.6545826966801,0.4965814,0.01258587927593339,G2,1404
6,308,22.776191753667998,0.5390136,0.012653439863148888,G2,1404
7,308,25.444904010956037,0.4534879,0.014136057783864465,G2,1404
8,308,14.447358429486599,0.655428,0.008026310238603666,G2,1404
9,308,25322630.0,254629.66666666666,14068.127777777778,G3,1394
10,308,23904884.0,203235.66666666666,13280.49111111111,G3,1394
11,308,15.843794179465002,0.4796709,0.008802107877480557,G3,1404
12,308,18.9700141094349,0.4909619,0.010538896727463833,G3,1404
13,308,30994286.5,279481.5,17219.048055555555,G4,1394
14,308,14.201595922353938,0.6273931,0.007889775512418854,G4,1404
15,308,17.4939978268534,0.5960184,0.009718887681585221,G4,1404
16,308,16.7882672372501,0.5323046,0.00932681513180561,G4,1404
17,308,18.8888136902703,0.5229509,0.0104937853834835,G4,1404
18,308,16.2711465446728,0.2962607,0.009039525858151555,G4,1404
19,308,17.6515471788252,0.6002464,0.009806415099347333,G4,1404
20,308,18249542.0,146788.5,10138.634444444444,G5,1394
