SampleId,ActualYear,Normalization,Modality,OwnYearSimilarity,OtherYearSimilarity,SimilarityGap,OwnYearWin
1,1394,Raw,250 nm,0.9621498581763817,0.013777692557747469,0.9483721656186341,True
3,1404,Raw,250 nm,0.7582794940290867,0.0237503848950495,0.7345291091340371,True
4,1394,Raw,250 nm,0.9959380381535108,0.002594876499567124,0.9933431616539437,True
5,1404,Raw,250 nm,0.9337367655369889,0.005155992570934616,0.9285807729660543,True
6,1404,Raw,250 nm,0.9453256749418015,0.0064297575075442275,0.9388959174342573,True
7,1404,Raw,250 nm,0.910977939069283,0.013358054014870497,0.8976198850544126,True
8,1404,Raw,250 nm,0.9178628787233483,0.0027701109525182883,0.9150927677708299,True
9,1394,Raw,250 nm,0.9692053513515434,0.00430699231369146,0.9648983590378519,True
10,1394,Raw,250 nm,0.9533062710082089,0.015009080868617049,0.9382971901395918,True
11,1404,Raw,250 nm,0.9397686098156437,0.01640132048155701,0.9233672893340867,True
12,1404,Raw,250 nm,0.7496166510313939,0.001917191502653902,0.74769945952874,True
13,1394,Raw,250 nm,0.9811106833707961,0.02467968892546408,0.956430994445332,True
14,1404,Raw,250 nm,0.8363528412714119,0.021243309197405014,0.8151095320740068,True
15,1404,Raw,250 nm,0.7937757829734416,0.021638287176840704,0.772137495796601,True
16,1404,Raw,250 nm,0.8063964373114326,0.02304851492066103,0.7833479223907716,True
17,1404,Raw,250 nm,0.711274926538696,0.01969269055232783,0.6915822359863681,True
18,1404,Raw,250 nm,0.930775697792501,0.013252733359796345,0.9175229644327046,True
19,1404,Raw,250 nm,0.9364647024036801,0.015152452005789336,0.9213122503978908,True
20,1394,Raw,250 nm,0.9681847300881663,0.017949435870762313,0.9502352942174039,True
21,1404,Raw,250 nm,0.3212238986091068,0.04179357327138665,0.2794303253377201,True
22,1404,Raw,250 nm,0.9355543566170483,0.0154146597507782,0.9201396968662702,True
23,1404,Raw,250 nm,0.9435006088202621,0.005461911399314925,0.9380386974209471,True
24,1394,Raw,250 nm,0.9415231968848432,0.00819203067265937,0.9333311662121838,True
26,1394,Raw,250 nm,0.7180722623711889,0.021097477667058353,0.6969747847041305,True
27,1394,Raw,250 nm,0.9472633379213978,0.009635316581471945,0.9376280213399258,True
28,1394,Raw,250 nm,0.9548471452991285,0.01672299558911962,0.9381241497100089,True
30,1404,Raw,250 nm,0.9200410363498293,0.0022923501786483876,0.9177486861711809,True
31,1404,Raw,250 nm,0.9363878539575178,0.0181043424794595,0.9182835114780583,True
32,1404,Raw,250 nm,0.9255991974646244,0.003903718738375304,0.9216954787262491,True
33,1404,Raw,250 nm,0.8405879203583231,0.0021552307371655818,0.8384326896211575,True
34,1394,Raw,250 nm,0.9027750388011108,0.01190187971430373,0.8908731590868071,True
36,1394,Raw,250 nm,0.99541909395948,0.007394367988769778,0.9880247259707102,True
37,1394,Raw,250 nm,0.9106085469194365,0.003896918345892811,0.9067116285735437,True
38,1404,Raw,250 nm,0.8872289650487651,0.008784543705416792,0.8784444213433483,True
39,1394,Raw,250 nm,0.9792963088733847,0.02140998894721567,0.957886319926169,True
40,1394,Raw,250 nm,0.9886464063997247,0.012413246775732979,0.9762331596239917,True
41,1404,Raw,250 nm,0.9057637471239187,0.0056819800193708995,0.9000817671045478,True
42,1404,Raw,250 nm,0.9293955036891093,0.004412773161749477,0.9249827305273598,True
43,1404,Raw,250 nm,0.9359717727505069,0.002621981538014493,0.9333497912124924,True
44,1404,Raw,250 nm,0.9454145434845368,0.0021441893993308517,0.943270354085206,True
1,1394,Raw,308 nm,0.8108264349534146,0.1692295921552502,0.6415968427981643,True
3,1404,Raw,308 nm,0.813329490066808,0.2601232935756401,0.5532061964911679,True
4,1394,Raw,308 nm,0.7640211854452014,0.27674527905717144,0.4872759063880299,True
5,1404,Raw,308 nm,0.9554650000149699,0.24761044553402317,0.7078545544809467,True
6,1404,Raw,308 nm,0.8805387561602073,0.2644478882303019,0.6160908679299053,True
7,1404,Raw,308 nm,0.9374474875569534,0.409567769859094,0.5278797176978594,True
8,1404,Raw,308 nm,0.8848819154192614,0.2360620161012621,0.6488198993179993,True
9,1394,Raw,308 nm,0.7183690269695081,0.27606642688358224,0.44230260008592587,True
10,1394,Raw,308 nm,0.8738106670465714,0.2923503390610098,0.5814603279855616,True
11,1404,Raw,308 nm,0.9456236538329509,0.24140366252705062,0.7042199913059003,True
12,1404,Raw,308 nm,0.6744759564248585,0.22729236857371676,0.4471835878511417,True
13,1394,Raw,308 nm,0.8550688575494254,0.2450302015854744,0.610038655963951,True
14,1404,Raw,308 nm,0.7934677505200339,0.30061197587362776,0.4928557746464062,True
