Normalization,Modality,Samples,Years,YearSilhouette,YearA,YearB,CentroidSimilarity,CorrelationDistance,CentroidEuclideanDistance
Raw,250 nm,40,2,0.7904484742313863,1394,1404,0.012391590202525777,0.9876084097974742,2300676.9401496975
Raw,308 nm,40,2,0.621300715475943,1394,1404,0.2994258872555101,0.7005741127444899,863488.4704191479
Raw,440 nm,40,2,0.8336278285355437,1394,1404,0.028934506073446022,0.971065493926554,7200919.409862903
Raw,Combined,40,2,0.8213095260509238,1394,1404,0.040503489094630335,0.9594965109053697,7608677.090587014
AreaNormalized,250 nm,40,2,0.5705762086864586,1394,1404,0.012648547177249914,0.98735145282275,0.135927110862082
AreaNormalized,308 nm,40,2,0.39276537679668755,1394,1404,0.2839752821864376,0.7160247178135624,0.07073370541002777
AreaNormalized,440 nm,40,2,0.563075987567925,1394,1404,0.028341394127736372,0.9716586058722636,0.18975723316277743
AreaNormalized,Combined,40,2,0.544482868439627,1394,1404,0.04648414702414928,0.9535158529758507,0.24390006987686166
MaxNormalized,250 nm,40,2,0.5996911807906099,1394,1404,0.016177269521386255,0.9838227304786138,3.946199341598205
MaxNormalized,308 nm,40,2,0.42971357377785163,1394,1404,0.3007031007026808,0.6992968992973192,3.329728420643166
MaxNormalized,440 nm,40,2,0.6082497172178538,1394,1404,0.02892125172201112,0.9710787482779889,3.658946864466935
MaxNormalized,Combined,40,2,0.5252117489028242,1394,1404,0.12312281240878131,0.8768771875912187,6.328307258332307
SNV,250 nm,40,2,0.6051596801099288,1394,1404,0.014825576286241746,0.9851744237137583,53.94302417816346
SNV,308 nm,40,2,0.4096489771624038,1394,1404,0.29111755041294457,0.7088824495870554,40.088133681865855
SNV,440 nm,40,2,0.5905099308851838,1394,1404,0.028452911188227705,0.9715470888117723,53.10958684417092
SNV,Combined,40,2,0.5349624206595468,1394,1404,0.09473579771363898,0.9052642022863611,85.65942174880479
AsLS+SNV,250 nm,40,2,0.6017842748962385,1394,1404,-0.02747629257241871,1.0274762925724188,54.738622712785755
AsLS+SNV,308 nm,40,2,0.3912131152138879,1394,1404,0.1645852327722028,0.8354147672277972,40.464312943737596
AsLS+SNV,440 nm,40,2,0.5882328792977324,1394,1404,-0.0005731633217706164,1.0005731633217707,53.666301815153666
AsLS+SNV,Combined,40,2,0.5193210313128477,1394,1404,0.027871298729096352,0.9721287012709037,86.68188616439191
