Rank,Model,Configuration,AccuracyMean,AccuracyStd,BalancedAccuracyMean,BalancedAccuracyStd,F1MacroMean,F1MacroStd
1,Tree Models,10,0.2326839826839826,0.0076526707920622,0.156060606060606,0.036426712970216,0.1444444444444444,0.0671394317490257
2,Tree Models,30,0.2305194805194805,0.1239732668314076,0.1227272727272727,0.0964236519799837,0.1011077158135981,0.0976120667382804
3,Tree Models,50,0.2099567099567099,0.0397938881187234,0.106060606060606,0.0342839651484386,0.0806526806526806,0.0173617515815811
4,Normalization + SVM,L1,0.2564935064935065,0.0413244222771358,0.106060606060606,0.0214274782177741,0.0583916083916083,0.0331301778597892
5,PLS-DA,5.0,0.1861471861471861,0.0061221366336497,0.103030303030303,0.0085709912871096,0.0718614718614718,0.0159175552474893
6,Tree Models,20,0.185064935064935,0.0596908321780851,0.1022727272727272,0.0674965563859886,0.082070707070707,0.073210550577395
7,Normalization + SVM,L2,0.2337662337662337,0.0734656396037971,0.0969696969696969,0.0342839651484386,0.0554545454545454,0.037283812098927
8,PLS-DA,2.0,0.1612554112554112,0.0933625836631588,0.084090909090909,0.0289270955939951,0.0538911845730027,0.0367676046691352
9,Normalization + SVM,Raw,0.2099567099567099,0.0397938881187234,0.0818181818181818,0.0128564869306645,0.032027972027972,0.0041536342391377
10,PCA + SVM,PCA 95%,0.2099567099567099,0.0397938881187234,0.08181818181818179,0.012856486930664515,0.032027972027971946,0.004153634239137778
11,Tree Models,10,0.1396103896103896,0.0045916024752373,0.0727272727272727,0.0128564869306645,0.0614718614718614,0.0012244273267299
12,PLS-DA,3.0,0.1634199134199134,0.038263353960311,0.0719696969696969,0.018213356485108,0.0501336898395722,0.0066173094496067
13,Tree Models,30,0.0454545454545454,0.0642824346533225,0.0545454545454545,0.077138921583987,0.03099173553719,0.0438289327181744
14,Tree Models,20,0.0681818181818181,0.0964236519799837,0.0318181818181818,0.0449977042573257,0.0284664830119375,0.0402576863485454
15,Tree Models,50,0.0454545454545454,0.0642824346533225,0.0204545454545454,0.0289270955939951,0.0214646464646464,0.0303555941418467
