SampleId,OriginalSampleName,Group,HarvestYear
1,94-1,G1,1394
2,94-2,G1,1394
3,04-10,G1,1404
4,94-5,G2,1394
5,04-27,G2,1404
6,04-19,G2,1404
7,04-20,G2,1404
8,04-21,G2,1404
9,94-7,G3,1394
10,94-8,G3,1394
11,04-13,G3,1404
12,04-22,G3,1404
13,94-9,G4,1394
14,04-4,G4,1404
15,04-5,G4,1404
16,04-6,G4,1404
17,04-7,G4,1404
18,04-14,G4,1404
19,04-15,G4,1404
20,94-13,G5,1394
21,04-3,G5,1404
22,04-12,G5,1404
23,04-23,G5,1404
24,94-21,G6,1394
25,94-22,G6,1394
26,94-25,G6,1394
27,94-26,G6,1394
28,94-27,G6,1394
29,94-28,G6,1394
30,04-1,G6,1404
31,04-11,G6,1404
32,04-16,G6,1404
33,04-18,G6,1404
34,94-30,G7,1394
36,94-32,G7,1394
37,94-33,G8,1394
38,04-2,G8,1404
39,94-35,G9,1394
40,94-36,G9,1394
41,04-8,G10,1404
42,04-9,G10,1404
43,04-24,G11,1404
44,04-25,G11,1404
