SampleId_1404,Region_1404,RegionLabel_1404,OriginalSampleName_1404,NearestSampleId_1394,NearestRegion_1394,NearestRegionLabel_1394,NearestOriginalSampleName_1394,NearestDistance,SameRegion
3,G1,سمنان,04-10,10,G3,زنجان,94-8,1786.0031971246067,False
5,G2,اصفهان,04-27,27,G6,خراسان رضوی,94-26,691.0894308346774,False
6,G2,اصفهان,04-19,39,G9,یزد,94-35,419.6826458759468,False
7,G2,اصفهان,04-20,40,G9,یزد,94-36,1588.0057535944852,False
8,G2,اصفهان,04-21,13,G4,اراک,94-9,388.9735278648249,False
11,G3,زنجان,04-13,25,G6,خراسان رضوی,94-22,637.556917088529,False
12,G3,زنجان,04-22,27,G6,خراسان رضوی,94-26,559.6350853978764,False
14,G4,اراک,04-4,10,G3,زنجان,94-8,1426.670068334955,False
15,G4,اراک,04-5,25,G6,خراسان رضوی,94-22,721.5399713829868,False
16,G4,اراک,04-6,25,G6,خراسان رضوی,94-22,546.5721354984292,False
17,G4,اراک,04-7,40,G9,یزد,94-36,651.7833971092745,False
18,G4,اراک,04-14,1,G1,سمنان,94-1,662.2592305146065,False
19,G4,اراک,04-15,27,G6,خراسان رضوی,94-26,676.8649192481985,False
21,G5,خراسان شمالی,04-3,13,G4,اراک,94-9,1856.6604029063392,False
22,G5,خراسان شمالی,04-12,13,G4,اراک,94-9,393.35102114916236,False
23,G5,خراسان شمالی,04-23,34,G7,فارس,94-30,883.3133159029694,False
30,G6,خراسان رضوی,04-1,27,G6,خراسان رضوی,94-26,866.6425473467416,True
31,G6,خراسان رضوی,04-11,10,G3,زنجان,94-8,1243.851807290122,False
32,G6,خراسان رضوی,04-16,13,G4,اراک,94-9,749.8269635034804,False
33,G6,خراسان رضوی,04-18,37,G8,قم,94-33,623.5048465764315,False
38,G8,قم,04-2,10,G3,زنجان,94-8,748.4650479090093,False
41,G10,قزوین,04-8,1,G1,سمنان,94-1,724.7941141655408,False
42,G10,قزوین,04-9,40,G9,یزد,94-36,599.1340760608069,False
43,G11,لرستان,04-24,40,G9,یزد,94-36,665.9543473618243,False
44,G11,لرستان,04-25,1,G1,سمنان,94-1,771.92467663952,False
