SampleId_1404,Region_1404,Group_1404,OriginalSampleName_1404,SampleId_1394,Region_1394,Group_1394,OriginalSampleName_1394,Distance,SameRegion
3,سمنان,G1,04-10,1,سمنان,G1,94-1,2251.3770962589997,True
3,سمنان,G1,04-10,2,سمنان,G1,94-2,2202.6964904652427,True
3,سمنان,G1,04-10,4,اصفهان,G2,94-5,2028.521546793427,False
3,سمنان,G1,04-10,9,زنجان,G3,94-7,1918.8005077915554,False
3,سمنان,G1,04-10,10,زنجان,G3,94-8,1786.0031971246067,False
3,سمنان,G1,04-10,13,اراک,G4,94-9,1841.7092593234408,False
3,سمنان,G1,04-10,20,خراسان شمالی,G5,94-13,3199.1492286087255,False
3,سمنان,G1,04-10,24,خراسان رضوی,G6,94-21,2430.0961426533704,False
3,سمنان,G1,04-10,25,خراسان رضوی,G6,94-22,1995.020155738774,False
3,سمنان,G1,04-10,26,خراسان رضوی,G6,94-25,2034.710407541226,False
3,سمنان,G1,04-10,27,خراسان رضوی,G6,94-26,2199.859978242797,False
3,سمنان,G1,04-10,28,خراسان رضوی,G6,94-27,2211.263598655281,False
3,سمنان,G1,04-10,29,خراسان رضوی,G6,94-28,2307.222465100084,False
3,سمنان,G1,04-10,34,فارس,G7,94-30,2222.1245176410944,False
3,سمنان,G1,04-10,36,فارس,G7,94-32,2421.2426126900896,False
3,سمنان,G1,04-10,37,قم,G8,94-33,2001.6141255313464,False
3,سمنان,G1,04-10,39,یزد,G9,94-35,2127.844105660506,False
3,سمنان,G1,04-10,40,یزد,G9,94-36,2834.7434795789973,False
5,اصفهان,G2,04-27,1,سمنان,G1,94-1,709.1545818905229,False
5,اصفهان,G2,04-27,2,سمنان,G1,94-2,776.2157950098753,False
5,اصفهان,G2,04-27,4,اصفهان,G2,94-5,907.4533724845511,True
5,اصفهان,G2,04-27,9,زنجان,G3,94-7,1009.7410518459853,False
5,اصفهان,G2,04-27,10,زنجان,G3,94-8,1455.1281237899536,False
5,اصفهان,G2,04-27,13,اراک,G4,94-9,958.9959222313404,False
5,اصفهان,G2,04-27,20,خراسان شمالی,G5,94-13,1947.9547439152886,False
5,اصفهان,G2,04-27,24,خراسان رضوی,G6,94-21,1468.9316000291794,False
5,اصفهان,G2,04-27,25,خراسان رضوی,G6,94-22,935.6147537337454,False
5,اصفهان,G2,04-27,26,خراسان رضوی,G6,94-25,1442.6903185318843,False
5,اصفهان,G2,04-27,27,خراسان رضوی,G6,94-26,691.0894308346774,False
5,اصفهان,G2,04-27,28,خراسان رضوی,G6,94-27,1541.9208656993721,False
5,اصفهان,G2,04-27,29,خراسان رضوی,G6,94-28,760.319377003621,False
5,اصفهان,G2,04-27,34,فارس,G7,94-30,1434.5349463703512,False
5,اصفهان,G2,04-27,36,فارس,G7,94-32,990.8826614776171,False
5,اصفهان,G2,04-27,37,قم,G8,94-33,902.646583191516,False
5,اصفهان,G2,04-27,39,یزد,G9,94-35,1165.6539993608005,False
5,اصفهان,G2,04-27,40,یزد,G9,94-36,865.4408291559251,False
6,اصفهان,G2,04-19,1,سمنان,G1,94-1,1118.8154662228658,False
6,اصفهان,G2,04-19,2,سمنان,G1,94-2,932.8624970593647,False
6,اصفهان,G2,04-19,4,اصفهان,G2,94-5,1343.2849046415688,True
6,اصفهان,G2,04-19,9,زنجان,G3,94-7,1425.2849248504372,False
6,اصفهان,G2,04-19,10,زنجان,G3,94-8,1284.608101652078,False
6,اصفهان,G2,04-19,13,اراک,G4,94-9,1209.495586212503,False
6,اصفهان,G2,04-19,20,خراسان شمالی,G5,94-13,1633.787416019457,False
6,اصفهان,G2,04-19,24,خراسان رضوی,G6,94-21,561.8484507170031,False
6,اصفهان,G2,04-19,25,خراسان رضوی,G6,94-22,939.3307908091143,False
6,اصفهان,G2,04-19,26,خراسان رضوی,G6,94-25,1177.3681001976745,False
6,اصفهان,G2,04-19,27,خراسان رضوی,G6,94-26,782.6726476697152,False
6,اصفهان,G2,04-19,28,خراسان رضوی,G6,94-27,827.4193712218093,False
6,اصفهان,G2,04-19,29,خراسان رضوی,G6,94-28,950.4098561670063,False
6,اصفهان,G2,04-19,34,فارس,G7,94-30,647.7284859959811,False
6,اصفهان,G2,04-19,36,فارس,G7,94-32,1368.5029847463397,False
6,اصفهان,G2,04-19,37,قم,G8,94-33,1241.4935620545057,False
6,اصفهان,G2,04-19,39,یزد,G9,94-35,419.6826458759468,False
6,اصفهان,G2,04-19,40,یزد,G9,94-36,1111.0645709520552,False
7,اصفهان,G2,04-20,1,سمنان,G1,94-1,2163.4972599709336,False
7,اصفهان,G2,04-20,2,سمنان,G1,94-2,2152.3932768620007,False
7,اصفهان,G2,04-20,4,اصفهان,G2,94-5,2567.0396372065616,True
7,اصفهان,G2,04-20,9,زنجان,G3,94-7,2567.179112882741,False
7,اصفهان,G2,04-20,10,زنجان,G3,94-8,2950.3605183294544,False
7,اصفهان,G2,04-20,13,اراک,G4,94-9,2568.7277831269976,False
7,اصفهان,G2,04-20,20,خراسان شمالی,G5,94-13,2405.4164576311096,False
