Region,RegionLabel,Model,TopK,Samples,PositiveSamples,NegativeSamples,AccuracyMean,AccuracyStd,BalancedAccuracyMean,BalancedAccuracyStd,MacroF1Mean,MacroF1Std
G4,اراک,SVM,20,43,7,36,0.78984126984127,0.10205284678996589,0.5805555555555555,0.15472032197874208,0.5704584827410913,0.16204071863077785
G4,اراک,SVM,30,43,7,36,0.7780952380952382,0.09585677537642145,0.576388888888889,0.152439978347948,0.561264524525394,0.15111178044577817
G4,اراک,SVM,50,43,7,36,0.7758730158730159,0.10873876809210527,0.575,0.1707123906062867,0.5651126562648301,0.171926925644816
G4,اراک,SVM,10,43,7,36,0.7798412698412699,0.09228325317570588,0.5652777777777778,0.14253592901449635,0.5516382273121404,0.14334072509610343
G4,اراک,XGBoost,20,43,7,36,0.8380952380952382,0.05628807865693827,0.55,0.12350640233455316,0.5254729344729345,0.14826136542706128
G4,اراک,XGBoost,30,43,7,36,0.8334920634920636,0.050013421192434494,0.5444444444444445,0.09721538016427911,0.523940170940171,0.13005910700523804
G4,اراک,XGBoost,50,43,7,36,0.8355555555555557,0.05099269975047051,0.5347222222222222,0.09544419578110239,0.5126908831908832,0.12940439405421178
G4,اراک,XGBoost,10,43,7,36,0.8215873015873016,0.048428802045026406,0.5263888888888889,0.09121055105218877,0.5022678062678063,0.11620240585969847
G2,اصفهان,XGBoost,50,43,5,38,0.8793650793650795,0.04832535841951666,0.5128205128205129,0.09439145252763523,0.4842253425586759,0.09822050063360722
G2,اصفهان,XGBoost,30,43,5,38,0.876984126984127,0.03948775401207552,0.5115384615384616,0.0937497874581009,0.48367358567358565,0.09793869306106032
G6,خراسان رضوی,XGBoost,50,43,10,33,0.7038095238095239,0.08457923897720372,0.5113636363636364,0.09410210232312556,0.49296948220861275,0.1096499557285325
G2,اصفهان,XGBoost,20,43,5,38,0.8722222222222222,0.04934607701538915,0.508974358974359,0.09618478724105041,0.4821778591778591,0.09862861162454437
G6,خراسان رضوی,XGBoost,20,43,10,33,0.6833333333333335,0.09109845644635842,0.5071969696969697,0.10236387632962525,0.49045693453931444,0.113318582903417
G6,خراسان رضوی,XGBoost,30,43,10,33,0.6973015873015874,0.0842669571155337,0.5055555555555556,0.0867982367643909,0.4857570931483976,0.10115885517517757
G6,خراسان رضوی,SVM,50,43,10,33,0.6366666666666667,0.11300700905566544,0.501010101010101,0.09653100327112146,0.48571025334526485,0.10246593036983473
G6,خراسان رضوی,XGBoost,10,43,10,33,0.6838095238095239,0.08918006886153834,0.5005050505050505,0.09463024469147856,0.4827381178445252,0.10846776594442142
G6,خراسان رضوی,SVM,20,43,10,33,0.6106349206349206,0.11329402343842236,0.49633838383838386,0.09367253263341783,0.47981516361076193,0.09937587052968609
G2,اصفهان,SVM,10,43,5,38,0.8185714285714286,0.07297558442037333,0.4928418803418804,0.11928424536553361,0.47959584564657026,0.10456312671572586
G2,اصفهان,XGBoost,10,43,5,38,0.8650793650793651,0.049286619909234046,0.4897435897435898,0.03018904818326542,0.4634513634513634,0.014831232633499428
G6,خراسان رضوی,SVM,30,43,10,33,0.6038095238095238,0.11606038640584217,0.48510101010101014,0.12236962564283638,0.4712016504606355,0.11702381175813668
G6,خراسان رضوی,SVM,10,43,10,33,0.5784126984126984,0.1253144193766372,0.4696969696969697,0.10302703756580671,0.45365739856953347,0.10145299843270619
G2,اصفهان,SVM,20,43,5,38,0.8207936507936509,0.06582251544494552,0.46474358974358976,0.039881324893590045,0.4500879120879121,0.020073432959759503
G2,اصفهان,SVM,30,43,5,38,0.8207936507936509,0.07096712835721386,0.46474358974358976,0.04277830848456555,0.4499604501778415,0.022013105901114122
G2,اصفهان,SVM,50,43,5,38,0.8161904761904761,0.08165540382010056,0.4622863247863248,0.049515633021321226,0.44827532692750083,0.0258368895818046
