PC,ExplainedVarianceRatio,ExplainedVariancePercent,CumulativeVarianceRatio,CumulativeVariancePercent
1,0.5024890004106226,50.248900041062264,0.5024890004106226,50.248900041062264
2,0.23057652505168832,23.057652505168832,0.733065525462311,73.3065525462311
3,0.091328783247334,9.132878324733399,0.8243943087096449,82.43943087096449
4,0.05329571271470256,5.3295712714702566,0.8776900214243475,87.76900214243474
5,0.02707981941351274,2.707981941351274,0.9047698408378603,90.47698408378602
6,0.025233060411024216,2.5233060411024217,0.9300029012488845,93.00029012488845
7,0.015322178271037564,1.5322178271037565,0.9453250795199221,94.5325079519922
8,0.00982155570805596,0.982155570805596,0.955146635227978,95.5146635227978
9,0.009206883307493453,0.9206883307493453,0.9643535185354715,96.43535185354715
10,0.00716285164541584,0.716285164541584,0.9715163701808873,97.15163701808873
11,0.0057666115321907034,0.5766611532190703,0.977282981713078,97.7282981713078
12,0.004399342118072247,0.4399342118072247,0.9816823238311503,98.16823238311503
13,0.0031593564263882935,0.31593564263882934,0.9848416802575386,98.48416802575386
14,0.002684025422481662,0.26840254224816623,0.9875257056800203,98.75257056800203
15,0.002223033809826755,0.2223033809826755,0.9897487394898471,98.97487394898471
16,0.0018652050210695667,0.18652050210695667,0.9916139445109167,99.16139445109167
17,0.0012861521889785514,0.12861521889785513,0.9929000966998952,99.29000966998952
18,0.0010119933121729389,0.10119933121729388,0.9939120900120682,99.39120900120682
19,0.0009420351885996646,0.09420351885996646,0.9948541252006678,99.48541252006679
20,0.0007052950531862036,0.07052950531862036,0.995559420253854,99.5559420253854
21,0.0006164504998566727,0.06164504998566727,0.9961758707537107,99.61758707537108
22,0.0005786993509777975,0.057869935097779754,0.9967545701046885,99.67545701046885
23,0.0004886257835451889,0.04886257835451889,0.9972431958882336,99.72431958882336
24,0.00042903433384722033,0.04290343338472204,0.9976722302220808,99.76722302220809
25,0.0003025898379270493,0.03025898379270493,0.9979748200600079,99.79748200600079
26,0.00028646426358177517,0.028646426358177518,0.9982612843235897,99.82612843235897
27,0.0002601980039526158,0.02601980039526158,0.9985214823275423,99.85214823275423
28,0.000227423357977486,0.0227423357977486,0.9987489056855199,99.87489056855199
29,0.00017669378482351332,0.017669378482351332,0.9989255994703434,99.89255994703434
30,0.0001723134790310846,0.01723134790310846,0.9990979129493746,99.90979129493745
31,0.0001318761985347166,0.013187619853471659,0.9992297891479093,99.92297891479093
32,0.0001223172577703878,0.012231725777038781,0.9993521064056796,99.93521064056796
33,0.00010348971627469636,0.010348971627469635,0.9994555961219543,99.94555961219544
34,8.860740585065144e-05,0.008860740585065145,0.999544203527805,99.9544203527805
35,7.887443139961353e-05,0.007887443139961352,0.9996230779592047,99.96230779592047
36,7.417604755342851e-05,0.007417604755342851,0.9996972540067581,99.96972540067581
37,6.323942147538893e-05,0.0063239421475388925,0.9997604934282335,99.97604934282334
38,5.3401519022704216e-05,0.005340151902270421,0.9998138949472561,99.98138949472562
39,5.243668826065772e-05,0.005243668826065772,0.9998663316355167,99.98663316355167
40,4.923301551048821e-05,0.004923301551048821,0.9999155646510273,99.99155646510273
41,4.667158486673014e-05,0.004667158486673014,0.999962236235894,99.9962236235894
42,3.776376410623599e-05,0.003776376410623599,1.0000000000000002,100.00000000000003
43,4.281888386337616e-31,4.2818883863376164e-29,1.0000000000000002,100.00000000000003
