number,name,class,subclass,known_artificial_color,unknown_adulteration,saffron,adulterated,artificial_color_percent,color_evidence_score,distance_to_real,distance_to_color,distance_margin,cosine_to_real,cosine_to_color,cosine_margin,loo_color_score,decision,status,reason,confidence,score,threshold,above_threshold,display_score
1,sunset yellow(127),pure_artificial_color,sunset_yellow_127,True,False,False,False,100.0,0.645412166860633,85.91536399837781,54.75644375209457,31.158920246283245,-0.060422671088373,0.3801057367233298,0.4405284078117028,0.5889970277304348,artificial_color_detected,positive,Artificial-color evidence is above the exploratory threshold.,medium,0.645412166860633,-1.1095087112756172,True,0.6454
2,orange 2,pure_artificial_color,orange_2,True,False,False,False,100.0,0.1487588032543289,71.21080210467656,60.86064157281805,10.350160531858506,0.2715062471768214,0.1341701532076368,-0.1373360939691846,0.0002918847542648,artificial_color_detected,positive,Artificial-color evidence is above the exploratory threshold.,medium,0.1487588032543289,-1.1095087112756172,True,0.1488
3,Amuranth,pure_artificial_color,amaranth,True,False,False,False,100.0,0.76279432806375,89.19233900776756,53.23651448602163,35.955824521745924,-0.1428598018487264,0.4373048858995467,0.5801646877482731,0.7313087836382265,artificial_color_detected,positive,Artificial-color evidence is above the exploratory threshold.,medium,0.76279432806375,-1.1095087112756172,True,0.7628
4,Azorubin,pure_artificial_color,azorubin,True,False,False,False,100.0,0.602613550641677,82.45459934755817,53.54957272088627,28.905026626671905,0.0232880668815295,0.4256552980867289,0.4023672312051994,0.5447452829193724,artificial_color_detected,positive,Artificial-color evidence is above the exploratory threshold.,medium,0.602613550641677,-1.1095087112756172,True,0.6026
5,Quinoline yellow,pure_artificial_color,quinoline_yellow,True,False,False,False,100.0,0.9376129375692718,93.0942845023895,50.17475482180853,42.91952968058097,-0.2450432341147739,0.5476389764769083,0.7926822105916822,0.9502626921641124,artificial_color_detected,positive,Artificial-color evidence is above the exploratory threshold.,high,0.9376129375692718,-1.1095087112756172,True,0.9376
6,Ponceau 4R (96),pure_artificial_color,ponceau_4r_96,True,False,False,False,100.0,0.6658486202165048,88.34883695498888,55.96227869355845,32.38655826143043,-0.1213453778604633,0.3335814542688412,0.4549268321293045,0.6081644648695749,artificial_color_detected,positive,Artificial-color evidence is above the exploratory threshold.,medium,0.6658486202165048,-1.1095087112756172,True,0.6658
7,Erythrosin,pure_artificial_color,erythrosin,True,False,False,False,100.0,0.8505681559024145,88.66389522936046,49.60512437658483,39.05877085277563,-0.1293573583402184,0.5674454391793835,0.696802797519602,0.853251865199097,artificial_color_detected,positive,Artificial-color evidence is above the exploratory threshold.,medium,0.8505681559024145,-1.1095087112756172,True,0.8506
8,Orange GG,pure_artificial_color,orange_gg,True,False,False,False,100.0,0.6596969916782127,83.10395648110355,52.01877112409428,31.085185357009276,0.0078433577983011,0.4819702047306787,0.4741268469323776,0.6183213834051736,artificial_color_detected,positive,Artificial-color evidence is above the exploratory threshold.,medium,0.6596969916782127,-1.1095087112756172,True,0.6597
9,Tartarazin,pure_artificial_color,tartrazine,True,False,False,False,100.0,0.7260847458682176,89.45085031974533,54.74279145053293,34.7080588692124,-0.1494943370467568,0.3806266767310068,0.5301210137777637,0.6822958404399477,artificial_color_detected,positive,Artificial-color evidence is above the exploratory threshold.,medium,0.7260847458682176,-1.1095087112756172,True,0.7261
10,saffron + sunset yellow(127),saffron_plus_artificial_color,sunset_yellow_127_5_percent,True,False,True,True,5.0,0.0,63.16618321883172,60.446306584013904,2.7198766348178154,0.4268074627298679,0.1516850684303253,-0.2751223942995425,0.0708345413537992,artificial_color_detected,positive,Artificial-color evidence is above the exploratory threshold.,medium,0.0,-1.1095087112756172,True,0.0
11,saffron + orange GG,saffron_plus_artificial_color,orange_gg_5_percent,True,False,True,True,5.0,-0.2732507605941987,52.03414702081903,62.52670367501307,-10.49255665419404,0.6110427521840525,0.0625339500579343,-0.5485088021261182,-0.2443302715957196,artificial_color_detected,positive,Artificial-color evidence is above the exploratory threshold.,medium,-0.2732507605941987,-1.1095087112756172,True,-0.2733
12,saffron + Quinoline yellow,saffron_plus_artificial_color,quinoline_yellow_5_percent,True,False,True,True,5.0,0.233765725507866,70.29240401890924,57.38918233490799,12.903221684001252,0.2901761362234468,0.2772186591836722,-0.0129574770397746,0.3410924817725605,artificial_color_detected,positive,Artificial-color evidence is above the exploratory threshold.,medium,0.233765725507866,-1.1095087112756172,True,0.2338
13,saffron + orange 2,saffron_plus_artificial_color,orange_2_5_percent,True,False,True,True,5.0,-0.3162681700320203,52.23712833567193,64.0224594084532,-11.785331072781268,0.6080021105765957,-0.0034275778784647,-0.6114296884550604,-0.2943923760007049,artificial_color_detected,positive,Artificial-color evidence is above the exploratory threshold.,medium,-0.3162681700320203,-1.1095087112756172,True,-0.3163
14,saffron + Ponceau 4R (96),saffron_plus_artificial_color,ponceau_4r_96_5_percent,True,False,True,True,5.0,-0.5792994183845019,44.41645003413752,67.92856381316487,-23.512113779027352,0.7165963645992078,-0.1830362752223557,-0.8996326398215636,-0.5983321263904126,artificial_color_detected,positive,Artificial-color evidence is above the exploratory threshold.,low,-0.5792994183845019,-1.1095087112756172,True,-0.5793
15,saffron + Erythrosin,saffron_plus_artificial_color,erythrosin_5_percent,True,False,True,True,5.0,-0.8001176381149437,27.769637531560708,66.50734875478612,-38.73771122322542,0.8892314560118049,-0.1164559590039466,-1.0056874150157515,-0.8504435282112639,artificial_color_detected,positive,Artificial-color evidence is above the exploratory threshold.,low,-0.8001176381149437,-1.1095087112756172,True,-0.8001
16,saffron + orange 2,saffron_plus_artificial_color,orange_2_5_percent_replicate,True,False,True,True,5.0,-0.2732507605941987,52.03414702081903,62.52670367501307,-10.49255665419404,0.6110427521840525,0.0625339500579343,-0.5485088021261182,-0.2443302715957196,artificial_color_detected,positive,Artificial-color evidence is above the exploratory threshold.,medium,-0.2732507605941987,-1.1095087112756172,True,-0.2733
17,saffron,real_saffron,real_saffron,False,False,True,False,0.0,-1.1145324152634215,6.413799978099326,67.26282486687411,-60.84902488877479,0.994107628531213,-0.1516728311714842,-1.1457804597026973,-1.117354715493649,real_saffron,reference,Confirmed real saffron reference sample.,low,-1.1145324152634215,-1.1095087112756172,False,-1.1145
18,650,unknown_adulterated_saffron,unknown_adulteration_650,False,True,True,True,,0.6722208160006912,82.75234719119845,51.28278266493442,31.46956452626403,0.0162212894018881,0.5084642706039015,0.4922429812020134,,unknown_adulteration,suspicious,Sample is known to contain unknown adulteration.,medium,0.6722208160006912,-1.1095087112756172,True,0.6722
19,651,unknown_adulterated_saffron,unknown_adulteration_651,False,True,True,True,,0.1178237278677051,67.23013511025835,59.20663427165275,8.023500838605592,0.3506770166049204,0.2033744138358291,-0.1473026027690913,,unknown_adulteration,suspicious,Sample is known to contain unknown adulteration.,medium,0.1178237278677051,-1.1095087112756172,True,0.1178
20,saffron + Quinoline yellow 10 %,saffron_plus_artificial_color,quinoline_yellow_10_percent,True,False,True,True,10.0,0.114846164963449,64.6746673450636,57.59423217851792,7.080435166545676,0.3991026714264926,0.2690025652264919,-0.1301001062000006,0.2039730049552516,artificial_color_detected,positive,Artificial-color evidence is above the exploratory threshold.,medium,0.114846164963449,-1.1095087112756172,True,0.1148
21,saffron 2,real_saffron,real_saffron_2,False,False,True,False,0.0,-1.1082288306730643,6.413799978099326,67.06849753099047,-60.65469755289114,0.994107628531213,-0.1425761716377827,-1.1366838001689958,-1.1100216035735395,real_saffron,reference,Confirmed real saffron reference sample.,low,-1.1082288306730643,-1.1095087112756172,True,-1.1082
22,445,artificial_color_adulterated_saffron,azorubin_plus_orange_2,True,False,True,True,,-0.9728129557994633,17.565037035268396,67.33476395455602,-49.76972691928763,0.9556930872823316,-0.1550470477850438,-1.1107401350673756,-1.0481085554239489,artificial_color_detected,positive,Artificial-color evidence is above the exploratory threshold.,low,-0.9728129557994633,-1.1095087112756172,True,-0.9728
23,372,artificial_color_adulterated_saffron,orange_2,True,False,True,True,,-1.0542894421496276,11.551183509724371,67.38982154595409,-55.83863803622972,0.9808485513493084,-0.1576318946435642,-1.1384804459928726,-1.1408757884853593,artificial_color_detected,positive,Artificial-color evidence is above the exploratory threshold.,low,-1.0542894421496276,-1.1095087112756172,True,-1.0543
24,544,artificial_saffron,tartrazine,True,False,False,True,,-1.0490802463792366,12.449784050350404,67.58652498851345,-55.13674093816304,0.9777501340228212,-0.1668839960241233,-1.1446341300469445,-1.1351226393381533,artificial_color_detected,positive,Artificial-color evidence is above the exploratory threshold.,low,-1.0490802463792366,-1.1095087112756172,True,-1.0491
25,647,small_amount_artificial_color,small_amount_color_647,True,False,True,True,,-1.028441875979475,12.111070736869587,66.81526146435593,-54.70419072748634,0.9789452780127956,-0.1307614305133756,-1.1097067085261714,-1.1109980657256844,artificial_color_detected,positive,Artificial-color evidence is above the exploratory threshold.,low,-1.028441875979475,-1.1095087112756172,True,-1.0284
26,648,small_amount_artificial_color,small_amount_color_648,True,False,True,True,,-0.9511382562546508,17.723947588877895,66.73267541836962,-49.00872782949173,0.9548874558721848,-0.1269180391454001,-1.081805495017585,-1.022946463153403,artificial_color_detected,positive,Artificial-color evidence is above the exploratory threshold.,low,-0.9511382562546508,-1.1095087112756172,True,-0.9511
27,646,small_amount_artificial_color,small_amount_color_646,True,False,True,True,,-1.0134403721750729,14.327603490789684,67.24695678302473,-52.91935329223504,0.9705263205744455,-0.1509290432732517,-1.1214553638476972,-1.0942960246000033,artificial_color_detected,positive,Artificial-color evidence is above the exploratory threshold.,low,-1.0134403721750729,-1.1095087112756172,True,-1.0134
