ppm,reference_mean,target_mean,mean_difference,standardized_effect,absolute_effect
5.54996,3.5038955368199676,-0.3610757957949282,-3.864971332614896,-75.56267926208498,75.56267926208498
5.54796,3.5242408604911466,-0.36998016540087664,-3.894221025892023,-73.06346121262226,73.06346121262226
5.55096,3.510618716635948,-0.3579846705586229,-3.868603387194571,-71.19367769744399,71.19367769744399
5.54696,3.508192868399112,-0.36673216077990395,-3.874925029179016,-68.80899789023546,68.80899789023546
5.54896,3.5287874880254297,-0.3690023998401059,-3.8977898878655357,-63.90870735484332,63.90870735484332
6.37995,3.800120469447108,-0.30467443577980574,-4.104794905226914,-46.282931286767706,46.282931286767706
6.38495,3.676102519161077,-0.3093799972570279,-3.985482516418105,-45.92966009372537,45.92966009372537
5.55196,3.5397904738232793,-0.3577322017788156,-3.8975226756020946,-44.99846976395394,44.99846976395394
6.38395,3.6937555925271015,-0.3139591037717204,-4.007714696298822,-43.384266161255596,43.384266161255596
6.38095,3.7561288894610554,-0.31343699299601646,-4.069565882457072,-42.051673601400104,42.051673601400104
6.38695,3.6933557237821444,-0.31846653557178844,-4.0118222593539326,-41.94527046763452,41.94527046763452
6.38595,3.710790677655023,-0.3216423903313992,-4.032433067986422,-41.02092485216321,41.02092485216321
5.54596,3.4161025389505246,-0.3677334329400142,-3.783835971890539,-40.79681031024532,40.79681031024532
5.54396,3.2559887435680994,-0.3721233991860051,-3.6281121427541043,-40.61956773934529,40.61956773934529
6.38195,3.705339809712762,-0.3193462462193918,-4.024686055932154,-38.6915813917997,38.6915813917997
6.37895,3.8054981183414913,-0.30568148644732374,-4.111179604788815,-38.66811123897833,38.66811123897833
6.39095,3.5168929043475416,-0.31871613727741577,-3.8356090416249575,-37.38360369798851,37.38360369798851
5.54496,3.334331308146262,-0.37612131675585886,-3.710452624902121,-37.35841943881368,37.35841943881368
6.38295,3.6631380557197257,-0.321059905184456,-3.9841979609041815,-36.939880731418526,36.939880731418526
6.39295,3.4203895896211995,-0.3212291487168971,-3.7416187383380968,-36.80848837658937,36.80848837658937
6.38995,3.6029312816378387,-0.32393752589589275,-3.9268688075337312,-36.64838996469955,36.64838996469955
6.37595,3.823921211004901,-0.30901987898260513,-4.132941089987506,-36.5945499629015,36.5945499629015
6.37695,3.8285238602756104,-0.3041946262687737,-4.132718486544384,-36.28221903833108,36.28221903833108
6.39195,3.476668549133865,-0.3220575980290036,-3.798726147162869,-36.224235971198226,36.224235971198226
6.37495,3.781580850941645,-0.30682064889780375,-4.088401499839449,-36.03117940532058,36.03117940532058
5.55696,3.5112387853240694,-0.3677751155501606,-3.87901390087423,-35.71447124510843,35.71447124510843
6.38795,3.694788849359679,-0.3236145391587535,-4.018403388518433,-35.640766984451375,35.640766984451375
5.55396,3.5339634209150477,-0.3676223096777201,-3.901585730592768,-34.96982624617441,34.96982624617441
5.55496,3.575167071072302,-0.3695020819991744,-3.944669153071476,-34.74982295573649,34.74982295573649
5.55596,3.5411909287648804,-0.3657996569603949,-3.9069905857252754,-34.133681782783924,34.133681782783924
5.55996,3.516078866390542,-0.36671598757848606,-3.882794853969028,-33.86822198864853,33.86822198864853
5.54296,3.1996475706568024,-0.3697487972238225,-3.569396367880625,-33.80341993381582,33.80341993381582
