number,name,class,PC1,PC2,PC3
1,sunset yellow(127),pure_artificial_color,20.885361367666906,-123.43269330765328,-81.25953933110924
2,orange 2,pure_artificial_color,186.19655108763845,-134.88232691989188,64.54165509039007
3,Amuranth,pure_artificial_color,-71.7318469735259,-24.629696953653355,2.090297119158197
4,Azorubin,pure_artificial_color,-16.921931979794035,-69.38387622728628,12.875259304239131
5,Quinoline yellow,pure_artificial_color,-80.79561811358475,0.44037471891967445,23.584689552270742
6,Ponceau 4R (96),pure_artificial_color,-82.8336491462933,-17.191818638177796,15.510143770154944
7,Erythrosin,pure_artificial_color,-69.86393840784012,-22.31077893682421,5.400051454738007
8,Orange GG,pure_artificial_color,-65.38805289023588,-34.147294510245686,10.938459987654426
9,Tartarazin,pure_artificial_color,-74.20236248812901,-28.52142272120318,-3.1082771392766864
10,saffron + sunset yellow(127),saffron_plus_artificial_color,14.54214159828691,36.79642028349925,-2.9338399118505207
11,saffron + orange GG,saffron_plus_artificial_color,22.00459502446551,39.11301614635986,-2.356148072632431
12,saffron + Quinoline yellow,saffron_plus_artificial_color,-61.2546498990056,-20.777356767480995,0.5678221167580695
13,saffron + orange 2,saffron_plus_artificial_color,93.66818330098066,37.23216624170363,-21.402046671475023
14,saffron + Ponceau 4R (96),saffron_plus_artificial_color,46.8568298634797,22.11646765554535,-12.025605477465133
15,saffron + Erythrosin,saffron_plus_artificial_color,23.869507027465072,57.755805501645476,25.064899406084137
16,saffron + orange 2,saffron_plus_artificial_color,22.004595024465495,39.113016146359854,-2.356148072632431
17,saffron,real_saffron,64.94920027025309,45.29438773090246,-57.74077242575102
18,650,unknown_adulterated_saffron,46.90266690474371,-3.409955861866593,-15.36226842546124
19,651,unknown_adulterated_saffron,-13.010063127220645,36.885225584527326,30.25130928485275
20,saffron + Quinoline yellow 10 %,saffron_plus_artificial_color,-59.13865783171306,-22.58299268078706,-3.01053944296695
21,saffron 2,real_saffron,-40.618043361069255,-8.156946809944769,-2.108657595229264
22,445,artificial_color_adulterated_saffron,14.096324056217444,23.19868479465929,1.512977425116096
23,372,artificial_color_adulterated_saffron,28.132411868251836,49.68434632645086,16.544649342768274
24,544,artificial_saffron,23.034490162000026,40.20387812940946,-6.684511721210566
25,647,small_amount_artificial_color,25.240924230513723,55.79049845058774,22.246913183980027
26,648,small_amount_artificial_color,12.524477097074685,10.703888851140789,-10.755526256297758
27,646,small_amount_artificial_color,-9.149444665091453,15.09898377330438,-10.025246494806302
