ppm,PC1_loading
5.49996,-0.006110502143321311
5.50096,-0.005866423998171221
5.50196,-0.006017839356696417
5.50296,-0.0057556174833877155
5.50396,-0.005709497691222159
5.50496,-0.0058369169045902934
5.50596,-0.005721745268055846
5.50696,-0.0054623028656373245
5.50796,-0.005390452070539903
5.50896,-0.005349616977118451
5.50996,-0.005472577301562013
5.51096,-0.0054554105475508735
5.51196,-0.00570041515798926
5.51296,-0.00570314184986592
5.51396,-0.0054497547206992444
5.51496,-0.005024240520761497
5.51596,-0.004901934288979209
5.51696,-0.004548116984725042
5.51796,-0.004292323044230886
5.51896,-0.004490496303011457
5.51996,-0.004405444528736916
5.52096,-0.003983119941655956
5.52196,-0.0038557810466103267
5.52296,-0.0031745993774532134
5.52396,-0.002975216300434901
5.52496,-0.0030203494747366344
5.52596,-0.0030660168578485543
5.52696,-0.0031960741055501265
5.52796,-0.0030070526211269104
5.52896,-0.002732003958639903
5.52996,-0.0025284213012524174
5.53096,-0.0022568096921509215
5.53196,-0.0025352777442376093
5.53296,-0.0025490598258566836
5.53396,-0.002433191881885903
5.53496,-0.002304967600779353
5.53596,-0.0020976345537494128
5.53696,-0.0019940384334915526
5.53796,-0.0021851550956867925
5.53896,-0.002012733489695876
5.53996,-0.0017907433739738391
5.54096,-0.001984145917180696
5.54196,-0.0020038509019930876
5.54296,-0.00181553886730058
5.54396,-0.002221487645100847
5.54496,-0.002364174686463761
5.54596,-0.0019650813864075098
5.54696,-0.001849916957908109
5.54796,-0.0019232699774674646
5.54896,-0.0017506318678277173
5.54996,-0.0014045303366814598
5.55096,-0.0014759740328235877
5.55196,-0.0016342015991957825
5.55296,-0.001731457170147297
5.55396,-0.0015096350388434745
5.55496,-0.001626535831658908
5.55596,-0.002201019344444304
5.55696,-0.0023834484928108926
5.55796,-0.0024922535498813096
5.55896,-0.002290160848062575
5.55996,-0.0024255334144506267
5.56096,-0.002741312402943464
5.56196,-0.0029652914515209813
5.56296,-0.002639137370459173
5.56396,-0.0023826460895358015
5.56496,-0.0024153304917498815
5.56596,-0.002481497322280805
5.56696,-0.0025938979317104214
5.56796,-0.0026762952773630258
5.56896,-0.002685610009292394
5.56996,-0.0029273113416850515
5.57096,-0.0029756698802713114
5.57196,-0.0030178637847045053
5.57296,-0.0028984360726542753
5.57396,-0.002611919543461522
5.57496,-0.0032869467732073725
5.57596,-0.002904370401171797
5.57696,-0.002895377676627654
5.57796,-0.0031860840098645064
5.57896,-0.0033154613438416735
5.57996,-0.0031473853840198224
5.58096,-0.003311004661762508
5.58196,-0.0034718649879976926
5.58296,-0.0035665660612520813
5.58396,-0.003330457716436878
5.58496,-0.0034410157707132883
5.58596,-0.003917731211216321
5.58696,-0.004171676302932405
5.58796,-0.00447283550412689
5.58896,-0.004121153831460046
5.58996,-0.004054694825200288
5.59096,-0.003924106322419229
5.59196,-0.004213489552460816
5.59296,-0.0043732044072837956
5.59396,-0.004189973473682029
5.59496,-0.004814851951235338
5.59596,-0.005192471373749537
5.59696,-0.0058647795252565645
5.59796,-0.006175579985232026
5.59896,-0.006222697400173221
5.59996,-0.006573755969006455
5.60096,-0.007123239210985868
5.60196,-0.007686029410575576
