number,name,class,subclass,artificial_color,artificial_color_percent,analysis_label
1,sunset yellow(127),pure_artificial_color,sunset_yellow_127,True,100.0,1
2,orange 2,pure_artificial_color,orange_2,True,100.0,1
3,Amuranth,pure_artificial_color,amaranth,True,100.0,1
4,Azorubin,pure_artificial_color,azorubin,True,100.0,1
5,Quinoline yellow,pure_artificial_color,quinoline_yellow,True,100.0,1
6,Ponceau 4R (96),pure_artificial_color,ponceau_4r_96,True,100.0,1
7,Erythrosin,pure_artificial_color,erythrosin,True,100.0,1
8,Orange GG,pure_artificial_color,orange_gg,True,100.0,1
9,Tartarazin,pure_artificial_color,tartrazine,True,100.0,1
10,saffron + sunset yellow(127),saffron_plus_artificial_color,sunset_yellow_127_5_percent,True,5.0,1
11,saffron + orange GG,saffron_plus_artificial_color,orange_gg_5_percent,True,5.0,1
12,saffron + Quinoline yellow,saffron_plus_artificial_color,quinoline_yellow_5_percent,True,5.0,1
13,saffron + orange 2,saffron_plus_artificial_color,orange_2_5_percent,True,5.0,1
14,saffron + Ponceau 4R (96),saffron_plus_artificial_color,ponceau_4r_96_5_percent,True,5.0,1
15,saffron + Erythrosin,saffron_plus_artificial_color,erythrosin_5_percent,True,5.0,1
16,saffron + orange 2,saffron_plus_artificial_color,orange_2_5_percent_replicate,True,5.0,1
17,saffron,real_saffron,real_saffron,False,0.0,0
20,saffron + Quinoline yellow 10 %,saffron_plus_artificial_color,quinoline_yellow_10_percent,True,10.0,1
21,saffron 2,real_saffron,real_saffron_2,False,0.0,0
22,445,artificial_color_adulterated_saffron,azorubin_plus_orange_2,True,,1
23,372,artificial_color_adulterated_saffron,orange_2,True,,1
24,544,artificial_saffron,tartrazine,True,,1
25,647,small_amount_artificial_color,small_amount_color_647,True,,1
26,648,small_amount_artificial_color,small_amount_color_648,True,,1
27,646,small_amount_artificial_color,small_amount_color_646,True,,1
