number,name,class,artificial_color,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
1,sunset yellow(127),pure_artificial_color,1,-47.24328169810791,37.487680583209624,89.76690985557569,-16.740538935513943,-12.50013814479051,-9.386002944271631,6.286145524016608,7.811212171734188,-2.4045947765011992,-1.6840946560077843
2,orange 2,pure_artificial_color,1,-153.73009726081142,1.4411433870850192,-24.106350274226777,30.730330215950325,10.32677250147843,-4.786501701929063,-7.427279861460276,1.91333337894215,0.14311668103387581,-1.375369387044932
3,Amuranth,pure_artificial_color,1,23.95687427940364,-2.7905796574949724,6.310612476302489,5.540673197376065,16.657065093057785,-1.9070620352388405,-20.24743687463849,21.775513740586106,3.6637986375327167,17.974448945452426
4,Azorubin,pure_artificial_color,1,15.098403042586597,109.18220739678245,-43.041761083479386,-17.029356517022,2.6282686280567087,-6.2514362947925095,0.9728649752400499,-0.21463025011103115,0.3779037392153245,0.6194869096293312
5,Quinoline yellow,pure_artificial_color,1,35.37940777008291,-5.434035672167568,-1.7014809727981364,9.06301575344265,15.015112864207437,4.807403014778446,-10.074501156268083,26.52930143523168,-4.926914663802315,-7.649768316076483
6,Ponceau 4R (96),pure_artificial_color,1,42.94465011870955,6.293205607708554,-2.376932806041537,55.45978567940239,-36.861296319459235,-26.52890004829202,14.149656993621312,1.3818452286196201,0.14797504536712394,3.822765280463335
7,Erythrosin,pure_artificial_color,1,17.6258986902466,2.6029934258969214,8.711393179101353,6.01058813534535,4.248230275119975,0.1413915707567631,-9.035793123957255,-4.798129238220998,23.3872650710115,-14.868202283175389
8,Orange GG,pure_artificial_color,1,4.943753415999312,19.97899036586677,11.707882690702343,24.608269158526472,-6.96177113975426,62.3317648278475,8.103868727007814,-4.239339431790735,-0.5980525974262004,3.7432645862424376
9,Tartarazin,pure_artificial_color,1,25.41300851451894,-0.37267550170068914,17.11178299167094,16.677594722086276,55.52983671322924,-11.21765489204913,27.802798351549963,-11.186278557757317,-2.1327920833805676,1.8289985877265902
10,saffron + sunset yellow(127),saffron_plus_artificial_color,1,5.077195583119422,-10.045235069292719,-6.785519284780218,-5.252355497958973,0.6914874391857739,1.9673969991396454,5.372330958298046,5.556005770899904,-4.493473373041372,-12.723571974561983
11,saffron + orange GG,saffron_plus_artificial_color,1,1.8959341638479832,-10.405856580591811,-8.04806445737262,-6.109223506161558,-2.9889412452022794,-0.11133644026817797,5.0696422102960685,3.933801137217641,-2.5908234026762824,-3.671019475663429
12,saffron + Quinoline yellow,saffron_plus_artificial_color,1,13.22672263637052,-5.361263987722034,6.200152208035846,0.7538417995548305,0.07239772612072481,-1.8720364488993408,-13.639877427532227,-8.180075912769789,2.509842079315938,0.32496680577190257
13,saffron + orange 2,saffron_plus_artificial_color,1,-24.31744091548411,-23.681753786515237,-15.350065208500931,-26.076576526708365,-8.31150571577905,1.7424989607122543,24.803513145014488,6.283873549516819,15.867797440460505,10.99126251415182
14,saffron + Ponceau 4R (96),saffron_plus_artificial_color,1,-5.841729815412026,-19.509693803017502,-12.13617978850583,-14.890462058398207,-6.1149245479138274,1.079655762852618,12.133934172180753,5.917771204937994,3.4770313293827377,0.048253914563248325
15,saffron + Erythrosin,saffron_plus_artificial_color,1,5.892203096115067,-14.39802017639134,-11.637639391365203,-7.053249953013419,-5.519915414379793,2.2298082243698265,6.768819192494545,5.449105260601165,-3.1139644457567988,-5.5080274103062745
16,saffron + orange 2,saffron_plus_artificial_color,1,1.8959341638479832,-10.405856580591811,-8.04806445737262,-6.109223506161558,-2.9889412452022794,-0.11133644026817797,5.0696422102960685,3.933801137217641,-2.5908234026762806,-3.671019475663428
17,saffron,real_saffron,0,-12.596086603257275,-10.645610882588155,-7.698980455821937,-16.598609523364292,-4.470852876010212,-1.663504239196926,1.8820296655825892,-7.567165250680836,-8.94099350347262,5.606904923815294
