Rank,Feature,MeanAbsSHAP
1,Window_7.801_7.901_Std,0.20166887
2,Window_1.001_1.101_Mean,0.15163213
3,Window_10.401_10.501_Std,0.1350747
4,Window_7.201_7.301_Std,0.1276403
5,Window_5.701_5.801_Std,0.114342645
6,Window_2.801_2.901_Mean,0.095101155
7,Window_5.201_5.301_Std,0.08945634
8,Window_7.201_7.301_Max,0.08895592
9,Window_2.701_2.801_Mean,0.08443122
10,Window_2.301_2.401_Max,0.08354442
11,Window_1.201_1.301_Mean,0.078978054
12,Window_6.301_6.401_Std,0.07795918
13,Window_6.401_6.501_Max,0.07003727
14,Window_4.401_4.501_Max,0.063718505
15,Window_8.401_8.501_Std,0.06227053
16,Window_1.701_1.801_Std,0.059965212
17,Window_4.101_4.201_Mean,0.05744312
18,Window_1.001_1.101_Max,0.053515866
19,Window_8.301_8.401_Std,0.052700806
20,Window_3.801_3.901_Std,0.04574722
21,Window_1.301_1.401_Max,0.045637734
22,Window_2.701_2.801_Max,0.044595517
23,Window_6.601_6.701_Mean,0.040286623
24,Window_4.801_4.901_Max,0.03753659
25,Window_10.001_10.101_Mean,0.037096996
26,Window_1.001_1.101_Sum,0.031717844
27,Window_2.301_2.401_Std,0.029742504
28,Window_5.901_6.001_Std,0.029128088
29,Window_6.701_6.801_Mean,0.028885715
30,Window_4.301_4.401_Mean,0.025783552
31,Window_2.801_2.901_Sum,0.021648051
32,Window_4.101_4.201_Sum,0.020288138
33,Global_L1,0.017980784
34,Window_4.401_4.501_Std,0.017345611
35,Window_4.901_5.001_Mean,0.017264433
36,Window_1.201_1.301_Sum,0.016656905
37,Window_2.801_2.901_Max,0.014247991
38,Window_2.101_2.201_Mean,0.012812027
39,Window_4.401_4.501_Mean,0.011703953
40,Window_4.901_5.001_Max,0.011230966
41,Window_4.201_4.301_Sum,0.011014184
42,Window_4.301_4.401_Sum,0.01057224
43,Global_Q90,0.009928981
44,Window_2.701_2.801_Sum,0.009685634
45,Window_10.001_10.101_Sum,0.0069110333
46,Window_6.601_6.701_Sum,0.0061172587
47,Window_6.701_6.801_Sum,0.0051142965
48,Window_2.101_2.201_Sum,0.002731487
49,Window_4.901_5.001_Sum,0.0020713524
50,Window_4.401_4.501_Sum,0.0016905392
