Model,TopK,Fold,Accuracy,BalancedAccuracy,F1Macro
SVM,10,1,0.22727272727272727,0.09090909090909091,0.03367003367003367
SVM,10,2,0.23809523809523808,0.10303030303030303,0.06942148760330578
SVM,10,3,0.22727272727272727,0.10454545454545454,0.06620046620046621
SVM,10,4,0.23809523809523808,0.11515151515151514,0.06514341273699563
SVM,10,5,0.09090909090909091,0.03636363636363637,0.017316017316017316
SVM,10,6,0.2857142857142857,0.1212121212121212,0.0735930735930736
SVM,10,7,0.22727272727272727,0.09090909090909091,0.03636363636363637
SVM,10,8,0.23809523809523808,0.11515151515151514,0.062388591800356503
SVM,10,9,0.18181818181818182,0.07272727272727274,0.02909090909090909
SVM,10,10,0.3333333333333333,0.1515151515151515,0.08653378706854643
SVM,10,11,0.13636363636363635,0.05909090909090909,0.03732057416267943
SVM,10,12,0.3333333333333333,0.16363636363636364,0.08744588744588744
SVM,10,13,0.22727272727272727,0.1,0.06666666666666667
SVM,10,14,0.23809523809523808,0.10303030303030303,0.061004784688995214
SVM,10,15,0.18181818181818182,0.07272727272727274,0.027972027972027972
SVM,10,16,0.23809523809523808,0.11515151515151514,0.06666666666666667
SVM,10,17,0.18181818181818182,0.08181818181818182,0.05775401069518716
SVM,10,18,0.2857142857142857,0.1212121212121212,0.08181818181818182
SVM,10,19,0.2727272727272727,0.1409090909090909,0.1212121212121212
SVM,10,20,0.14285714285714285,0.06666666666666667,0.03671328671328671
SVM,20,1,0.22727272727272727,0.09090909090909091,0.03367003367003367
SVM,20,2,0.3333333333333333,0.1515151515151515,0.10192837465564737
SVM,20,3,0.22727272727272727,0.12727272727272726,0.09081186193485659
SVM,20,4,0.23809523809523808,0.11515151515151514,0.06514341273699563
SVM,20,5,0.18181818181818182,0.1,0.0487012987012987
SVM,20,6,0.3333333333333333,0.2121212121212121,0.16233766233766234
SVM,20,7,0.22727272727272727,0.09090909090909091,0.03496503496503497
SVM,20,8,0.19047619047619047,0.09696969696969697,0.05021645021645022
SVM,20,9,0.09090909090909091,0.03636363636363637,0.015810276679841896
SVM,20,10,0.19047619047619047,0.09696969696969697,0.0516934046345811
SVM,20,11,0.13636363636363635,0.05454545454545454,0.024793388429752063
SVM,20,12,0.19047619047619047,0.09696969696969697,0.05021645021645022
SVM,20,13,0.13636363636363635,0.05454545454545454,0.024793388429752063
SVM,20,14,0.19047619047619047,0.08484848484848485,0.050505050505050504
SVM,20,15,0.2727272727272727,0.11363636363636363,0.06385281385281384
SVM,20,16,0.2857142857142857,0.1212121212121212,0.06982872200263504
SVM,20,17,0.22727272727272727,0.1,0.08225108225108224
SVM,20,18,0.3333333333333333,0.1515151515151515,0.08585858585858586
SVM,20,19,0.22727272727272727,0.09090909090909091,0.03367003367003367
SVM,20,20,0.19047619047619047,0.11212121212121212,0.08484848484848485
SVM,30,1,0.22727272727272727,0.09090909090909091,0.03367003367003367
SVM,30,2,0.23809523809523808,0.09090909090909091,0.03636363636363637
SVM,30,3,0.22727272727272727,0.12727272727272726,0.09081186193485659
SVM,30,4,0.23809523809523808,0.11515151515151514,0.06507177033492823
SVM,30,5,0.13636363636363635,0.05454545454545454,0.023715415019762844
