Rank,Model,TopK,AccuracyMean,AccuracyStd,BalancedAccuracyMean,BalancedAccuracyStd,F1MacroMean,F1MacroStd
1,XGBoost,20,0.1793290043290043,0.08369914943173234,0.12037878787878789,0.05239762717366115,0.08896201243794827,0.044502303210321205
2,XGBoost,30,0.17207792207792208,0.08943377534251827,0.11151515151515153,0.05688836707145533,0.08481316514738975,0.04612728506401945
3,XGBoost,10,0.18636363636363634,0.07658436317332,0.11037878787878788,0.05739978775091827,0.08383452406179678,0.050555222436637376
4,XGBoost,50,0.17478354978354976,0.09911751997077851,0.10507575757575757,0.06318721076662356,0.07583218693618356,0.04673730927247592
5,SVM,20,0.22153679653679653,0.06595341453491188,0.10492424242424243,0.038276618975495384,0.061294790529852136,0.03401952241087142
6,SVM,10,0.22629870129870128,0.06162072140670445,0.10128787878787879,0.03144681509615327,0.05921478117425204,0.025359194732997168
7,SVM,30,0.21439393939393941,0.05704505584159111,0.09537878787878787,0.027358870688059967,0.0521886550446616,0.022250273070192794
8,RandomForest,20,0.10465367965367964,0.06695158201153435,0.09371212121212122,0.06419455011044821,0.07103732126459399,0.05342659094244414
9,RandomForest,10,0.11439393939393938,0.06104903940233308,0.09121212121212122,0.06040756969805748,0.06876292899020171,0.04121302173849889
10,RandomForest,50,0.09794372294372294,0.0753475706542941,0.08969696969696969,0.07988228979746065,0.06543322838777384,0.050755288949554035
11,SVM,50,0.20497835497835495,0.06231558620264358,0.08946969696969696,0.02950084556145058,0.04989652577503628,0.022274273146398387
12,RandomForest,30,0.09307359307359306,0.05478956756033323,0.08522727272727272,0.05660406225447833,0.05741440377804015,0.03309167886124802
