Model,TopK,Fold,Accuracy,BalancedAccuracy,F1Macro
RandomForest,10,1,0.13636363636363635,0.06363636363636363,0.0606060606060606
RandomForest,10,2,0.14285714285714285,0.08181818181818182,0.06233766233766234
RandomForest,20,1,0.13636363636363635,0.06363636363636363,0.05693296602387512
RandomForest,20,2,0.0,0.0,0.0
RandomForest,30,1,0.09090909090909091,0.10909090909090909,0.061983471074380174
RandomForest,30,2,0.0,0.0,0.0
RandomForest,50,1,0.09090909090909091,0.04090909090909091,0.04292929292929293
RandomForest,50,2,0.0,0.0,0.0
XGBoost,10,1,0.22727272727272727,0.18181818181818182,0.19191919191919193
XGBoost,10,2,0.23809523809523808,0.1303030303030303,0.09696969696969697
XGBoost,20,1,0.22727272727272727,0.15,0.13383838383838384
XGBoost,20,2,0.14285714285714285,0.05454545454545454,0.0303030303030303
XGBoost,30,1,0.3181818181818182,0.19090909090909092,0.17012987012987013
XGBoost,30,2,0.14285714285714285,0.05454545454545454,0.03208556149732621
XGBoost,50,1,0.18181818181818182,0.08181818181818182,0.06837606837606837
XGBoost,50,2,0.23809523809523808,0.1303030303030303,0.09292929292929292
